Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,2.7e-05,17.598189,[  8 162] ; [13 42],[ 15.86666667 154.13333333] ; [ 5.13333333 49.86666667],1
s6,1,0.001953,9.592745,[89 82] ; [41 13],[98.8 72.2] ; [31.2 22.8],0
s2,1,0.021998,5.245914,[ 50 120] ; [25 29],[ 56.91964286 113.08035714] ; [18.08035714 35.91964286],0
b5,1,0.025057,5.019952,[107  64] ; [25 30],[99.87610619 71.12389381] ; [32.12389381 22.87610619],0
d4,1,0.025443,4.993499,[132  39] ; [50  5],[137.7079646  33.2920354] ; [44.2920354 10.7079646],0
d1,1,0.043797,4.064353,[95 76] ; [39 16],[101.38938053  69.61061947] ; [32.61061947 22.38938053],0
a5,1,0.058599,3.576592,[121  50] ; [46  9],[126.35840708  44.64159292] ; [40.64159292 14.35840708],0
a7,1,0.065172,3.400622,[135  35] ; [37 18],[129.95555556  40.04444444] ; [42.04444444 12.95555556],0
p6,1,0.082006,3.024699,[ 62 107] ; [27 27],[ 67.44843049 101.55156951] ; [21.55156951 32.44843049],0
p10,1,0.098864,2.723773,[130  39] ; [48  7],[134.29464286  34.70535714] ; [43.70535714 11.29464286],0
s4,1,0.191265,1.707847,[ 20 149] ; [10 43],[ 22.83783784 146.16216216] ; [ 7.16216216 45.83783784],0
b3,1,0.197779,1.658699,[31 68] ; [14 18],[34.00763359 64.99236641] ; [10.99236641 21.00763359],0
b2,1,0.197779,1.658699,[31 68] ; [14 18],[34.00763359 64.99236641] ; [10.99236641 21.00763359],0
d3,1,0.20182,1.629156,[115  56] ; [42 13],[118.7920354  52.2079646] ; [38.2079646 16.7920354],0
v4,1,0.20908,1.577788,[156  15] ; [53  2],[158.13716814  12.86283186] ; [50.86283186  4.13716814],0
n6,1,0.218238,1.515923,[135  34] ; [48  7],[138.06696429  30.93303571] ; [44.93303571 10.06696429],0
p1,1,0.249828,1.324263,[ 13 157] ; [ 7 48],[ 15.11111111 154.88888889] ; [ 4.88888889 50.11111111],0
b4,1,0.252487,1.309488,[97 74] ; [36 19],[100.63274336  70.36725664] ; [32.36725664 22.63274336],0
r4,1,0.258169,1.27855,[149  22] ; [51  4],[151.32743363  19.67256637] ; [48.67256637  6.32743363],0
a8,1,0.267784,1.228063,[ 16 134] ; [ 3 51],[ 13.97058824 136.02941176] ; [ 5.02941176 48.97058824],0
p9,1,0.274533,1.193957,[134  37] ; [46  8],[136.8  34.2] ; [43.2 10.8],0
v1,1,0.315268,1.008475,[89 78] ; [33 21],[92.19004525 74.80995475] ; [29.80995475 24.19004525],0
u1,1,0.325256,0.967694,[ 22 149] ; [10 45],[ 24.21238938 146.78761062] ; [ 7.78761062 47.21238938],0
d2,1,0.345977,0.888158,[73 98] ; [27 27],[76. 95.] ; [24. 30.],0
p11,1,0.351501,0.868032,[140  31] ; [48  7],[142.24778761  28.75221239] ; [45.75221239  9.24778761],0
p3,1,0.358015,0.844843,[100  71] ; [36 19],[102.90265487  68.09734513] ; [33.09734513 21.90265487],0
r1,1,0.358438,0.843357,[129  42] ; [44 10],[131.48  39.52] ; [41.52 12.48],0
a6,1,0.363471,0.825866,[120  51] ; [35 20],[117.27876106  53.72123894] ; [37.72123894 17.27876106],0
a1,1,0.376997,0.780472,[  5 166] ; [ 3 52],[  6.05309735 164.94690265] ; [ 1.94690265 53.05309735],0
a4,1,0.381557,0.765678,[72 98] ; [27 28],[74.8 95.2] ; [24.2 30.8],0
p8,1,0.383619,0.759074,[102  66] ; [37 18],[104.71748879  63.28251121] ; [34.28251121 20.71748879],0
v3,1,0.39184,0.733223,[ 53 110] ; [21 33],[ 55.58525346 107.41474654] ; [18.41474654 35.58525346],0
u2,1,0.398059,0.714181,[35 34] ; [ 8 12],[33.33707865 35.66292135] ; [ 9.66292135 10.33707865],0
p12,1,0.400682,0.706278,[ 10 161] ; [ 5 50],[ 11.34955752 159.65044248] ; [ 3.65044248 51.34955752],0
p2,1,0.456414,0.554674,[148  21] ; [46  9],[146.36607143  22.63392857] ; [47.63392857  7.36607143],0
s3,1,0.491009,0.474315,[ 64 104] ; [23 30],[ 66.13574661 101.86425339] ; [20.86425339 32.13574661],0
s8,1,0.499321,0.456379,[ 39 132] ; [15 40],[ 40.85840708 130.14159292] ; [13.14159292 41.85840708],0
p7,1,0.513771,0.42638,[115  54] ; [40 15],[116.94196429  52.05803571] ; [38.05803571 16.94196429],0
r2,1,0.530452,0.393526,[151  17] ; [51  4],[152.1793722  15.8206278] ; [49.8206278  5.1793722],0
d5,1,0.540724,0.3742,[140  31] ; [47  8],[141.49115044  29.50884956] ; [45.50884956  9.49115044],0
n3,1,0.587043,0.294987,[29  7] ; [5 2],[28.46511628  7.53488372] ; [5.53488372 1.46511628],0
n2,1,0.619829,0.246108,[25 10] ; [5 3],[24.41860465 10.58139535] ; [5.58139535 2.41860465],0
u3,1,0.63802,0.221341,[39 28] ; [11 10],[38.06818182 28.93181818] ; [11.93181818  9.06818182],0
v2,1,0.642321,0.21572,[94 70] ; [29 25],[92.53211009 71.46788991] ; [30.46788991 23.53211009],0
n1,1,0.647141,0.209524,[12 24] ; [2 6],[11.45454545 24.54545455] ; [2.54545455 5.45454545],0
n5,1,0.688267,0.160968,[122  48] ; [41 14],[123.15555556  46.84444444] ; [39.84444444 15.15555556],0
r3,1,0.702993,0.145377,[161  10] ; [51  4],[160.40707965  10.59292035] ; [51.59292035  3.40707965],0
a3,1,0.717179,0.131212,[101  70] ; [34 21],[102.1460177  68.8539823] ; [32.8539823 22.1460177],0
a2,1,0.756294,0.096318,[ 31 140] ; [11 44],[ 31.77876106 139.22123894] ; [10.22123894 44.77876106],0
s1,1,0.784572,0.074729,[  5 164] ; [ 2 52],[  5.30493274 163.69506726] ; [ 1.69506726 52.30493274],0
b1,1,0.787217,0.07286,[ 68 103] ; [23 32],[ 68.8539823 102.1460177] ; [22.1460177 32.8539823],0
n4,1,0.963467,0.002098,[128  43] ; [41 14],[127.87168142  43.12831858] ; [41.12831858 13.87168142],0
