Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,40.146174,[59 44] ; [ 7 64],[39.06896552 63.93103448] ; [26.93103448 44.06896552],1
a3,1,0.0,36.082304,[82 21] ; [24 46],[63.10982659 39.89017341] ; [42.89017341 27.10982659],1
d2,1,8.5e-05,15.440079,[56 46] ; [18 54],[43.37931034 58.62068966] ; [30.62068966 41.37931034],1
a6,1,0.000322,12.935767,[67 36] ; [27 45],[55.32571429 47.67428571] ; [38.67428571 33.32571429],1
u1,1,0.001283,10.367004,[17 87] ; [ 1 71],[10.63636364 93.36363636] ; [ 7.36363636 64.63636364],0
d5,1,0.001446,10.146519,[84 19] ; [43 29],[74.74857143 28.25142857] ; [52.25142857 19.74857143],0
r2,1,0.003331,8.616511,[93  8] ; [54 17],[86.31976744 14.68023256] ; [60.68023256 10.31976744],0
d1,1,0.005968,7.559939,[55 49] ; [23 49],[46.09090909 57.90909091] ; [31.90909091 40.09090909],0
r4,1,0.015908,5.813066,[76 28] ; [40 32],[68.54545455 35.45454545] ; [47.45454545 24.54545455],0
a7,1,0.016127,5.789,[74 29] ; [39 33],[66.50857143 36.49142857] ; [46.49142857 25.50857143],0
r1,1,0.022739,5.188355,[73 28] ; [40 32],[65.97109827 35.02890173] ; [47.02890173 24.97109827],0
n4,1,0.024747,5.041519,[65 36] ; [34 38],[57.79768786 43.20231214] ; [41.20231214 30.79768786],0
s5,1,0.042966,4.09672,[30 72] ; [11 58],[24.45614035 77.54385965] ; [16.54385965 52.45614035],0
a8,1,0.059326,3.556123,[13 83] ; [ 3 63],[ 9.48148148 86.51851852] ; [ 6.51851852 59.48148148],0
v2,1,0.061071,3.508051,[41 59] ; [18 49],[35.32934132 64.67065868] ; [23.67065868 43.32934132],0
p7,1,0.067793,3.335674,[41 61] ; [19 52],[35.37572254 66.62427746] ; [24.62427746 46.37572254],0
r3,1,0.082915,3.00681,[82 21] ; [49 23],[77.10285714 25.89714286] ; [53.89714286 18.10285714],0
d3,1,0.093236,2.81759,[66 37] ; [37 35],[60.62285714 42.37714286] ; [42.37714286 29.62285714],0
b4,1,0.101158,2.687198,[52 52] ; [45 27],[57.31818182 46.68181818] ; [39.68181818 32.31818182],0
n1,1,0.105835,2.615339,[20 23] ; [ 9 23],[16.62666667 26.37333333] ; [12.37333333 19.62666667],0
p1,1,0.115953,2.471154,[ 5 99] ; [ 8 64],[ 7.68181818 96.31818182] ; [ 5.31818182 66.68181818],0
s6,1,0.120634,2.409069,[60 44] ; [32 38],[54.98850575 49.01149425] ; [37.01149425 32.98850575],0
p2,1,0.164532,1.932068,[52 51] ; [44 28],[56.50285714 46.49714286] ; [39.49714286 32.50285714],0
u2,1,0.234758,1.411802,[ 6 16] ; [19 26],[ 8.20895522 13.79104478] ; [16.79104478 28.20895522],0
d4,1,0.258585,1.276317,[79 24] ; [49 22],[75.77011494 27.22988506] ; [52.22988506 18.77011494],0
v4,1,0.318649,0.994484,[86 17] ; [55 16],[83.46551724 19.53448276] ; [57.53448276 13.46551724],0
n6,1,0.323891,0.973171,[65 36] ; [41 31],[61.88439306 39.11560694] ; [44.11560694 27.88439306],0
a1,1,0.327755,0.957747,[10 94] ; [ 4 68],[ 8.27272727 95.72727273] ; [ 5.72727273 66.27272727],0
n2,1,0.352534,0.864314,[30 15] ; [18 14],[28.05194805 16.94805195] ; [19.94805195 12.05194805],0
n5,1,0.356663,0.84961,[61 41] ; [38 34],[58.03448276 43.96551724] ; [40.96551724 31.03448276],0
p5,1,0.375217,0.786314,[ 4 98] ; [ 5 67],[ 5.27586207 96.72413793] ; [ 3.72413793 68.27586207],0
u3,1,0.406949,0.687695,[ 8 13] ; [23 24],[ 9.57352941 11.42647059] ; [21.42647059 25.57352941],0
p8,1,0.41217,0.672532,[27 76] ; [15 57],[24.72 78.28] ; [17.28 54.72],0
p9,1,0.508601,0.436944,[55 46] ; [33 34],[52.9047619 48.0952381] ; [35.0952381 31.9047619],0
s1,1,0.513087,0.427766,[ 6 96] ; [ 6 65],[ 7.07514451 94.92485549] ; [ 4.92485549 66.07514451],0
