Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000291,13.125,[4 1] ; [ 3 27],[1. 4.] ; [ 6. 24.],1
p6,1,0.007785,7.082388,[2 3] ; [ 1 28],[0.44117647 4.55882353] ; [ 2.55882353 26.44117647],0
p3,1,0.015725,5.833333,[3 2] ; [ 4 26],[1. 4.] ; [ 6. 24.],0
p4,1,0.015725,5.833333,[3 2] ; [ 4 26],[1. 4.] ; [ 6. 24.],0
s1,1,0.030087,4.704301,[2 3] ; [ 2 28],[0.57142857 4.42857143] ; [ 3.42857143 26.57142857],0
n4,1,0.032175,4.589161,[1 4] ; [21  9],[3.14285714 1.85714286] ; [18.85714286 11.14285714],0
s2,1,0.03265,4.564043,[3 2] ; [ 5 25],[1.14285714 3.85714286] ; [ 6.85714286 23.14285714],0
u2,1,0.052261,3.767399,[2 1] ; [ 2 12],[0.70588235 2.29411765] ; [ 3.29411765 10.70588235],0
n5,1,0.096458,2.763158,[1 4] ; [18 12],[2.71428571 2.28571429] ; [16.28571429 13.71428571],0
d5,1,0.096458,2.763158,[1 4] ; [18 12],[2.71428571 2.28571429] ; [16.28571429 13.71428571],0
b1,1,0.128822,2.306645,[1 4] ; [17 13],[2.57142857 2.42857143] ; [15.42857143 14.57142857],0
b5,1,0.128822,2.306645,[4 1] ; [13 17],[2.42857143 2.57142857] ; [14.57142857 15.42857143],0
v3,1,0.227195,1.458333,[2 3] ; [ 5 25],[1. 4.] ; [ 6. 24.],0
d1,1,0.264616,1.244444,[1 4] ; [14 16],[2.14285714 2.85714286] ; [12.85714286 17.14285714],0
b4,1,0.324127,0.972222,[2 3] ; [19 11],[3. 2.] ; [18. 12.],0
r3,1,0.402784,0.7,[3 2] ; [12 18],[2.14285714 2.85714286] ; [12.85714286 17.14285714],0
a7,1,0.402784,0.7,[3 2] ; [12 18],[2.14285714 2.85714286] ; [12.85714286 17.14285714],0
a5,1,0.402784,0.7,[3 2] ; [12 18],[2.14285714 2.85714286] ; [12.85714286 17.14285714],0
p11,1,0.429853,0.623219,[2 3] ; [ 7 23],[1.28571429 3.71428571] ; [ 7.71428571 22.28571429],0
a6,1,0.488551,0.479715,[3 2] ; [13 17],[2.28571429 2.71428571] ; [13.71428571 16.28571429],0
a3,1,0.530172,0.394061,[2 3] ; [16 13],[2.64705882 2.35294118] ; [15.35294118 13.64705882],0
s6,1,0.541193,0.373333,[2 3] ; [ 8 22],[1.42857143 3.57142857] ; [ 8.57142857 21.42857143],0
d4,1,0.552119,0.353535,[4 1] ; [20 10],[3.42857143 1.57142857] ; [20.57142857  9.42857143],0
n6,1,0.561994,0.336264,[1 3] ; [12 18],[1.52941176 2.47058824] ; [11.47058824 18.52941176],0
s3,1,0.573687,0.316552,[2 3] ; [ 8 21],[1.47058824 3.52941176] ; [ 8.52941176 20.47058824],0
d2,1,0.62822,0.234483,[2 3] ; [15 14],[2.5 2.5] ; [14.5 14.5],0
d3,1,0.678721,0.171569,[2 3] ; [15 15],[2.42857143 2.57142857] ; [14.57142857 15.42857143],0
v2,1,0.752172,0.099715,[1 4] ; [ 8 22],[1.28571429 3.71428571] ; [ 7.71428571 22.28571429],0
r1,1,0.781745,0.076754,[2 3] ; [14 16],[2.28571429 2.71428571] ; [13.71428571 16.28571429],0
v1,1,0.869467,0.027006,[1 4] ; [ 7 23],[1.14285714 3.85714286] ; [ 6.85714286 23.14285714],0
n2,1,0.943209,0.005075,[1 2] ; [ 5 11],[0.94736842 2.05263158] ; [ 5.05263158 10.94736842],0
r2,1,0.953847,0.00335,[3 2] ; [17 12],[2.94117647 2.05882353] ; [17.05882353 11.94117647],0
r4,1,1.0,0.0,[1 4] ; [ 6 24],[1. 4.] ; [ 6. 24.],0
n3,1,1.0,0.0,[1 2] ; [ 5 10],[1. 2.] ; [ 5. 10.],0
p2,1,1.0,0.0,[1 4] ; [ 6 24],[1. 4.] ; [ 6. 24.],0
