Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.028265,4.811855,[4 8] ; [10  3],[6.72 5.28] ; [7.28 5.72],0
d4,1,0.063787,3.436086,[6 6] ; [11  2],[8.16 3.84] ; [8.84 4.16],0
s7,1,0.065952,3.380994,[3 9] ; [8 5],[5.28 6.72] ; [5.72 7.28],0
b4,1,0.143687,2.138024,[7 5] ; [11  2],[8.64 3.36] ; [9.36 3.64],0
r4,1,0.158464,1.988823,[4 8] ; [8 5],[5.76 6.24] ; [6.24 6.76],0
b5,1,0.161178,1.963141,[6 6] ; [10  3],[7.68 4.32] ; [8.32 4.68],0
n6,1,0.161178,1.963141,[11  1] ; [9 4],[9.6 2.4] ; [10.4  2.6],0
n5,1,0.161178,1.963141,[11  1] ; [9 4],[9.6 2.4] ; [10.4  2.6],0
n4,1,0.161178,1.963141,[11  1] ; [9 4],[9.6 2.4] ; [10.4  2.6],0
n2,1,0.164264,1.934524,[3 3] ; [6 1],[4.15384615 1.84615385] ; [4.84615385 2.15384615],0
n1,1,0.169583,1.886621,[2 4] ; [5 2],[3.23076923 2.76923077] ; [3.76923077 3.23076923],0
v4,1,0.238271,1.390797,[9 3] ; [12  1],[10.08  1.92] ; [10.92  2.08],0
s8,1,0.270948,1.211939,[3 9] ; [6 7],[4.32 7.68] ; [4.68 8.32],0
a5,1,0.270948,1.211939,[9 3] ; [7 6],[7.68 4.32] ; [8.32 4.68],0
v2,1,0.276116,1.186108,[2 9] ; [5 8],[3.20833333 7.79166667] ; [3.79166667 9.20833333],0
d1,1,0.301941,1.065601,[4 8] ; [7 6],[5.28 6.72] ; [5.72 7.28],0
p8,1,0.301941,1.065601,[4 8] ; [7 6],[5.28 6.72] ; [5.72 7.28],0
p11,1,0.301941,1.065601,[8 4] ; [6 7],[6.72 5.28] ; [7.28 5.72],0
p7,1,0.303552,1.058523,[5 6] ; [3 9],[3.82608696 7.17391304] ; [4.17391304 7.82608696],0
s3,1,0.305319,1.050816,[4 8] ; [6 5],[5.2173913 6.7826087] ; [4.7826087 6.2173913],0
v1,1,0.320423,0.987221,[5 7] ; [8 5],[6.24 5.76] ; [6.76 6.24],0
a6,1,0.320423,0.987221,[5 7] ; [8 5],[6.24 5.76] ; [6.76 6.24],0
p2,1,0.3411,0.906294,[8 3] ; [7 6],[6.875 4.125] ; [8.125 4.875],0
p5,1,0.359637,0.839161,[ 1 10] ; [ 3 10],[1.83333333 9.16666667] ; [ 2.16666667 10.83333333],0
p3,1,0.459033,0.548252,[5 6] ; [4 9],[4.125 6.875] ; [4.875 8.125],0
p4,1,0.561471,0.337163,[6 6] ; [5 8],[5.28 6.72] ; [5.72 7.28],0
r2,1,0.568261,0.3256,[8 4] ; [10  3],[8.64 3.36] ; [9.36 3.64],0
p9,1,0.568261,0.3256,[8 4] ; [10  3],[8.64 3.36] ; [9.36 3.64],0
s4,1,0.568261,0.3256,[4 8] ; [ 3 10],[3.36 8.64] ; [3.64 9.36],0
d5,1,0.570632,0.321626,[7 5] ; [9 4],[7.68 4.32] ; [8.32 4.68],0
s1,1,0.587793,0.293803,[ 1 11] ; [ 2 11],[ 1.44 10.56] ; [ 1.56 11.44],0
a1,1,0.587793,0.293803,[ 1 11] ; [ 2 11],[ 1.44 10.56] ; [ 1.56 11.44],0
a3,1,0.653368,0.201681,[9 3] ; [8 4],[8.5 3.5] ; [8.5 3.5],0
a4,1,0.67329,0.177778,[5 7] ; [4 8],[4.5 7.5] ; [4.5 7.5],0
p1,1,0.688921,0.160256,[ 2 10] ; [ 3 10],[2.4 9.6] ; [ 2.6 10.4],0
v3,1,0.772059,0.083916,[4 7] ; [4 9],[3.66666667 7.33333333] ; [4.33333333 8.66666667],0
p10,1,0.789561,0.071225,[8 4] ; [8 5],[7.68 4.32] ; [8.32 4.68],0
n3,1,0.796762,0.066327,[3 3] ; [4 3],[3.23076923 2.76923077] ; [3.76923077 3.23076923],0
r1,1,0.821348,0.050991,[7 5] ; [7 6],[6.72 5.28] ; [7.28 5.72],0
d2,1,0.821348,0.050991,[7 5] ; [7 6],[6.72 5.28] ; [7.28 5.72],0
d3,1,0.847501,0.036982,[6 6] ; [7 6],[6.24 5.76] ; [6.76 6.24],0
s2,1,0.847501,0.036982,[6 6] ; [6 7],[5.76 6.24] ; [6.24 6.76],0
s5,1,0.847501,0.036982,[6 6] ; [6 7],[5.76 6.24] ; [6.24 6.76],0
u2,1,0.850436,0.035556,[2 1] ; [3 2],[1.875 1.125] ; [3.125 1.875],0
p6,1,0.910443,0.012652,[3 9] ; [ 3 10],[2.88 9.12] ; [3.12 9.88],0
p12,1,0.952933,0.003484,[ 1 11] ; [ 1 12],[ 0.96 11.04] ; [ 1.04 11.96],0
b2,1,1.0,0.0,[2 7] ; [2 7],[2. 7.] ; [2. 7.],0
b3,1,1.0,0.0,[2 7] ; [2 7],[2. 7.] ; [2. 7.],0
