Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.3e-05,19.058824,[4 6] ; [47  3],[8.5 1.5] ; [42.5  7.5],1
a3,1,0.001473,10.111686,[5 5] ; [47  5],[8.38709677 1.61290323] ; [43.61290323  8.38709677],0
p10,1,0.00598,7.556225,[7 3] ; [49  2],[9.18032787 0.81967213] ; [46.81967213  4.18032787],0
r3,1,0.0147,5.952108,[8 2] ; [51  1],[9.51612903 0.48387097] ; [49.48387097  2.51612903],0
v2,1,0.033895,4.5,[3 7] ; [33 17],[6. 4.] ; [30. 20.],0
s7,1,0.068034,3.329833,[8 2] ; [47  2],[9.3220339 0.6779661] ; [45.6779661  3.3220339],0
n3,1,0.073638,3.2,[1 3] ; [9 3],[2.5 1.5] ; [7.5 4.5],0
b2,1,0.079539,3.074307,[1 6] ; [20 20],[3.12765957 3.87234043] ; [17.87234043 22.12765957],0
b3,1,0.079539,3.074307,[1 6] ; [20 20],[3.12765957 3.87234043] ; [17.87234043 22.12765957],0
s5,1,0.079736,3.070274,[3 5] ; [34 15],[5.19298246 2.80701754] ; [31.80701754 17.19298246],0
v3,1,0.122656,2.383079,[4 6] ; [33 17],[6.16666667 3.83333333] ; [30.83333333 19.16666667],0
a5,1,0.15027,2.069505,[6 4] ; [42 10],[7.74193548 2.25806452] ; [40.25806452 11.74193548],0
n2,1,0.182422,1.777778,[2 2] ; [10  2],[3. 1.] ; [9. 3.],0
u1,1,0.192834,1.695828,[3 7] ; [ 7 45],[1.61290323 8.38709677] ; [ 8.38709677 43.61290323],0
a6,1,0.206202,1.597896,[4 6] ; [32 20],[5.80645161 4.19354839] ; [30.19354839 21.80645161],0
d3,1,0.212277,1.555832,[9 1] ; [37 15],[7.41935484 2.58064516] ; [38.58064516 13.41935484],0
p6,1,0.220671,1.5,[5 5] ; [35 15],[6.66666667 3.33333333] ; [33.33333333 16.66666667],0
p1,1,0.262692,1.254515,[4 6] ; [12 40],[2.58064516 7.41935484] ; [13.41935484 38.58064516],0
s4,1,0.267877,1.227588,[3 7] ; [ 8 44],[1.77419355 8.22580645] ; [ 9.22580645 42.77419355],0
b4,1,0.292813,1.106642,[7 3] ; [27 25],[5.48387097 4.51612903] ; [28.51612903 23.48387097],0
s1,1,0.341963,0.903057,[2 8] ; [ 5 47],[1.12903226 8.87096774] ; [ 5.87096774 46.12903226],0
d4,1,0.341963,0.903057,[8 2] ; [47  5],[8.87096774 1.12903226] ; [46.12903226  5.87096774],0
p3,1,0.352172,0.865615,[7 3] ; [43  9],[8.06451613 1.93548387] ; [41.93548387 10.06451613],0
p9,1,0.406237,0.689787,[9 1] ; [50  2],[9.51612903 0.48387097] ; [49.48387097  2.51612903],0
p8,1,0.464792,0.53433,[8 2] ; [46  6],[8.70967742 1.29032258] ; [45.29032258  6.70967742],0
s2,1,0.483511,0.490933,[6 4] ; [37 15],[6.93548387 3.06451613] ; [36.06451613 15.93548387],0
u3,1,0.527089,0.4,[2 3] ; [3 2],[2.5 2.5] ; [2.5 2.5],0
v1,1,0.562088,0.336102,[7 3] ; [40 11],[7.70491803 2.29508197] ; [39.29508197 11.70491803],0
d2,1,0.562244,0.335833,[6 4] ; [26 26],[5.16129032 4.83870968] ; [26.83870968 25.16129032],0
a7,1,0.56578,0.329794,[8 2] ; [37 15],[7.25806452 2.74193548] ; [37.74193548 14.25806452],0
p12,1,0.56578,0.329794,[2 8] ; [15 37],[2.74193548 7.25806452] ; [14.25806452 37.74193548],0
r4,1,0.617964,0.24874,[9 1] ; [49  3],[9.35483871 0.64516129] ; [48.64516129  3.35483871],0
d5,1,0.716294,0.132071,[8 2] ; [44  8],[8.38709677 1.61290323] ; [43.61290323  8.38709677],0
a4,1,0.720255,0.128248,[4 6] ; [24 28],[4.51612903 5.48387097] ; [23.48387097 28.51612903],0
d1,1,0.777617,0.079764,[7 3] ; [34 18],[6.61290323 3.38709677] ; [34.38709677 17.61290323],0
a8,1,0.786281,0.073519,[2 7] ; [ 9 40],[1.70689655 7.29310345] ; [ 9.29310345 39.70689655],0
b1,1,0.804818,0.061066,[4 6] ; [23 29],[4.35483871 5.64516129] ; [22.64516129 29.35483871],0
n6,1,0.806112,0.060243,[9 1] ; [48  4],[9.19354839 0.80645161] ; [47.80645161  4.19354839],0
s3,1,0.831231,0.045421,[8 2] ; [40 12],[7.74193548 2.25806452] ; [40.25806452 11.74193548],0
a2,1,0.838276,0.041656,[2 8] ; [ 9 43],[1.77419355 8.22580645] ; [ 9.22580645 42.77419355],0
r1,1,0.88804,0.01982,[9 1] ; [46  6],[8.87096774 1.12903226] ; [46.12903226  5.87096774],0
p2,1,0.969947,0.001419,[9 1] ; [47  5],[9.03225806 0.96774194] ; [46.96774194  5.03225806],0
p4,1,0.969947,0.001419,[9 1] ; [47  5],[9.03225806 0.96774194] ; [46.96774194  5.03225806],0
s6,1,0.970374,0.001379,[8 1] ; [46  6],[7.96721311 1.03278689] ; [46.03278689  5.96721311],0
b5,1,0.981884,0.000516,[4 6] ; [21 31],[4.03225806 5.96774194] ; [20.96774194 31.03225806],0
u2,1,1.0,0.0,[3 2] ; [3 2],[3. 2.] ; [3. 2.],0
