Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,55.10843,[85  8] ; [ 8 24],[69.192 23.808] ; [23.808  8.192],1
s6,1,0.0004,12.530138,[83  8] ; [20 11],[76.82786885 14.17213115] ; [26.17213115  4.82786885],1
s7,1,0.000584,11.826444,[78 11] ; [19 13],[71.34710744 17.65289256] ; [25.65289256  6.34710744],1
d5,1,0.001518,10.057121,[79 13] ; [19 13],[72.70967742 19.29032258] ; [25.29032258  6.70967742],0
a4,1,0.006677,7.357796,[49 44] ; [ 8 24],[42.408 50.592] ; [14.592 17.408],0
v1,1,0.025271,5.005193,[61 29] ; [14 17],[55.78512397 34.21487603] ; [19.21487603 11.78512397],0
a3,1,0.041757,4.145043,[77 16] ; [21 11],[72.912 20.088] ; [25.088  6.912],0
n1,1,0.049589,3.855288,[17  7] ; [3 6],[14.54545455  9.45454545] ; [5.45454545 3.54545455],0
s5,1,0.055582,3.664536,[43 45] ; [ 9 22],[38.45378151 49.54621849] ; [13.54621849 17.45378151],0
d4,1,0.069504,3.294686,[77 15] ; [22 10],[73.4516129 18.5483871] ; [25.5483871  6.4516129],0
r3,1,0.072038,3.235957,[91  2] ; [29  3],[89.28  3.72] ; [30.72  1.28],0
a2,1,0.118059,2.442877,[12 81] ; [ 1 31],[ 9.672 83.328] ; [ 3.328 28.672],0
v2,1,0.153401,2.038103,[50 38] ; [13 18],[46.58823529 41.41176471] ; [16.41176471 14.58823529],0
v4,1,0.165032,1.927506,[89  3] ; [29  3],[87.5483871  4.4516129] ; [30.4516129  1.5483871],0
r2,1,0.167289,1.907074,[87  5] ; [27  4],[85.26829268  6.73170732] ; [28.73170732  2.26829268],0
u3,1,0.2261,1.465231,[11  5] ; [5 6],[9.48148148 6.51851852] ; [6.51851852 4.48148148],0
n2,1,0.248397,1.332296,[19  6] ; [5 4],[17.64705882  7.35294118] ; [6.35294118 2.64705882],0
p8,1,0.252716,1.308224,[51 40] ; [21 10],[53.70491803 37.29508197] ; [18.29508197 12.70491803],0
u1,1,0.380188,0.770094,[ 7 86] ; [ 1 31],[ 5.952 87.048] ; [ 2.048 29.952],0
p2,1,0.383829,0.758403,[73 19] ; [23  9],[71.22580645 20.77419355] ; [24.77419355  7.22580645],0
p5,1,0.396849,0.717852,[14 77] ; [ 3 29],[12.57723577 78.42276423] ; [ 4.42276423 27.57723577],0
v3,1,0.432418,0.616321,[48 42] ; [14 17],[46.11570248 43.88429752] ; [15.88429752 15.11570248],0
a5,1,0.444158,0.585518,[73 20] ; [23  9],[71.424 21.576] ; [24.576  7.424],0
u2,1,0.452651,0.564004,[11  5] ; [6 5],[10.07407407  5.92592593] ; [6.92592593 4.07407407],0
