Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.8e-05,18.352566,[18 15] ; [ 1 27],[10.27868852 22.72131148] ; [ 8.72131148 19.27868852],1
d4,1,7.6e-05,15.647882,[25  8] ; [ 7 21],[17.31147541 15.68852459] ; [14.68852459 13.31147541],1
a5,1,0.001367,10.250431,[23 10] ; [ 8 20],[16.7704918 16.2295082] ; [14.2295082 13.7704918],0
d2,1,0.004681,7.998548,[17 15] ; [ 5 23],[11.73333333 20.26666667] ; [10.26666667 17.73333333],0
a4,1,0.008648,6.894205,[15 17] ; [ 4 23],[10.30508475 21.69491525] ; [ 8.69491525 18.30508475],0
d3,1,0.026538,4.920638,[20 13] ; [ 9 19],[15.68852459 17.31147541] ; [13.31147541 14.68852459],0
v2,1,0.032184,4.588694,[10 23] ; [ 2 24],[ 6.71186441 26.28813559] ; [ 5.28813559 20.71186441],0
v4,1,0.034659,4.4619,[23 10] ; [12 16],[18.93442623 14.06557377] ; [16.06557377 11.93442623],0
a7,1,0.040936,4.178678,[18 15] ; [ 8 20],[14.06557377 18.93442623] ; [11.93442623 16.06557377],0
a6,1,0.046992,3.945678,[19 14] ; [ 9 19],[15.14754098 17.85245902] ; [12.85245902 15.14754098],0
u3,1,0.049184,3.869048,[6 6] ; [ 2 12],[3.69230769 8.30769231] ; [4.30769231 9.69230769],0
a2,1,0.074409,3.182978,[ 6 27] ; [ 1 27],[ 3.78688525 29.21311475] ; [ 3.21311475 24.78688525],0
u2,1,0.126858,2.330532,[6 6] ; [ 3 11],[4.15384615 7.84615385] ; [4.84615385 9.15384615],0
b5,1,0.15448,2.027441,[19 14] ; [11 17],[16.2295082 16.7704918] ; [13.7704918 14.2295082],0
p11,1,0.202489,1.624333,[12 21] ; [ 6 22],[ 9.73770492 23.26229508] ; [ 8.26229508 19.73770492],0
p2,1,0.227659,1.455431,[10 22] ; [13 15],[12.26666667 19.73333333] ; [10.73333333 17.26666667],0
p1,1,0.2824,1.155503,[ 2 31] ; [ 4 24],[ 3.24590164 29.75409836] ; [ 2.75409836 25.24590164],0
b4,1,0.283183,1.151748,[21 12] ; [14 14],[18.93442623 14.06557377] ; [16.06557377 11.93442623],0
n2,1,0.316563,1.003096,[ 8 11] ; [10  7],[9.5 9.5] ; [8.5 8.5],0
s2,1,0.327848,0.957381,[ 4 29] ; [ 6 22],[ 5.40983607 27.59016393] ; [ 4.59016393 23.40983607],0
r2,1,0.406073,0.690268,[22  9] ; [17 11],[20.49152542 10.50847458] ; [18.50847458  9.49152542],0
v3,1,0.425099,0.636175,[ 9 24] ; [ 5 22],[ 7.7 25.3] ; [ 6.3 20.7],0
n6,1,0.427186,0.630462,[17 15] ; [12 16],[15.46666667 16.53333333] ; [13.53333333 14.46666667],0
s3,1,0.441706,0.591846,[ 7 25] ; [ 8 18],[ 8.27586207 23.72413793] ; [ 6.72413793 19.27586207],0
a3,1,0.447246,0.577622,[21 12] ; [14 12],[19.57627119 13.42372881] ; [15.42372881 10.57627119],0
p12,1,0.45919,0.547868,[ 1 32] ; [ 2 26],[ 1.62295082 31.37704918] ; [ 1.37704918 26.62295082],0
p10,1,0.510569,0.4329,[15 18] ; [10 17],[13.75 19.25] ; [11.25 15.75],0
n1,1,0.515592,0.422701,[ 8 11] ; [9 8],[ 8.97222222 10.02777778] ; [8.02777778 8.97222222],0
r4,1,0.525857,0.402391,[ 3 30] ; [ 4 24],[ 3.78688525 29.21311475] ; [ 3.21311475 24.78688525],0
s8,1,0.529035,0.396245,[ 4 29] ; [ 5 23],[ 4.86885246 28.13114754] ; [ 4.13114754 23.86885246],0
s6,1,0.543944,0.368279,[ 8 25] ; [ 5 23],[ 7.03278689 25.96721311] ; [ 5.96721311 22.03278689],0
b1,1,0.604921,0.267638,[21 12] ; [16 12],[20.01639344 12.98360656] ; [16.98360656 11.01639344],0
a1,1,0.608932,0.261734,[ 5 28] ; [ 3 25],[ 4.32786885 28.67213115] ; [ 3.67213115 24.32786885],0
n3,1,0.640458,0.218144,[ 8 11] ; [8 8],[ 8.68571429 10.31428571] ; [7.31428571 8.68571429],0
p6,1,0.646932,0.20979,[ 5 28] ; [ 3 24],[ 4.4 28.6] ; [ 3.6 23.4],0
s4,1,0.682109,0.167762,[ 6 27] ; [ 4 24],[ 5.40983607 27.59016393] ; [ 4.59016393 23.40983607],0
p4,1,0.734749,0.114796,[ 9 23] ; [ 9 19],[ 9.6 22.4] ; [ 8.4 19.6],0
n4,1,0.784033,0.075113,[20 13] ; [16 12],[19.47540984 13.52459016] ; [16.52459016 11.47540984],0
p3,1,0.78479,0.074574,[ 9 23] ; [ 7 21],[ 8.53333333 23.46666667] ; [ 7.46666667 20.53333333],0
p7,1,0.792323,0.069324,[11 19] ; [ 9 18],[10.52631579 19.47368421] ; [ 9.47368421 17.52631579],0
p8,1,0.801788,0.063018,[10 23] ; [ 9 18],[10.45 22.55] ; [ 8.55 18.45],0
r1,1,0.803845,0.06169,[14 19] ; [11 17],[13.52459016 19.47540984] ; [11.47540984 16.52459016],0
s1,1,0.831982,0.045012,[ 3 30] ; [ 3 25],[ 3.24590164 29.75409836] ; [ 2.75409836 25.24590164],0
s7,1,0.865272,0.028787,[ 7 22] ; [ 6 21],[ 6.73214286 22.26785714] ; [ 6.26785714 20.73214286],0
n5,1,0.877118,0.023909,[23 10] ; [19  9],[22.72131148 10.27868852] ; [19.27868852  8.72131148],0
v1,1,0.882526,0.021835,[10 23] ; [ 8 20],[ 9.73770492 23.26229508] ; [ 8.26229508 19.73770492],0
p9,1,0.912165,0.012168,[14 18] ; [11 15],[13.79310345 18.20689655] ; [11.20689655 14.79310345],0
a8,1,0.917858,0.010636,[ 1 29] ; [ 1 25],[ 1.07142857 28.92857143] ; [ 0.92857143 25.07142857],0
b2,1,0.938206,0.00601,[ 9 13] ; [ 8 11],[ 9.12195122 12.87804878] ; [ 7.87804878 11.12195122],0
b3,1,0.938206,0.00601,[ 9 13] ; [ 8 11],[ 9.12195122 12.87804878] ; [ 7.87804878 11.12195122],0
