Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,52.426345,[91  3] ; [14 20],[77.109375 16.890625] ; [27.890625  6.109375],1
v4,1,0.0,48.703349,[91  3] ; [15 19],[77.84375 16.15625] ; [28.15625  5.84375],1
r1,1,0.0,36.621454,[78 16] ; [ 9 25],[63.890625 30.109375] ; [23.109375 10.890625],1
r2,1,0.0,29.912833,[91  2] ; [20 12],[82.584 10.416] ; [28.416  3.584],1
s6,1,1e-06,24.086892,[63 29] ; [ 7 28],[50.70866142 41.29133858] ; [19.29133858 15.70866142],1
n6,1,1.8e-05,18.395684,[74 19] ; [13 20],[64.21428571 28.78571429] ; [22.78571429 10.21428571],1
p9,1,3.6e-05,17.092037,[68 26] ; [10 22],[58.19047619 35.80952381] ; [19.80952381 12.19047619],1
s8,1,0.000157,14.286793,[44 48] ; [ 4 31],[34.77165354 57.22834646] ; [13.22834646 21.77165354],1
p10,1,0.000209,13.748916,[63 30] ; [11 24],[53.765625 39.234375] ; [20.234375 14.765625],1
s2,1,0.000294,13.111131,[49 44] ; [ 6 29],[39.9609375 53.0390625] ; [15.0390625 19.9609375],1
p11,1,0.00119,10.505875,[57 37] ; [10 25],[48.82170543 45.17829457] ; [18.17829457 16.82170543],0
s5,1,0.003306,8.63027,[35 54] ; [ 4 30],[28.2195122 60.7804878] ; [10.7804878 23.2195122],0
n3,1,0.01461,5.962914,[23  8] ; [ 8 12],[18.84313725 12.15686275] ; [12.15686275  7.84313725],0
p6,1,0.01915,5.487807,[23 71] ; [ 2 32],[18.359375 75.640625] ; [ 6.640625 27.359375],0
v3,1,0.019182,5.484818,[37 48] ; [ 7 27],[31.42857143 53.57142857] ; [12.57142857 21.42857143],0
v2,1,0.032996,4.545975,[50 38] ; [12 22],[44.72131148 43.27868852] ; [17.27868852 16.72131148],0
n2,1,0.035072,4.441673,[27  7] ; [11 10],[23.49090909 10.50909091] ; [14.50909091  6.49090909],0
s7,1,0.037151,4.343482,[44 45] ; [ 9 23],[38.98347107 50.01652893] ; [14.01652893 17.98347107],0
s3,1,0.041157,4.169545,[48 45] ; [11 24],[42.8671875 50.1328125] ; [16.1328125 18.8671875],0
p4,1,0.041796,4.143445,[36 56] ; [ 7 28],[31.1496063 60.8503937] ; [11.8503937 23.1496063],0
p3,1,0.044114,4.052178,[37 56] ; [ 7 27],[32.22047244 60.77952756] ; [11.77952756 22.22047244],0
s4,1,0.06674,3.361435,[21 71] ; [ 3 32],[17.38582677 74.61417323] ; [ 6.61417323 28.38582677],0
u3,1,0.112483,2.518983,[15  9] ; [2 5],[13.16129032 10.83870968] ; [3.83870968 3.16129032],0
v1,1,0.139665,2.181642,[40 51] ; [10 24],[36.4 54.6] ; [13.6 20.4],0
a1,1,0.161056,1.964286,[ 8 86] ; [ 6 29],[10.20155039 83.79844961] ; [ 3.79844961 31.20155039],0
p7,1,0.192419,1.699,[31 62] ; [ 7 26],[28.04761905 64.95238095] ; [ 9.95238095 23.04761905],0
b5,1,0.193917,1.687608,[55 39] ; [16 19],[51.73643411 42.26356589] ; [19.26356589 15.73643411],0
s1,1,0.20777,1.586895,[ 5 89] ; [ 4 30],[ 6.609375 87.390625] ; [ 2.390625 31.609375],0
u1,1,0.257646,1.281364,[22 72] ; [ 5 30],[19.6744186 74.3255814] ; [ 7.3255814 27.6744186],0
n5,1,0.305163,1.051496,[67 27] ; [21 13],[64.625 29.375] ; [23.375 10.625],0
b4,1,0.312139,1.021603,[55 39] ; [17 18],[52.46511628 41.53488372] ; [19.53488372 15.46511628],0
b1,1,0.34908,0.876799,[45 49] ; [20 15],[47.36434109 46.63565891] ; [17.63565891 17.36434109],0
a3,1,0.352321,0.865081,[70 24] ; [28  6],[71.96875 22.03125] ; [26.03125  7.96875],0
n4,1,0.365614,0.818517,[66 28] ; [21 13],[63.890625 30.109375] ; [23.109375 10.890625],0
u2,1,0.368042,0.810264,[11 12] ; [2 5],[ 9.96666667 13.03333333] ; [3.03333333 3.96666667],0
p1,1,0.44432,0.585102,[ 9 85] ; [ 5 30],[10.20155039 83.79844961] ; [ 3.79844961 31.20155039],0
d4,1,0.449195,0.572683,[74 18] ; [26  9],[72.44094488 19.55905512] ; [27.55905512  7.44094488],0
p8,1,0.48815,0.480601,[25 69] ; [ 7 27],[23.5 70.5] ; [ 8.5 25.5],0
d2,1,0.511527,0.430942,[53 38] ; [22 12],[54.6 36.4] ; [20.4 13.6],0
d1,1,0.559982,0.339735,[59 35] ; [20 15],[57.56589147 36.43410853] ; [21.43410853 13.56589147],0
a4,1,0.707992,0.140291,[56 38] ; [19 15],[55.078125 38.921875] ; [19.921875 14.078125],0
d5,1,0.731406,0.117825,[71 21] ; [28  7],[71.71653543 20.28346457] ; [27.28346457  7.71653543],0
a2,1,0.734763,0.114783,[27 67] ; [ 9 26],[26.23255814 67.76744186] ; [ 9.76744186 25.23255814],0
d3,1,0.751344,0.100406,[55 37] ; [22 13],[55.77952756 36.22047244] ; [21.22047244 13.77952756],0
b2,1,0.763099,0.09085,[28 39] ; [10 12],[28.60674157 38.39325843] ; [ 9.39325843 12.60674157],0
b3,1,0.763099,0.09085,[28 39] ; [10 12],[28.60674157 38.39325843] ; [ 9.39325843 12.60674157],0
n1,1,0.773793,0.082609,[15 17] ; [ 9 12],[14.49056604 17.50943396] ; [ 9.50943396 11.49056604],0
a6,1,0.837652,0.041983,[64 28] ; [25 10],[64.47244094 27.52755906] ; [24.52755906 10.47244094],0
p5,1,0.870683,0.026501,[ 9 83] ; [ 3 31],[ 8.76190476 83.23809524] ; [ 3.23809524 30.76190476],0
a7,1,0.895243,0.017338,[62 32] ; [22 12],[61.6875 32.3125] ; [22.3125 11.6875],0
a8,1,0.950311,0.003883,[10 78] ; [ 4 30],[10.09836066 77.90163934] ; [ 3.90163934 30.09836066],0
