Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,70.223214,[105  15] ; [51 89],[72. 48.] ; [84. 56.],1
p6,1,3e-06,22.137811,[58 62] ; [ 29 111],[40.15384615 79.84615385] ; [46.84615385 93.15384615],1
p8,1,3e-06,21.728865,[77 43] ; [48 89],[58.36575875 61.63424125] ; [66.63424125 70.36575875],1
p5,1,1.7e-05,18.46909,[23 97] ; [  4 136],[ 12.46153846 107.53846154] ; [ 14.53846154 125.46153846],1
p7,1,0.000912,10.997305,[87 32] ; [72 64],[74.2 44.8] ; [84.8 51.2],1
p1,1,0.001039,10.756592,[ 15 105] ; [  3 137],[  8.30769231 111.69230769] ; [  9.69230769 130.30769231],0
a5,1,0.022123,5.236111,[93 27] ; [91 50],[84.59770115 35.40229885] ; [99.40229885 41.59770115],0
a8,1,0.03269,4.561938,[  9 105] ; [ 22 107],[14.54320988 99.45679012] ; [ 16.45679012 112.54320988],0
b5,1,0.042053,4.133051,[59 61] ; [87 54],[67.12643678 52.87356322] ; [78.87356322 62.12643678],0
a4,1,0.05042,3.82743,[56 64] ; [49 92],[48.27586207 71.72413793] ; [56.72413793 84.27586207],0
s7,1,0.061116,3.506843,[70 42] ; [71 69],[62.66666667 49.33333333] ; [78.33333333 61.66666667],0
p9,1,0.082494,3.015074,[103  17] ; [106  31],[97.58754864 22.41245136] ; [111.41245136  25.58754864],0
a3,1,0.083959,2.986556,[87 33] ; [88 53],[80.45977011 39.54022989] ; [94.54022989 46.45977011],0
a7,1,0.099547,2.712789,[80 40] ; [107  34],[85.97701149 34.02298851] ; [101.02298851  39.97701149],0
s5,1,0.112126,2.523996,[53 62] ; [50 88],[46.81818182 68.18181818] ; [56.18181818 81.81818182],0
u1,1,0.113858,2.499835,[26 94] ; [ 20 121],[21.14942529 98.85057471] ; [ 24.85057471 116.14942529],0
p2,1,0.115404,2.478618,[102  18] ; [109  32],[97.01149425 22.98850575] ; [113.98850575  27.01149425],0
s3,1,0.121779,2.394287,[90 30] ; [92 47],[84.32432432 35.67567568] ; [97.67567568 41.32432432],0
d2,1,0.155907,2.013486,[62 58] ; [60 80],[56.30769231 63.69230769] ; [65.69230769 74.30769231],0
r1,1,0.188304,1.730838,[99 20] ; [108  33],[94.74230769 24.25769231] ; [112.25769231  28.74230769],0
n4,1,0.194963,1.679707,[92 28] ; [98 43],[87.35632184 32.64367816] ; [102.64367816  38.35632184],0
p12,1,0.203293,1.618557,[ 13 107] ; [  9 131],[ 10.15384615 109.84615385] ; [ 11.84615385 128.15384615],0
s8,1,0.214724,1.539288,[62 58] ; [62 79],[57.01149425 62.98850575] ; [66.98850575 74.01149425],0
d3,1,0.215057,1.537052,[78 42] ; [101  39],[82.61538462 37.38461538] ; [96.38461538 43.61538462],0
p11,1,0.227566,1.45601,[93 27] ; [100  41],[88.73563218 31.26436782] ; [104.26436782  36.73563218],0
p10,1,0.245985,1.345961,[97 22] ; [105  34],[93.17054264 25.82945736] ; [108.82945736  30.17054264],0
u2,1,0.253824,1.302131,[21 12] ; [26 25],[18.46428571 14.53571429] ; [28.53571429 22.46428571],0
d1,1,0.288558,1.126336,[70 50] ; [73 68],[65.74712644 54.25287356] ; [77.25287356 63.74712644],0
b1,1,0.296251,1.090993,[51 69] ; [51 90],[46.89655172 73.10344828] ; [55.10344828 85.89655172],0
n2,1,0.300989,1.069809,[18 10] ; [34 11],[19.94520548  8.05479452] ; [32.05479452 12.94520548],0
r4,1,0.32492,0.96904,[110  10] ; [124  17],[107.5862069  12.4137931] ; [126.4137931  14.5862069],0
a2,1,0.325047,0.968531,[29 91] ; [ 27 114],[25.74712644 94.25287356] ; [ 30.25287356 110.74712644],0
v2,1,0.344422,0.893902,[54 64] ; [53 80],[50.30278884 67.69721116] ; [56.69721116 76.30278884],0
a1,1,0.38884,0.742567,[  8 112] ; [  6 135],[  6.43678161 113.56321839] ; [  7.56321839 133.43678161],0
v3,1,0.449934,0.570817,[36 81] ; [ 36 100],[33.29644269 83.70355731] ; [38.70355731 97.29644269],0
a6,1,0.462702,0.539352,[78 42] ; [97 43],[80.76923077 39.23076923] ; [94.23076923 45.76923077],0
v4,1,0.473516,0.513759,[114   6] ; [130  10],[112.61538462   7.38461538] ; [131.38461538   8.61538462],0
s2,1,0.476257,0.507422,[78 42] ; [85 55],[75.23076923 44.76923077] ; [87.76923077 52.23076923],0
n6,1,0.536462,0.382136,[102  18] ; [115  25],[100.15384615  19.84615385] ; [116.84615385  23.15384615],0
d5,1,0.555355,0.347811,[97 23] ; [109  31],[95.07692308 24.92307692] ; [110.92307692  29.07692308],0
b3,1,0.555859,0.346924,[22 51] ; [18 52],[20.41958042 52.58041958] ; [19.58041958 50.41958042],0
b2,1,0.555859,0.346924,[22 51] ; [18 52],[20.41958042 52.58041958] ; [19.58041958 50.41958042],0
r2,1,0.591849,0.287466,[110   8] ; [128  12],[108.85271318   9.14728682] ; [129.14728682  10.85271318],0
n5,1,0.617429,0.249497,[85 34] ; [96 44],[83.16216216 35.83783784] ; [97.83783784 42.16216216],0
n3,1,0.717158,0.131232,[21  7] ; [32 13],[20.32876712  7.67123288] ; [32.67123288 12.32876712],0
d4,1,0.755794,0.096726,[97 23] ; [111  29],[96. 24.] ; [112.  28.],0
r3,1,0.760673,0.092779,[114   5] ; [133   7],[113.48648649   5.51351351] ; [133.51351351   6.48648649],0
b4,1,0.778873,0.078842,[71 49] ; [81 60],[69.88505747 50.11494253] ; [82.11494253 58.88505747],0
s1,1,0.788633,0.071871,[  6 114] ; [  8 131],[  6.48648649 113.51351351] ; [  7.51351351 131.48648649],0
u3,1,0.817248,0.053401,[18 14] ; [30 21],[18.5060241 13.4939759] ; [29.4939759 21.5060241],0
s4,1,0.853803,0.033955,[34 85] ; [ 38 100],[33.3385214 85.6614786] ; [38.6614786 99.3385214],0
n1,1,0.887831,0.019895,[10 18] ; [15 29],[ 9.72222222 18.27777778] ; [15.27777778 28.72222222],0
u4,1,0.908764,0.013133,[  1 119] ; [  1 140],[  0.91954023 119.08045977] ; [  1.08045977 139.91954023],0
