Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,56.734827,[ 36 220] ; [107 132],[ 73.95555556 182.04444444] ; [ 69.04444444 169.95555556],1
v1,1,0.0,34.905353,[ 79 179] ; [138 105],[111.74850299 146.25149701] ; [105.25149701 137.74850299],1
r3,1,3e-06,22.068347,[214  44] ; [235  10],[230.30218688  27.69781312] ; [218.69781312  26.30218688],1
d1,1,6e-06,20.346807,[100 160] ; [145 103],[125.39370079 134.60629921] ; [119.60629921 128.39370079],1
r1,1,8e-06,19.873296,[161  98] ; [198  49],[183.756917  75.243083] ; [175.243083  71.756917],1
d3,1,4.1e-05,16.843568,[146 111] ; [184  64],[167.94059406  89.05940594] ; [162.05940594  85.94059406],1
a5,1,0.000161,14.242603,[147 113] ; [180  68],[167.36220472  92.63779528] ; [159.63779528  88.36220472],1
p10,1,0.00038,12.627633,[156 101] ; [185  60],[174.57569721  82.42430279] ; [166.42430279  78.57569721],1
d4,1,0.000394,12.560288,[184  75] ; [208  39],[200.64822134  58.35177866] ; [191.35177866  55.64822134],1
d5,1,0.00044,12.353286,[175  83] ; [202  46],[192.22529644  65.77470356] ; [184.77470356  63.22529644],1
p11,1,0.00058,11.838006,[165  95] ; [192  56],[182.71653543  77.28346457] ; [174.28346457  73.71653543],1
p9,1,0.001417,10.183416,[167  87] ; [191  52],[182.96177062  71.03822938] ; [175.03822938  67.96177062],0
r4,1,0.002238,9.343308,[194  66] ; [212  36],[207.79527559  52.20472441] ; [198.20472441  49.79527559],0
s6,1,0.005338,7.761294,[107 151] ; [131 112],[122.56287425 135.43712575] ; [115.43712575 127.56287425],0
p4,1,0.005532,7.696836,[106 153] ; [130 114],[121.51888668 137.48111332] ; [114.48111332 129.51888668],0
p7,1,0.008295,6.968627,[121 134] ; [144  99],[135.69277108 119.30722892] ; [129.30722892 113.69277108],0
s1,1,0.008769,6.869379,[ 16 241] ; [  4 240],[ 10.25948104 246.74051896] ; [  9.74051896 234.25948104],0
a3,1,0.009493,6.727613,[148 108] ; [171  77],[162.03174603  93.96825397] ; [156.96825397  91.03174603],0
p8,1,0.010874,6.485875,[ 94 165] ; [115 127],[108.04590818 150.95409182] ; [100.95409182 141.04590818],0
a7,1,0.012974,6.172706,[170  89] ; [187  60],[182.73320158  76.26679842] ; [174.26679842  72.73320158],0
p3,1,0.013488,6.103963,[ 85 174] ; [107 139],[ 98.47128713 160.52871287] ; [ 93.52871287 152.47128713],0
a2,1,0.014994,5.91722,[ 37 223] ; [ 56 192],[ 47.5984252 212.4015748] ; [ 45.4015748 202.5984252],0
n3,1,0.016351,5.764735,[49 32] ; [44 11],[55.38970588 25.61029412] ; [37.61029412 17.38970588],0
v4,1,0.018904,5.510392,[222  37] ; [227  19],[230.27920792  28.72079208] ; [218.72079208  27.27920792],0
r2,1,0.03592,4.400892,[226  31] ; [227  16],[232.842  24.158] ; [220.158  22.842],0
u1,1,0.062068,3.481237,[ 23 237] ; [ 35 213],[ 29.68503937 230.31496063] ; [ 28.31496063 219.68503937],0
p2,1,0.064374,3.420948,[188  72] ; [196  51],[196.92307692  63.07692308] ; [187.07692308  59.92307692],0
n6,1,0.064391,3.420518,[187  72] ; [195  51],[195.91683168  63.08316832] ; [186.08316832  59.91683168],0
a6,1,0.089783,2.878255,[160  99] ; [171  77],[169.09072978  89.90927022] ; [161.90927022  86.09072978],0
a4,1,0.09111,2.85465,[ 93 164] ; [108 140],[102.29108911 154.70891089] ; [ 98.70891089 149.29108911],0
b1,1,0.093241,2.81751,[109 151] ; [ 86 162],[ 99.80314961 160.19685039] ; [ 95.19685039 152.80314961],0
d2,1,0.135671,2.226383,[ 94 163] ; [106 140],[102.18687873 154.81312127] ; [ 97.81312127 148.18687873],0
p6,1,0.147102,2.102052,[ 57 200] ; [ 67 174],[ 63.99196787 193.00803213] ; [ 60.00803213 180.99196787],0
s4,1,0.209448,1.575236,[ 48 208] ; [ 36 211],[ 42.75149105 213.24850895] ; [ 41.24850895 205.75149105],0
n4,1,0.219302,1.508933,[171  89] ; [175  72],[177.43589744  82.56410256] ; [168.56410256  78.43589744],0
p12,1,0.237105,1.397725,[  5 254] ; [  9 237],[  7.18019802 251.81980198] ; [  6.81980198 239.18019802],0
s7,1,0.270332,1.215063,[ 56 189] ; [ 65 174],[ 61.25 183.75] ; [ 59.75 179.25],0
n1,1,0.276377,1.184821,[30 53] ; [15 40],[27.06521739 55.93478261] ; [17.93478261 37.06521739],0
b4,1,0.281728,1.158735,[145 115] ; [150  98],[150.98425197 109.01574803] ; [144.01574803 103.98425197],0
u3,1,0.363014,0.827439,[56 54] ; [34 43],[52.94117647 57.05882353] ; [37.05882353 39.94117647],0
n2,1,0.491633,0.47295,[56 28] ; [39 15],[57.82608696 26.17391304] ; [37.17391304 16.82608696],0
s2,1,0.534279,0.386247,[ 79 179] ; [ 82 165],[ 82.25346535 175.74653465] ; [ 78.74653465 168.25346535],0
b5,1,0.537019,0.381093,[159 101] ; [145 103],[155.59055118 104.40944882] ; [148.40944882  99.59055118],0
b2,1,0.546832,0.363023,[ 46 103] ; [35 92],[ 43.72826087 105.27173913] ; [37.27173913 89.72826087],0
b3,1,0.546832,0.363023,[ 46 103] ; [35 92],[ 43.72826087 105.27173913] ; [37.27173913 89.72826087],0
a1,1,0.599995,0.275004,[ 13 247] ; [ 10 238],[ 11.77165354 248.22834646] ; [ 11.22834646 236.77165354],0
