Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.012074,6.3,[26 34] ; [ 9 36],[20. 40.] ; [15. 30.],0
p1,1,0.035937,4.400077,[ 8 51] ; [ 1 46],[ 5.00943396 53.99056604] ; [ 3.99056604 43.00943396],0
s6,1,0.045156,4.012798,[45 16] ; [26 21],[40.10185185 20.89814815] ; [30.89814815 16.10185185],0
p6,1,0.065188,3.400217,[26 35] ; [12 35],[21.46296296 39.53703704] ; [16.53703704 30.46296296],0
p8,1,0.065608,3.389617,[40 21] ; [22 24],[35.34579439 25.65420561] ; [26.65420561 19.34579439],0
s8,1,0.088547,2.900593,[28 33] ; [14 33],[23.72222222 37.27777778] ; [18.27777778 28.72222222],0
p9,1,0.100985,2.689923,[48 12] ; [31 16],[44.29906542 15.70093458] ; [34.70093458 12.29906542],0
n6,1,0.104965,2.628443,[43 17] ; [26 20],[39.05660377 20.94339623] ; [29.94339623 16.05660377],0
a5,1,0.118105,2.442272,[45 16] ; [28 19],[41.23148148 19.76851852] ; [31.76851852 15.23148148],0
p5,1,0.122976,2.379001,[ 8 53] ; [ 2 44],[ 5.70093458 55.29906542] ; [ 4.29906542 41.70093458],0
p12,1,0.172215,1.863559,[ 5 56] ; [ 1 46],[ 3.38888889 57.61111111] ; [ 2.61111111 44.38888889],0
p7,1,0.177369,1.819535,[47 14] ; [30 16],[43.89719626 17.10280374] ; [33.10280374 12.89719626],0
s7,1,0.200967,1.635331,[27 29] ; [16 29],[23.84158416 32.15841584] ; [19.15841584 25.84158416],0
s4,1,0.217717,1.519358,[18 43] ; [ 9 38],[15.25 45.75] ; [11.75 35.25],0
a8,1,0.245641,1.347924,[ 2 53] ; [ 4 39],[ 3.36734694 51.63265306] ; [ 2.63265306 40.36734694],0
p2,1,0.251038,1.317519,[49 11] ; [34 13],[46.54205607 13.45794393] ; [36.45794393 10.54205607],0
r3,1,0.269774,1.217895,[57  4] ; [41  6],[55.35185185  5.64814815] ; [42.64814815  4.35185185],0
p10,1,0.306147,1.047224,[45 15] ; [31 16],[42.61682243 17.38317757] ; [33.38317757 13.61682243],0
d1,1,0.307037,1.043377,[32 29] ; [20 27],[29.37037037 31.62962963] ; [22.62962963 24.37037037],0
n3,1,0.321494,0.982859,[10  6] ; [17  5],[11.36842105  4.63157895] ; [15.63157895  6.36842105],0
a3,1,0.333254,0.936211,[36 25] ; [32 15],[38.40740741 22.59259259] ; [29.59259259 17.40740741],0
b4,1,0.341403,0.905157,[38 23] ; [25 22],[35.58333333 25.41666667] ; [27.41666667 19.58333333],0
r4,1,0.345291,0.890689,[50 11] ; [35 12],[48.00925926 12.99074074] ; [36.99074074 10.00925926],0
b1,1,0.39614,0.720011,[27 34] ; [17 30],[24.85185185 36.14814815] ; [19.14814815 27.85185185],0
a7,1,0.399465,0.709935,[46 15] ; [32 15],[44.05555556 16.94444444] ; [33.94444444 13.05555556],0
b2,1,0.432132,0.617088,[ 9 25] ; [ 9 16],[10.37288136 23.62711864] ; [ 7.62711864 17.37288136],0
b3,1,0.432132,0.617088,[ 9 25] ; [ 9 16],[10.37288136 23.62711864] ; [ 7.62711864 17.37288136],0
p11,1,0.43758,0.60262,[42 19] ; [29 18],[40.10185185 20.89814815] ; [30.89814815 16.10185185],0
a1,1,0.446493,0.579539,[ 3 58] ; [ 1 46],[ 2.25925926 58.74074074] ; [ 1.74074074 45.25925926],0
s1,1,0.446553,0.579387,[ 2 59] ; [ 3 44],[ 2.82407407 58.17592593] ; [ 2.17592593 44.82407407],0
v1,1,0.448046,0.57559,[27 31] ; [18 28],[25.09615385 32.90384615] ; [19.90384615 26.09615385],0
d3,1,0.517289,0.419294,[45 16] ; [32 15],[43.49074074 17.50925926] ; [33.50925926 13.49074074],0
v4,1,0.51976,0.41437,[55  6] ; [44  3],[55.91666667  5.08333333] ; [43.08333333  3.91666667],0
d5,1,0.545719,0.365043,[46 15] ; [33 14],[44.62037037 16.37962963] ; [34.37962963 12.62037037],0
u3,1,0.565021,0.331085,[17  8] ; [10  3],[17.76315789  7.23684211] ; [9.23684211 3.76315789],0
