Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,7.4e-05,15.697849,[29 65] ; [ 12 112],[17.67889908 76.32110092] ; [ 23.32110092 100.67889908],1
r1,1,0.002442,9.183204,[81 14] ; [85 41],[71.35746606 23.64253394] ; [94.64253394 31.35746606],0
r4,1,0.005723,7.635379,[90  6] ; [102  24],[83.02702703 12.97297297] ; [108.97297297  17.02702703],0
p9,1,0.020691,5.352617,[86 10] ; [98 28],[79.56756757 16.43243243] ; [104.43243243  21.56756757],0
s1,1,0.028794,4.779903,[ 2 90] ; [ 12 114],[ 5.90825688 86.09174312] ; [  8.09174312 117.90825688],0
r2,1,0.036228,4.386325,[92  4] ; [108  15],[87.67123288  8.32876712] ; [112.32876712  10.67123288],0
p10,1,0.036609,4.368492,[82 12] ; [95 30],[75.97260274 18.02739726] ; [101.02739726  23.97260274],0
n5,1,0.041423,4.158615,[79 17] ; [88 37],[72.54298643 23.45701357] ; [94.45701357 30.54298643],0
d5,1,0.047332,3.933537,[80 15] ; [92 34],[73.93665158 21.06334842] ; [98.06334842 27.93665158],0
a5,1,0.059765,3.543894,[73 23] ; [81 45],[66.59459459 29.40540541] ; [87.40540541 38.59459459],0
s8,1,0.060998,3.510045,[51 45] ; [51 75],[44.10810811 51.89189189] ; [57.89189189 68.10810811],0
s5,1,0.093077,2.82034,[39 50] ; [40 83],[33.16509434 55.83490566] ; [45.83490566 77.16509434],0
b1,1,0.101784,2.677368,[51 45] ; [53 73],[44.97297297 51.02702703] ; [59.02702703 66.97297297],0
u1,1,0.108412,2.57722,[18 78] ; [ 14 112],[13.83783784 82.16216216] ; [ 18.16216216 107.83783784],0
p8,1,0.12113,2.402649,[63 32] ; [70 55],[57.43181818 37.56818182] ; [75.56818182 49.43181818],0
r3,1,0.122357,2.38689,[92  4] ; [113  12],[89.04977376  6.95022624] ; [115.95022624   9.04977376],0
p7,1,0.126668,2.33287,[74 22] ; [84 40],[68.94545455 27.05454545] ; [89.05454545 34.94545455],0
p5,1,0.14326,2.142584,[18 76] ; [ 15 110],[14.16438356 79.83561644] ; [ 18.83561644 106.16438356],0
n4,1,0.183809,1.766551,[78 17] ; [94 32],[73.93665158 21.06334842] ; [98.06334842 27.93665158],0
s2,1,0.195696,1.674209,[56 38] ; [64 62],[51.27272727 42.72727273] ; [68.72727273 57.27272727],0
p2,1,0.261438,1.261125,[83 13] ; [114  11],[85.57466063 10.42533937] ; [111.42533937  13.57466063],0
u3,1,0.281874,1.158032,[23 10] ; [26 19],[20.73076923 12.26923077] ; [28.26923077 16.73076923],0
d4,1,0.287421,1.131664,[78 17] ; [96 30],[74.79638009 20.20361991] ; [99.20361991 26.79638009],0
a7,1,0.316906,1.001671,[70 26] ; [84 42],[66.59459459 29.40540541] ; [87.40540541 38.59459459],0
v4,1,0.387018,0.74829,[93  3] ; [119   7],[91.67567568  4.32432432] ; [120.32432432   5.67567568],0
d3,1,0.406163,0.690004,[69 27] ; [84 42],[66.16216216 29.83783784] ; [86.83783784 39.16216216],0
u2,1,0.407573,0.685868,[17 16] ; [28 18],[18.79746835 14.20253165] ; [26.20253165 19.79746835],0
b2,1,0.408463,0.683271,[27 43] ; [23 49],[24.64788732 45.35211268] ; [25.35211268 46.64788732],0
b3,1,0.408463,0.683271,[27 43] ; [23 49],[24.64788732 45.35211268] ; [25.35211268 46.64788732],0
a2,1,0.42801,0.628217,[20 76] ; [ 21 105],[17.72972973 78.27027027] ; [ 23.27027027 102.72972973],0
p12,1,0.43768,0.602357,[ 6 90] ; [  5 121],[ 4.75675676 91.24324324] ; [  6.24324324 119.75675676],0
d1,1,0.443633,0.586868,[56 40] ; [67 59],[53.18918919 42.81081081] ; [69.81081081 56.18918919],0
n2,1,0.459785,0.546419,[8 3] ; [23 15],[6.95918367 4.04081633] ; [24.04081633 13.95918367],0
a8,1,0.548263,0.360437,[12 75] ; [ 13 105],[10.6097561 76.3902439] ; [ 14.3902439 103.6097561],0
n6,1,0.5667,0.328236,[84 12] ; [106  19],[82.53393665 13.46606335] ; [107.46606335  17.53393665],0
a3,1,0.578557,0.308573,[63 32] ; [79 47],[61.04072398 33.95927602] ; [80.95927602 45.04072398],0
a6,1,0.596296,0.280619,[62 34] ; [77 49],[60.10810811 35.89189189] ; [78.89189189 47.10810811],0
p11,1,0.634436,0.226093,[75 21] ; [95 31],[73.51351351 22.48648649] ; [96.48648649 29.51351351],0
b4,1,0.658186,0.195735,[52 44] ; [72 54],[53.62162162 42.37837838] ; [70.37837838 55.62162162],0
a1,1,0.658963,0.194786,[ 5 91] ; [  5 121],[ 4.32432432 91.67567568] ; [  5.67567568 120.32432432],0
p6,1,0.7058,0.142508,[47 49] ; [58 67],[45.61085973 50.38914027] ; [59.38914027 65.61085973],0
n1,1,0.722279,0.12632,[5 6] ; [15 23],[4.48979592 6.51020408] ; [15.51020408 22.48979592],0
n3,1,0.733404,0.116009,[6 4] ; [25 13],[6.45833333 3.54166667] ; [24.54166667 13.45833333],0
b5,1,0.767224,0.087621,[56 40] ; [71 55],[54.91891892 41.08108108] ; [72.08108108 53.91891892],0
s4,1,0.773546,0.082794,[24 71] ; [29 94],[23.09633028 71.90366972] ; [29.90366972 93.09633028],0
p1,1,0.779433,0.078432,[11 85] ; [ 16 110],[11.67567568 84.32432432] ; [ 15.32432432 110.67567568],0
s3,1,0.781138,0.077193,[58 37] ; [74 51],[57. 38.] ; [75. 50.],0
p3,1,0.861751,0.030327,[61 35] ; [78 47],[60.3800905 35.6199095] ; [78.6199095 46.3800905],0
s6,1,0.862246,0.030108,[67 26] ; [88 36],[66.42857143 26.57142857] ; [88.57142857 35.42857143],0
s7,1,0.862582,0.02996,[46 43] ; [64 57],[46.61904762 42.38095238] ; [63.38095238 57.61904762],0
a4,1,0.873498,0.02535,[44 51] ; [57 69],[43.41628959 51.58371041] ; [57.58371041 68.41628959],0
d2,1,0.947193,0.004387,[43 53] ; [57 69],[43.24324324 52.75675676] ; [56.75675676 69.24324324],0
