Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,24.941539,[45  5] ; [ 4 11],[37.69230769 12.30769231] ; [11.30769231  3.69230769],1
d1,1,2.9e-05,17.465397,[34 16] ; [ 1 14],[26.92307692 23.07692308] ; [8.07692308 6.92307692],1
a3,1,0.000342,12.82322,[34 16] ; [ 2 12],[28.125 21.875] ; [7.875 6.125],1
a5,1,0.010464,6.554167,[35 15] ; [ 5 10],[30.76923077 19.23076923] ; [9.23076923 5.76923077],0
s6,1,0.018927,5.508276,[33 16] ; [ 5 10],[29.09375 19.90625] ; [8.90625 6.09375],0
s7,1,0.019584,5.448562,[23 26] ; [ 2 13],[19.140625 29.859375] ; [5.859375 9.140625],0
a6,1,0.023011,5.167702,[36 14] ; [6 9],[32.30769231 17.69230769] ; [9.69230769 5.30769231],0
r1,1,0.026776,4.905215,[40  9] ; [8 7],[36.75 12.25] ; [11.25  3.75],0
d2,1,0.028765,4.781609,[26 24] ; [ 3 12],[22.30769231 27.69230769] ; [6.69230769 8.30769231],0
u3,1,0.033754,4.507119,[10  6] ; [ 3 10],[7.17241379 8.82758621] ; [5.82758621 7.17241379],0
s8,1,0.03705,4.348109,[21 28] ; [ 2 13],[17.609375 31.390625] ; [5.390625 9.609375],0
d3,1,0.039288,4.248366,[40 10] ; [8 7],[36.92307692 13.07692308] ; [11.07692308  3.92307692],0
s2,1,0.046748,3.954452,[24 25] ; [ 3 12],[20.671875 28.328125] ; [6.328125 8.671875],0
n4,1,0.093795,2.808,[28 22] ; [12  3],[30.76923077 19.23076923] ; [9.23076923 5.76923077],0
a4,1,0.094852,2.79004,[19 31] ; [ 2 12],[16.40625 33.59375] ; [4.59375 9.40625],0
r2,1,0.100402,2.699153,[47  3] ; [12  3],[45.38461538  4.61538462] ; [13.61538462  1.38461538],0
a7,1,0.128253,2.313519,[37 13] ; [8 7],[34.61538462 15.38461538] ; [10.38461538  4.61538462],0
u2,1,0.137276,2.208236,[8 8] ; [ 3 10],[6.06896552 9.93103448] ; [4.93103448 8.06896552],0
a2,1,0.141032,2.166667,[12 38] ; [ 1 14],[10. 40.] ; [ 3. 12.],0
r3,1,0.187083,1.740437,[48  2] ; [13  2],[46.92307692  3.07692308] ; [14.07692308  0.92307692],0
b1,1,0.220013,1.504286,[21 29] ; [9 6],[23.07692308 26.92307692] ; [6.92307692 8.07692308],0
r4,1,0.251171,1.316779,[43  7] ; [11  4],[41.53846154  8.46153846] ; [12.46153846  2.53846154],0
b2,1,0.274375,1.194743,[ 9 22] ; [1 8],[ 7.75 23.25] ; [2.25 6.75],0
b3,1,0.274375,1.194743,[ 9 22] ; [1 8],[ 7.75 23.25] ; [2.25 6.75],0
s3,1,0.314398,1.01211,[29 21] ; [6 8],[27.34375 22.65625] ; [7.65625 6.34375],0
p3,1,0.316231,1.00447,[24 26] ; [ 5 10],[22.30769231 27.69230769] ; [6.69230769 8.30769231],0
p7,1,0.370137,0.803204,[34 16] ; [12  3],[35.38461538 14.61538462] ; [10.61538462  4.38461538],0
v3,1,0.431415,0.619012,[14 34] ; [6 9],[15.23809524 32.76190476] ; [ 4.76190476 10.23809524],0
p11,1,0.438663,0.599777,[29 21] ; [7 8],[27.69230769 22.30769231] ; [8.30769231 6.69230769],0
n2,1,0.45675,0.553846,[8 4] ; [5 1],[8.66666667 3.33333333] ; [4.33333333 1.66666667],0
v1,1,0.46218,0.540611,[22 28] ; [ 5 10],[20.76923077 29.23076923] ; [6.23076923 8.76923077],0
p9,1,0.474434,0.511629,[21 27] ; [ 5 10],[19.80952381 28.19047619] ; [6.19047619 8.80952381],0
a8,1,0.516153,0.421574,[ 6 35] ; [ 1 12],[ 5.31481481 35.68518519] ; [ 1.68518519 11.31481481],0
b4,1,0.54789,0.361111,[29 21] ; [10  5],[30. 20.] ; [9. 6.],0
p4,1,0.54789,0.361111,[31 19] ; [8 7],[30. 20.] ; [9. 6.],0
v4,1,0.55894,0.341544,[44  6] ; [14  1],[44.61538462  5.38461538] ; [13.38461538  1.61538462],0
n1,1,0.585106,0.298052,[7 4] ; [3 3],[6.47058824 4.52941176] ; [3.52941176 2.47058824],0
b5,1,0.594267,0.28373,[33 17] ; [11  4],[33.84615385 16.15384615] ; [10.15384615  4.84615385],0
s5,1,0.629551,0.23267,[ 9 39] ; [ 2 13],[ 8.38095238 39.61904762] ; [ 2.61904762 12.38095238],0
p5,1,0.695672,0.153013,[ 5 45] ; [ 1 14],[ 4.61538462 45.38461538] ; [ 1.38461538 13.61538462],0
v2,1,0.717074,0.131313,[26 24] ; [7 8],[25.38461538 24.61538462] ; [7.61538462 7.38461538],0
p1,1,0.734028,0.115445,[ 5 44] ; [ 2 13],[ 5.359375 43.640625] ; [ 1.640625 13.359375],0
n5,1,0.855407,0.033206,[28 22] ; [8 7],[27.69230769 22.30769231] ; [8.30769231 6.69230769],0
p2,1,0.868739,0.027311,[39 11] ; [12  3],[39.23076923 10.76923077] ; [11.76923077  3.23076923],0
p6,1,0.892961,0.018106,[21 26] ; [7 8],[21.22580645 25.77419355] ; [6.77419355 8.22580645],0
n6,1,0.991671,0.000109,[36 13] ; [11  4],[35.984375 13.015625] ; [11.015625  3.984375],0
