Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,51.868523,[96 27] ; [ 2 27],[79.30263158 43.69736842] ; [18.69736842 10.30263158],1
d3,1,1e-06,23.239207,[92 31] ; [ 8 21],[80.92105263 42.07894737] ; [19.07894737  9.92105263],1
d4,1,4e-06,21.255559,[109  14] ; [15 14],[100.34210526  22.65789474] ; [23.65789474  5.34210526],1
d2,1,3.1e-05,17.326954,[78 45] ; [ 6 23],[67.97368421 55.02631579] ; [16.02631579 12.97368421],1
a4,1,0.000157,14.285151,[60 63] ; [ 3 26],[50.98026316 72.01973684] ; [12.01973684 16.98026316],1
r1,1,0.000283,13.177251,[105  18] ; [16 13],[97.91447368 25.08552632] ; [23.08552632  5.91447368],1
r4,1,0.002,9.549599,[116   7] ; [22  7],[111.67105263  11.32894737] ; [26.32894737  2.67105263],0
n4,1,0.002909,8.863634,[100  23] ; [16 13],[93.86842105 29.13157895] ; [22.13157895  6.86842105],0
r2,1,0.005039,7.865489,[115   6] ; [23  6],[111.32   9.68] ; [26.68  2.32],0
a2,1,0.00829,6.969634,[38 85] ; [ 2 27],[32.36842105 90.63157895] ; [ 7.63157895 21.36842105],0
s6,1,0.00944,6.737558,[105  17] ; [19 10],[100.18543046  21.81456954] ; [23.81456954  5.18543046],0
a3,1,0.011848,6.333486,[96 27] ; [16 13],[90.63157895 32.36842105] ; [21.36842105  7.63157895],0
v2,1,0.012395,6.253497,[60 60] ; [ 6 20],[54.24657534 65.75342466] ; [11.75342466 14.24657534],0
u3,1,0.014615,5.962243,[21  6] ; [5 8],[17.55  9.45] ; [8.45 4.55],0
a7,1,0.018913,5.509571,[91 32] ; [15 14],[85.77631579 37.22368421] ; [20.22368421  8.77631579],0
a5,1,0.021331,5.299525,[94 29] ; [16 13],[89.01315789 33.98684211] ; [20.98684211  8.01315789],0
u1,1,0.031471,4.627069,[31 92] ; [ 2 27],[26.70394737 96.29605263] ; [ 6.29605263 22.70394737],0
p12,1,0.065227,3.399228,[  8 114] ; [ 5 24],[ 10.50331126 111.49668874] ; [ 2.49668874 26.50331126],0
r3,1,0.081505,3.034634,[117   6] ; [25  4],[114.90789474   8.09210526] ; [27.09210526  1.90789474],0
v3,1,0.152315,2.048907,[44 76] ; [ 6 21],[40.81632653 79.18367347] ; [ 9.18367347 17.81632653],0
a6,1,0.152864,2.043439,[85 38] ; [16 13],[81.73026316 41.26973684] ; [19.26973684  9.73026316],0
p1,1,0.190382,1.71466,[  8 115] ; [ 4 25],[  9.71052632 113.28947368] ; [ 2.28947368 26.71052632],0
p8,1,0.24214,1.368092,[61 61] ; [18 11],[63.82781457 58.17218543] ; [15.17218543 13.82781457],0
s3,1,0.410416,0.677596,[90 33] ; [19 10],[88.20394737 34.79605263] ; [20.79605263  8.20394737],0
n3,1,0.412428,0.671792,[29 11] ; [4 3],[28.08510638 11.91489362] ; [4.91489362 2.08510638],0
n2,1,0.423711,0.64,[26 14] ; [4 4],[25. 15.] ; [5. 3.],0
s5,1,0.475542,0.509069,[38 80] ; [11 17],[39.60273973 78.39726027] ; [ 9.39726027 18.60273973],0
p7,1,0.497797,0.459629,[75 48] ; [19  9],[76.56953642 46.43046358] ; [17.43046358 10.56953642],0
