Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,1e-05,19.572612,[ 10 106] ; [13 19],[18.02702703 97.97297297] ; [ 4.97297297 27.02702703],1
p7,1,0.000912,10.99921,[42 70] ; [22  9],[50.12587413 61.87412587] ; [13.87412587 17.12587413],1
p4,1,0.001736,9.809186,[40 75] ; [21 11],[47.72108844 67.27891156] ; [13.27891156 18.72108844],0
p8,1,0.017576,5.637876,[35 80] ; [17 15],[40.68027211 74.31972789] ; [11.31972789 20.68027211],0
s8,1,0.022156,5.233512,[30 86] ; [15 17],[35.27027027 80.72972973] ; [ 9.72972973 22.27027027],0
p3,1,0.027211,4.877357,[37 79] ; [17 15],[42.32432432 73.67567568] ; [11.67567568 20.32432432],0
p9,1,0.039344,4.245968,[71 44] ; [26  6],[75.88435374 39.11564626] ; [21.11564626 10.88435374],0
b5,1,0.052392,3.763198,[65 51] ; [24  8],[69.75675676 46.24324324] ; [19.24324324 12.75675676],0
p2,1,0.061819,3.487888,[74 42] ; [26  6],[78.37837838 37.62162162] ; [21.62162162 10.37837838],0
n2,1,0.063517,3.443094,[27 14] ; [12  1],[29.61111111 11.38888889] ; [9.38888889 3.61111111],0
b2,1,0.069254,3.300624,[19 50] ; [9 9],[22.20689655 46.79310345] ; [ 5.79310345 12.20689655],0
b3,1,0.069254,3.300624,[19 50] ; [9 9],[22.20689655 46.79310345] ; [ 5.79310345 12.20689655],0
s5,1,0.072502,3.225446,[19 93] ; [ 9 19],[22.4 89.6] ; [ 5.6 22.4],0
s6,1,0.083667,2.992196,[52 63] ; [20 12],[56.32653061 58.67346939] ; [15.67346939 16.32653061],0
a4,1,0.109075,2.567573,[40 76] ; [16 16],[43.89189189 72.10810811] ; [12.10810811 19.89189189],0
b1,1,0.122176,2.389204,[51 65] ; [19 13],[54.86486486 61.13513514] ; [15.13513514 16.86486486],0
v1,1,0.126462,2.335406,[43 70] ; [17 15],[46.75862069 66.24137931] ; [13.24137931 18.75862069],0
s7,1,0.144248,2.132048,[32 75] ; [14 18],[35.41007194 71.58992806] ; [10.58992806 21.41007194],0
r3,1,0.146003,2.11352,[97 19] ; [30  2],[99.54054054 16.45945946] ; [27.45945946  4.54054054],0
a5,1,0.199042,1.649392,[76 40] ; [17 15],[72.89189189 43.10810811] ; [20.10810811 11.89189189],0
s2,1,0.232071,1.428126,[44 71] ; [16 16],[46.93877551 68.06122449] ; [13.06122449 18.93877551],0
p10,1,0.272982,1.201698,[63 52] ; [21 11],[65.71428571 49.28571429] ; [18.28571429 13.71428571],0
