Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,56.761417,[208  61] ; [45 74],[175.40463918  93.59536082] ; [77.59536082 41.40463918],1
a6,1,0.0,37.353628,[207  62] ; [54 65],[180.95103093  88.04896907] ; [80.04896907 38.95103093],1
a2,1,2.6e-05,17.700224,[ 64 205] ; [  7 112],[ 49.2242268 219.7757732] ; [21.7757732 97.2242268],1
r4,1,4.4e-05,16.693385,[245  24] ; [90 29],[232.25515464  36.74484536] ; [102.74484536  16.25515464],1
r3,1,7.4e-05,15.701973,[259   9] ; [102  17],[249.99483204  18.00516796] ; [111.00516796   7.99483204],1
d5,1,0.000333,12.876701,[221  48] ; [78 41],[207.29639175  61.70360825] ; [91.70360825 27.29639175],1
u1,1,0.000525,12.023258,[ 46 223] ; [  5 114],[ 35.35824742 233.64175258] ; [ 15.64175258 103.35824742],1
v2,1,0.001634,9.92127,[151 109] ; [47 69],[136.91489362 123.08510638] ; [61.08510638 54.91489362],0
u3,1,0.003237,8.668678,[50 38] ; [15 34],[41.75182482 46.24817518] ; [23.24817518 25.75182482],0
d4,1,0.003796,8.378978,[219  50] ; [81 38],[207.98969072  61.01030928] ; [92.01030928 26.98969072],0
v4,1,0.004671,8.002535,[257  11] ; [105  14],[250.6873385  17.3126615] ; [111.3126615   7.6873385],0
r1,1,0.004809,7.94979,[211  56] ; [78 41],[199.90414508  67.09585492] ; [89.09585492 29.90414508],0
d1,1,0.005328,7.76474,[152 117] ; [49 70],[139.35309278 129.64690722] ; [61.64690722 57.35309278],0
b5,1,0.007638,7.116466,[170  99] ; [58 61],[158.07216495 110.92783505] ; [69.92783505 49.07216495],0
r2,1,0.024242,5.077221,[248  16] ; [101  15],[242.46315789  21.53684211] ; [106.53684211   9.46315789],0
v1,1,0.030389,4.687177,[136 127] ; [46 70],[126.29551451 136.70448549] ; [55.70448549 60.29551451],0
b1,1,0.03209,4.5937,[ 85 184] ; [51 68],[ 94.28865979 174.71134021] ; [41.71134021 77.28865979],0
s5,1,0.033419,4.52416,[ 44 220] ; [30 85],[ 51.54617414 212.45382586] ; [22.45382586 92.54617414],0
u2,1,0.044545,4.035801,[47 41] ; [17 31],[41.41176471 46.58823529] ; [22.58823529 25.41176471],0
p2,1,0.048984,3.8759,[221  47] ; [87 31],[213.84455959  54.15544041] ; [94.15544041 23.84455959],0
p4,1,0.0493,3.86511,[150 117] ; [53 64],[141.1484375 125.8515625] ; [61.8515625 55.1484375],0
n5,1,0.059608,3.54827,[193  73] ; [97 22],[200.36363636  65.63636364] ; [89.63636364 29.36363636],0
a3,1,0.124933,2.354366,[180  87] ; [70 48],[173.37662338  93.62337662] ; [76.62337662 41.37662338],0
p10,1,0.137489,2.20584,[210  54] ; [85 32],[204.40944882  59.59055118] ; [90.59055118 26.40944882],0
p8,1,0.153329,2.038819,[140 123] ; [53 64],[133.57631579 129.42368421] ; [59.42368421 57.57631579],0
a5,1,0.161633,1.958882,[191  78] ; [76 43],[185.11082474  83.88917526] ; [81.88917526 37.11082474],0
p3,1,0.185841,1.750282,[129 140] ; [48 70],[123.03100775 145.96899225] ; [53.96899225 64.03100775],0
p11,1,0.192129,1.701217,[219  50] ; [90 29],[214.22938144  54.77061856] ; [94.77061856 24.22938144],0
n2,1,0.192501,1.698372,[45 16] ; [22 14],[42.13402062 18.86597938] ; [24.86597938 11.13402062],0
v3,1,0.196235,1.670178,[ 99 164] ; [36 81],[ 93.43421053 169.56578947] ; [41.56578947 75.43421053],0
p6,1,0.206327,1.597013,[ 85 180] ; [30 87],[ 79.77748691 185.22251309] ; [35.22251309 81.77748691],0
p7,1,0.211599,1.560452,[163 102] ; [64 53],[157.47382199 107.52617801] ; [69.52617801 47.47382199],0
a1,1,0.224092,1.477973,[ 11 258] ; [  2 117],[  9.0128866 259.9871134] ; [  3.9871134 115.0128866],0
n1,1,0.225433,1.46945,[24 36] ; [10 26],[21.25 38.75] ; [12.75 23.25],0
s6,1,0.226056,1.46551,[128 136] ; [48 67],[122.59630607 141.40369393] ; [53.40369393 61.59630607],0
b3,1,0.261252,1.262109,[ 57 103] ; [30 39],[60.7860262 99.2139738] ; [26.2139738 42.7860262],0
b2,1,0.261252,1.262109,[ 57 103] ; [30 39],[60.7860262 99.2139738] ; [26.2139738 42.7860262],0
s1,1,0.302444,1.063385,[  3 263] ; [  3 115],[  4.15625 261.84375] ; [  1.84375 116.15625],0
a8,1,0.375277,0.786116,[ 31 205] ; [ 11 101],[ 28.48275862 207.51724138] ; [13.51724138 98.48275862],0
p1,1,0.383545,0.759309,[ 18 250] ; [ 11 108],[ 20.08268734 247.91731266] ; [  8.91731266 110.08268734],0
d2,1,0.503702,0.447128,[112 157] ; [53 64],[114.98704663 154.01295337] ; [50.01295337 66.98704663],0
p5,1,0.512994,0.427955,[ 26 243] ; [ 14 104],[ 27.80361757 241.19638243] ; [ 12.19638243 105.80361757],0
p9,1,0.627569,0.235372,[215  49] ; [92 24],[213.28421053  50.71578947] ; [93.71578947 22.28421053],0
n3,1,0.639754,0.219064,[46 16] ; [23 10],[45.03157895 16.96842105] ; [23.96842105  9.03157895],0
s3,1,0.659161,0.194545,[ 58 207] ; [28 89],[ 59.65968586 205.34031414] ; [26.34031414 90.65968586],0
