Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.005891,7.583333,[15 11] ; [55 10],[20.  6.] ; [50. 15.],0
p11,1,0.02345,5.13485,[14 12] ; [52 15],[18.4516129  7.5483871] ; [47.5483871 19.4516129],0
v1,1,0.032578,4.567843,[10 16] ; [41 24],[14.57142857 11.42857143] ; [36.42857143 28.57142857],0
p7,1,0.040557,4.194429,[15 11] ; [52 14],[18.93478261  7.06521739] ; [48.06521739 17.93478261],0
a3,1,0.061268,3.50272,[16 10] ; [53 13],[19.5  6.5] ; [49.5 16.5],0
u2,1,0.068622,3.31567,[2 8] ; [7 5],[4.09090909 5.90909091] ; [4.90909091 7.09090909],0
p8,1,0.083224,3.00078,[ 8 18] ; [33 32],[11.71428571 14.28571429] ; [29.28571429 35.71428571],0
s8,1,0.111358,2.534841,[ 9 17] ; [35 31],[12.43478261 13.56521739] ; [31.56521739 34.43478261],0
s4,1,0.11497,2.484545,[ 6 20] ; [ 7 60],[ 3.6344086 22.3655914] ; [ 9.3655914 57.6344086],0
d5,1,0.121321,2.400189,[17  9] ; [54 13],[19.84946237  6.15053763] ; [51.15053763 15.84946237],0
u3,1,0.123639,2.370612,[4 6] ; [10  4],[5.83333333 4.16666667] ; [8.16666667 5.83333333],0
b3,1,0.17122,1.872226,[ 5 12] ; [21 22],[7.36666667 9.63333333] ; [18.63333333 24.36666667],0
b2,1,0.17122,1.872226,[ 5 12] ; [21 22],[7.36666667 9.63333333] ; [18.63333333 24.36666667],0
n4,1,0.18128,1.787102,[22  4] ; [47 19],[19.5  6.5] ; [49.5 16.5],0
v4,1,0.213534,1.5473,[23  3] ; [64  3],[24.32258065  1.67741935] ; [62.67741935  4.32258065],0
u1,1,0.216203,1.529395,[ 2 24] ; [12 55],[ 3.91397849 22.08602151] ; [10.08602151 56.91397849],0
r3,1,0.246182,1.344842,[22  4] ; [62  5],[23.48387097  2.51612903] ; [60.51612903  6.48387097],0
r4,1,0.256835,1.285735,[21  5] ; [60  7],[22.64516129  3.35483871] ; [58.35483871  8.64516129],0
d3,1,0.263313,1.251256,[11 15] ; [37 30],[13.41935484 12.58064516] ; [34.58064516 32.41935484],0
r1,1,0.313914,1.014135,[17  9] ; [50 16],[18.93478261  7.06521739] ; [48.06521739 17.93478261],0
v3,1,0.314995,1.009615,[ 9 17] ; [30 35],[11.14285714 14.85714286] ; [27.85714286 37.14285714],0
s1,1,0.315298,1.008353,[ 2 24] ; [ 2 65],[ 1.11827957 24.88172043] ; [ 2.88172043 64.11827957],0
p10,1,0.334328,0.932061,[17  9] ; [49 16],[18.85714286  7.14285714] ; [47.14285714 17.85714286],0
a2,1,0.37081,0.80095,[ 4 22] ; [16 51],[ 5.59139785 20.40860215] ; [14.40860215 52.59139785],0
