Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.001492,10.088901,[25 81] ; [9 5],[30.03333333 75.96666667] ; [ 3.96666667 10.03333333],0
s5,1,0.006195,7.492786,[11 92] ; [5 8],[14.20689655 88.79310345] ; [ 1.79310345 11.20689655],0
v2,1,0.006437,7.423692,[34 67] ; [10  4],[38.64347826 62.35652174] ; [5.35652174 8.64347826],0
p12,1,0.014542,5.97109,[  2 105] ; [ 2 12],[  3.53719008 103.46280992] ; [ 0.46280992 13.53719008],0
a6,1,0.022198,5.230163,[65 42] ; [ 4 10],[61.01652893 45.98347107] ; [7.98347107 6.01652893],0
u3,1,0.058075,3.591512,[19 26] ; [5 1],[21.17647059 23.82352941] ; [2.82352941 3.17647059],0
n6,1,0.07004,3.282089,[64 41] ; [12  2],[67.05882353 37.94117647] ; [8.94117647 5.05882353],0
p10,1,0.104578,2.634306,[43 61] ; [9 5],[45.83050847 58.16949153] ; [6.16949153 7.83050847],0
p9,1,0.118475,2.437365,[43 59] ; [9 5],[45.72413793 56.27586207] ; [6.27586207 7.72413793],0
p6,1,0.232179,1.42746,[11 94] ; [ 3 11],[12.35294118 92.64705882] ; [ 1.64705882 12.35294118],0
n5,1,0.250266,1.321818,[69 36] ; [7 7],[67.05882353 37.94117647] ; [8.94117647 5.05882353],0
s8,1,0.292175,1.109572,[18 88] ; [ 4 10],[19.43333333 86.56666667] ; [ 2.56666667 11.43333333],0
n4,1,0.303991,1.056604,[68 38] ; [7 7],[66.25 39.75] ; [8.75 5.25],0
d2,1,0.346563,0.886002,[46 59] ; [8 6],[47.64705882 57.35294118] ; [6.35294118 7.64705882],0
d4,1,0.429421,0.62439,[73 34] ; [11  3],[74.28099174 32.71900826] ; [9.71900826 4.28099174],0
v3,1,0.441741,0.591756,[29 74] ; [5 8],[30.18965517 72.81034483] ; [3.81034483 9.18965517],0
r3,1,0.456491,0.554486,[73 33] ; [11  3],[74.2 31.8] ; [9.8 4.2],0
v1,1,0.465971,0.531514,[24 81] ; [ 2 12],[22.94117647 82.05882353] ; [ 3.05882353 10.94117647],0
u2,1,0.506932,0.440394,[21 23] ; [2 4],[20.24 23.76] ; [2.76 3.24],0
p8,1,0.52097,0.411973,[23 83] ; [ 2 12],[22.08333333 83.91666667] ; [ 2.91666667 11.08333333],0
d3,1,0.547626,0.361587,[52 55] ; [8 6],[53.05785124 53.94214876] ; [6.94214876 7.05785124],0
s3,1,0.611018,0.258696,[21 84] ; [ 2 12],[20.29411765 84.70588235] ; [ 2.70588235 11.29411765],0
a5,1,0.650438,0.205349,[62 45] ; [9 5],[62.78512397 44.21487603] ; [8.21487603 5.78512397],0
d1,1,0.667213,0.184879,[47 60] ; [7 7],[47.75206612 59.24793388] ; [6.24793388 7.75206612],0
p7,1,0.726645,0.122215,[25 78] ; [ 4 10],[25.52991453 77.47008547] ; [ 3.47008547 10.52991453],0
r2,1,0.726708,0.122156,[83 20] ; [11  2],[83.46551724 19.53448276] ; [10.53448276  2.46551724],0
p3,1,0.742644,0.107817,[26 80] ; [ 4 10],[26.5 79.5] ; [ 3.5 10.5],0
r4,1,0.747692,0.103481,[64 43] ; [9 5],[64.55371901 42.44628099] ; [8.44628099 5.55371901],0
a4,1,0.75798,0.094947,[42 63] ; [5 9],[41.47058824 63.52941176] ; [5.52941176 8.47058824],0
a1,1,0.78745,0.072697,[10 97] ; [ 1 13],[ 9.72727273 97.27272727] ; [ 1.27272727 12.72727273],0
p1,1,0.78745,0.072697,[10 97] ; [ 1 13],[ 9.72727273 97.27272727] ; [ 1.27272727 12.72727273],0
p11,1,0.835575,0.04308,[49 58] ; [6 8],[48.63636364 58.36363636] ; [6.36363636 7.63636364],0
n2,1,0.86785,0.027685,[26 17] ; [4 3],[25.8 17.2] ; [4.2 2.8],0
b5,1,0.869291,0.02708,[56 51] ; [7 7],[55.7107438 51.2892562] ; [7.2892562 6.7107438],0
n3,1,0.871908,0.025997,[21 18] ; [4 3],[21.19565217 17.80434783] ; [3.80434783 3.19565217],0
b4,1,0.887277,0.020093,[59 48] ; [8 6],[59.24793388 47.75206612] ; [7.75206612 6.24793388],0
a3,1,0.8918,0.018503,[62 43] ; [8 6],[61.76470588 43.23529412] ; [8.23529412 5.76470588],0
d5,1,0.903298,0.014761,[67 40] ; [9 5],[67.20661157 39.79338843] ; [8.79338843 5.20661157],0
n1,1,0.906658,0.013749,[19 23] ; [3 4],[18.85714286 23.14285714] ; [3.14285714 3.85714286],0
b2,1,0.915306,0.01131,[28 43] ; [3 5],[27.86075949 43.13924051] ; [3.13924051 4.86075949],0
b3,1,0.915306,0.01131,[28 43] ; [3 5],[27.86075949 43.13924051] ; [3.13924051 4.86075949],0
b1,1,0.921391,0.009738,[55 52] ; [7 7],[54.82644628 52.17355372] ; [7.17355372 6.82644628],0
a7,1,0.923415,0.009241,[62 44] ; [8 6],[61.83333333 44.16666667] ; [8.16666667 5.83333333],0
