Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,3.7e-05,16.999055,[38 19] ; [ 5 22],[29.17857143 27.82142857] ; [13.82142857 13.17857143],1
d3,1,4.9e-05,16.503213,[39 17] ; [ 6 21],[30.36144578 25.63855422] ; [14.63855422 12.36144578],1
a5,1,0.000122,14.758803,[42 15] ; [ 8 19],[33.92857143 23.07142857] ; [16.07142857 10.92857143],1
d2,1,0.000747,11.368805,[28 29] ; [ 3 24],[21.03571429 35.96428571] ; [ 9.96428571 17.03571429],1
d4,1,0.001151,10.566862,[47 10] ; [13 14],[40.71428571 16.28571429] ; [19.28571429  7.71428571],0
a7,1,0.001447,10.144928,[38 19] ; [ 8 19],[31.21428571 25.78571429] ; [14.78571429 12.21428571],0
s6,1,0.002729,8.980651,[31 23] ; [ 6 21],[24.66666667 29.33333333] ; [12.33333333 14.66666667],0
a4,1,0.005936,7.569764,[26 31] ; [ 4 23],[20.35714286 36.64285714] ; [ 9.64285714 17.35714286],0
s5,1,0.008355,6.955828,[15 37] ; [ 1 26],[10.53164557 41.46835443] ; [ 5.46835443 21.53164557],0
p6,1,0.014713,5.950525,[20 34] ; [ 3 24],[15.33333333 38.66666667] ; [ 7.66666667 19.33333333],0
p3,1,0.017322,5.663472,[25 30] ; [ 5 22],[20.12195122 34.87804878] ; [ 9.87804878 17.12195122],0
v2,1,0.021957,5.249219,[27 27] ; [ 6 20],[22.275 31.725] ; [10.725 15.275],0
r2,1,0.02669,4.910769,[36 14] ; [12 14],[31.57894737 18.42105263] ; [16.42105263  9.57894737],0
v3,1,0.035071,4.441691,[18 37] ; [ 3 24],[14.08536585 40.91463415] ; [ 6.91463415 20.08536585],0
p5,1,0.049752,3.849806,[11 44] ; [ 1 26],[ 8.04878049 46.95121951] ; [ 3.95121951 23.04878049],0
n4,1,0.050714,3.817706,[40 17] ; [13 14],[35.96428571 21.03571429] ; [17.03571429  9.96428571],0
s1,1,0.06002,3.536842,[ 1 56] ; [ 3 24],[ 2.71428571 54.28571429] ; [ 1.28571429 25.71428571],0
n6,1,0.066876,3.358072,[39 16] ; [13 13],[35.30864198 19.69135802] ; [16.69135802  9.30864198],0
s2,1,0.088446,2.902441,[25 30] ; [ 7 20],[21.46341463 33.53658537] ; [10.53658537 16.46341463],0
p11,1,0.089279,2.887329,[44 13] ; [16 11],[40.71428571 16.28571429] ; [19.28571429  7.71428571],0
n5,1,0.092394,2.832168,[40 14] ; [15 12],[36.66666667 17.33333333] ; [18.33333333  8.66666667],0
b1,1,0.097662,2.74332,[27 30] ; [18  9],[30.53571429 26.46428571] ; [14.46428571 12.53571429],0
r1,1,0.116611,2.462261,[17 38] ; [ 4 23],[14.08536585 40.91463415] ; [ 6.91463415 20.08536585],0
s3,1,0.127375,2.324204,[28 25] ; [ 9 17],[24.82278481 28.17721519] ; [12.17721519 13.82278481],0
s7,1,0.139649,2.181818,[25 30] ; [ 7 18],[22. 33.] ; [10. 15.],0
p4,1,0.20721,1.590812,[29 27] ; [10 17],[26.31325301 29.68674699] ; [12.68674699 14.31325301],0
u2,1,0.220805,1.499132,[10  9] ; [4 9],[ 8.3125 10.6875] ; [5.6875 7.3125],0
n1,1,0.282471,1.155161,[ 9 12] ; [2 7],[ 7.7 13.3] ; [3.3 5.7],0
a3,1,0.336691,0.922991,[37 20] ; [14 12],[35.02409639 21.97590361] ; [15.97590361 10.02409639],0
p10,1,0.344266,0.894479,[44  9] ; [20  7],[42.4 10.6] ; [21.6  5.4],0
v4,1,0.401898,0.70264,[38 13] ; [17  9],[36.42857143 14.57142857] ; [18.57142857  7.42857143],0
b4,1,0.406941,0.687719,[35 22] ; [14 13],[33.25 23.75] ; [15.75 11.25],0
p2,1,0.465566,0.53248,[43 10] ; [20  7],[41.7375 11.2625] ; [21.2625  5.7375],0
u3,1,0.515339,0.423212,[ 8 11] ; [4 9],[ 7.125 11.875] ; [4.875 8.125],0
s8,1,0.563013,0.334514,[18 38] ; [ 7 20],[16.86746988 39.13253012] ; [ 8.13253012 18.86746988],0
p8,1,0.584135,0.299598,[19 36] ; [11 16],[20.12195122 34.87804878] ; [ 9.87804878 17.12195122],0
b5,1,0.610078,0.260062,[35 22] ; [15 12],[33.92857143 23.07142857] ; [16.07142857 10.92857143],0
r3,1,0.652265,0.203056,[38 16] ; [17  9],[37.125 16.875] ; [17.875  8.125],0
p7,1,0.689081,0.160082,[27 26] ; [12 14],[26.16455696 26.83544304] ; [12.83544304 13.16455696],0
p1,1,0.752271,0.099633,[ 5 51] ; [ 3 24],[ 5.39759036 50.60240964] ; [ 2.60240964 24.39759036],0
n2,1,0.794231,0.068027,[15  6] ; [6 3],[14.7  6.3] ; [6.3 2.7],0
n3,1,0.804113,0.061517,[13  8] ; [6 3],[13.3  7.7] ; [5.7 3.3],0
s4,1,0.882683,0.021777,[ 9 47] ; [ 4 23],[ 8.77108434 47.22891566] ; [ 4.22891566 22.77108434],0
a1,1,0.935497,0.00655,[ 6 51] ; [ 3 24],[ 6.10714286 50.89285714] ; [ 2.89285714 24.10714286],0
a8,1,0.962381,0.002225,[ 4 48] ; [ 2 23],[ 4.05194805 47.94805195] ; [ 1.94805195 23.05194805],0
v1,1,0.970496,0.001368,[24 30] ; [11 14],[23.92405063 30.07594937] ; [11.07594937 13.92405063],0
b3,1,0.989825,0.000163,[11 24] ; [ 5 11],[10.98039216 24.01960784] ; [ 5.01960784 10.98039216],0
b2,1,0.989825,0.000163,[11 24] ; [ 5 11],[10.98039216 24.01960784] ; [ 5.01960784 10.98039216],0
