Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,32.581692,[88  8] ; [11 15],[77.90163934 18.09836066] ; [21.09836066  4.90163934],1
d3,1,5.4e-05,16.296777,[76 20] ; [10 16],[67.67213115 28.32786885] ; [18.32786885  7.67213115],1
d2,1,0.000806,11.227075,[54 42] ; [ 5 21],[46.42622951 49.57377049] ; [12.57377049 13.42622951],1
a4,1,0.004282,8.160392,[44 51] ; [ 4 22],[37.68595041 57.31404959] ; [10.31404959 15.68595041],0
u1,1,0.022111,5.237034,[23 73] ; [ 1 25],[18.8852459 77.1147541] ; [ 5.1147541 20.8852459],0
p4,1,0.055564,3.665082,[64 32] ; [12 14],[59.80327869 36.19672131] ; [16.19672131  9.80327869],0
a3,1,0.089086,2.890805,[77 18] ; [17  9],[73.80165289 21.19834711] ; [20.19834711  5.80165289],0
p3,1,0.098439,2.730657,[58 38] ; [11 15],[54.29508197 41.70491803] ; [14.70491803 11.29508197],0
a2,1,0.098582,2.728335,[26 70] ; [ 3 23],[22.81967213 73.18032787] ; [ 6.18032787 19.81967213],0
p1,1,0.132015,2.268647,[ 6 90] ; [ 4 22],[ 7.86885246 88.13114754] ; [ 2.13114754 23.86885246],0
v2,1,0.133128,2.255639,[54 41] ; [10 15],[50.66666667 44.33333333] ; [13.33333333 11.66666667],0
a5,1,0.180822,1.790855,[75 21] ; [17  9],[72.39344262 23.60655738] ; [19.60655738  6.39344262],0
a8,1,0.257009,1.284796,[14 67] ; [ 2 23],[12.22641509 68.77358491] ; [ 3.77358491 21.22641509],0
n4,1,0.285193,1.142175,[76 20] ; [18  8],[73.96721311 22.03278689] ; [20.03278689  5.96721311],0
s5,1,0.289913,1.120023,[24 71] ; [ 4 22],[21.98347107 73.01652893] ; [ 6.01652893 19.98347107],0
v3,1,0.333837,0.933957,[44 50] ; [ 9 16],[41.86554622 52.13445378] ; [11.13445378 13.86554622],0
p12,1,0.337012,0.921764,[ 6 89] ; [ 3 22],[ 7.125 87.875] ; [ 1.875 23.125],0
r3,1,0.360136,0.837418,[90  6] ; [23  3],[88.91803279  7.08196721] ; [24.08196721  1.91803279],0
a7,1,0.363957,0.824192,[68 28] ; [16 10],[66.09836066 29.90163934] ; [17.90163934  8.09836066],0
n1,1,0.506061,0.442204,[12 16] ; [5 4],[12.86486486 15.13513514] ; [4.13513514 4.86486486],0
u3,1,0.506984,0.440286,[13  6] ; [5 4],[12.21428571  6.78571429] ; [5.78571429 3.21428571],0
r1,1,0.506994,0.440266,[76 20] ; [19  7],[74.75409836 21.24590164] ; [20.24590164  5.75409836],0
b5,1,0.528058,0.398127,[51 45] ; [12 14],[49.57377049 46.42622951] ; [13.42622951 12.57377049],0
p2,1,0.535271,0.384376,[76 20] ; [22  4],[77.1147541 18.8852459] ; [20.8852459  5.1147541],0
s3,1,0.540423,0.374757,[27 68] ; [ 9 17],[28.26446281 66.73553719] ; [ 7.73553719 18.26446281],0
r4,1,0.562102,0.336078,[82 14] ; [21  5],[81.04918033 14.95081967] ; [21.95081967  4.04918033],0
n2,1,0.571091,0.32086,[19  9] ; [7 2],[19.67567568  8.32432432] ; [6.32432432 2.67567568],0
p8,1,0.614698,0.25339,[49 45] ; [15 11],[50.13333333 43.86666667] ; [13.86666667 12.13333333],0
b4,1,0.636389,0.223496,[53 43] ; [13 13],[51.93442623 44.06557377] ; [14.06557377 11.93442623],0
s8,1,0.646545,0.210284,[50 45] ; [15 11],[51.03305785 43.96694215] ; [13.96694215 12.03305785],0
r2,1,0.647687,0.208829,[85  8] ; [23  3],[84.40336134  8.59663866] ; [23.59663866  2.40336134],0
p10,1,0.660633,0.192756,[76 18] ; [22  4],[76.76666667 17.23333333] ; [21.23333333  4.76666667],0
p9,1,0.660633,0.192756,[76 18] ; [22  4],[76.76666667 17.23333333] ; [21.23333333  4.76666667],0
n3,1,0.693012,0.155844,[16 11] ; [6 3],[16.5 10.5] ; [5.5 3.5],0
p11,1,0.712767,0.135529,[77 19] ; [20  6],[76.32786885 19.67213115] ; [20.67213115  5.32786885],0
v1,1,0.71364,0.134668,[49 45] ; [12 13],[48.18487395 45.81512605] ; [12.81512605 12.18487395],0
v4,1,0.779504,0.078381,[86  9] ; [24  2],[86.36363636  8.63636364] ; [23.63636364  2.36363636],0
