Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.2e-05,19.089823,[50  2] ; [49 29],[39.6 12.4] ; [59.4 18.6],1
p11,1,0.001609,9.949399,[36 16] ; [32 46],[27.2 24.8] ; [40.8 37.2],0
s6,1,0.002646,9.037114,[30 21] ; [25 53],[21.74418605 29.25581395] ; [33.25581395 44.74418605],0
v3,1,0.002692,9.004951,[20 29] ; [12 61],[12.85245902 36.14754098] ; [19.14754098 53.85245902],0
d5,1,0.003713,8.419137,[43  9] ; [45 32],[35.47286822 16.52713178] ; [52.52713178 24.47286822],0
p8,1,0.007522,7.143942,[21 30] ; [15 62],[14.34375 36.65625] ; [21.65625 55.34375],0
s7,1,0.009548,6.717421,[20 30] ; [13 57],[13.75 36.25] ; [19.25 50.75],0
r1,1,0.016333,5.766648,[41 10] ; [47 31],[34.79069767 16.20930233] ; [53.20930233 24.79069767],0
a5,1,0.023953,5.098039,[40 12] ; [45 33],[34. 18.] ; [51. 27.],0
p9,1,0.029324,4.748516,[36 15] ; [40 38],[30.04651163 20.95348837] ; [45.95348837 32.04651163],0
a3,1,0.029862,4.717235,[40 12] ; [45 32],[34.26356589 17.73643411] ; [50.73643411 26.26356589],0
d1,1,0.049785,3.848684,[27 25] ; [27 51],[21.6 30.4] ; [32.4 45.6],0
s2,1,0.052141,3.771226,[22 30] ; [20 57],[16.93023256 35.06976744] ; [25.06976744 51.93023256],0
d4,1,0.055231,3.675111,[43  9] ; [52 25],[38.29457364 13.70542636] ; [56.70542636 20.29457364],0
a4,1,0.059894,3.540305,[13 39] ; [32 46],[18. 34.] ; [27. 51.],0
n2,1,0.060846,3.514173,[13  4] ; [14 15],[9.97826087 7.02173913] ; [17.02173913 11.97826087],0
s1,1,0.06409,3.428241,[ 1 51] ; [ 8 69],[ 3.62790698 48.37209302] ; [ 5.37209302 71.62790698],0
v4,1,0.069504,3.294688,[44  7] ; [56 21],[39.84375 11.15625] ; [60.15625 16.84375],0
p4,1,0.075586,3.157343,[22 30] ; [21 56],[17.33333333 34.66666667] ; [25.66666667 51.33333333],0
s8,1,0.080893,3.046875,[17 35] ; [15 63],[12.8 39.2] ; [19.2 58.8],0
b4,1,0.083858,2.988506,[24 28] ; [48 30],[28.8 23.2] ; [43.2 34.8],0
d3,1,0.094254,2.800177,[36 16] ; [42 35],[31.44186047 20.55813953] ; [46.55813953 30.44186047],0
r4,1,0.099475,2.713941,[38 14] ; [46 32],[33.6 18.4] ; [50.4 27.6],0
p10,1,0.103924,2.644262,[31 20] ; [36 42],[26.48837209 24.51162791] ; [40.51162791 37.48837209],0
v1,1,0.1219,2.392735,[23 28] ; [24 52],[18.87401575 32.12598425] ; [28.12598425 47.87401575],0
a1,1,0.122623,2.383499,[ 2 50] ; [ 9 69],[ 4.4 47.6] ; [ 6.6 71.4],0
a2,1,0.136595,2.215909,[ 5 47] ; [15 63],[ 8. 44.] ; [12. 66.],0
p3,1,0.149782,2.074468,[18 34] ; [18 60],[14.4 37.6] ; [21.6 56.4],0
r2,1,0.151847,2.053596,[45  5] ; [62 15],[42.12598425  7.87401575] ; [64.87401575 12.12598425],0
b1,1,0.152078,2.051282,[22 30] ; [43 35],[26. 26.] ; [39. 39.],0
d2,1,0.191466,1.706303,[17 35] ; [34 43],[20.55813953 31.44186047] ; [30.44186047 46.55813953],0
p2,1,0.212524,1.554149,[35 17] ; [44 34],[31.6 20.4] ; [47.4 30.6],0
p7,1,0.213266,1.549115,[24 28] ; [26 48],[20.63492063 31.36507937] ; [29.36507937 44.63492063],0
u2,1,0.2155,1.534091,[9 3] ; [18 15],[7.2 4.8] ; [19.8 13.2],0
p1,1,0.251391,1.315559,[ 2 50] ; [ 7 70],[ 3.62790698 48.37209302] ; [ 5.37209302 71.62790698],0
s5,1,0.261721,1.259633,[11 39] ; [11 66],[ 8.66141732 41.33858268] ; [13.33858268 63.66141732],0
n3,1,0.318689,0.994318,[12  5] ; [15 12],[10.43181818  6.56818182] ; [16.56818182 10.43181818],0
a7,1,0.325262,0.967671,[37 15] ; [49 29],[34.4 17.6] ; [51.6 26.4],0
