Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.006267,7.471811,[  9 127] ; [2 3],[ 10.60992908 125.39007092] ; [0.39007092 4.60992908],0
a8,1,0.024305,5.072735,[ 12 121] ; [2 3],[ 13.49275362 119.50724638] ; [0.50724638 4.49275362],0
a3,1,0.054945,3.683752,[87 52] ; [1 4],[84.94444444 54.05555556] ; [3.05555556 1.94444444],0
p8,1,0.063922,3.432585,[ 33 107] ; [3 2],[ 34.75862069 105.24137931] ; [1.24137931 3.75862069],0
d4,1,0.076113,3.146002,[104  34] ; [2 3],[102.29370629  35.70629371] ; [3.70629371 1.29370629],0
u3,1,0.100861,2.69188,[35 18] ; [1 3],[33.47368421 19.52631579] ; [2.52631579 1.47368421],0
b1,1,0.139684,2.181439,[65 75] ; [4 1],[66.62068966 73.37931034] ; [2.37931034 2.62068966],0
d5,1,0.161971,1.955729,[96 42] ; [2 3],[94.57342657 43.42657343] ; [3.42657343 1.57342657],0
r1,1,0.232962,1.422684,[114  26] ; [3 2],[112.96551724  27.03448276] ; [4.03448276 0.96551724],0
n4,1,0.23673,1.399964,[92 48] ; [2 3],[90.75862069 49.24137931] ; [3.24137931 1.75862069],0
p4,1,0.237405,1.395935,[47 90] ; [3 2],[48.23943662 88.76056338] ; [1.76056338 3.23943662],0
a5,1,0.252073,1.311776,[91 49] ; [2 3],[89.79310345 50.20689655] ; [3.20689655 1.79310345],0
p7,1,0.258828,1.275017,[48 88] ; [3 2],[49.19148936 86.80851064] ; [1.80851064 3.19148936],0
a4,1,0.275884,1.187256,[62 77] ; [1 4],[60.8125 78.1875] ; [2.1875 2.8125],0
v2,1,0.29602,1.092037,[68 64] ; [1 3],[66.97058824 65.02941176] ; [2.02941176 1.97058824],0
s8,1,0.325643,0.966146,[58 80] ; [1 4],[56.93706294 81.06293706] ; [2.06293706 2.93706294],0
n6,1,0.33044,0.947174,[109  30] ; [3 2],[108.11111111  30.88888889] ; [3.88888889 1.11111111],0
a6,1,0.405306,0.692528,[81 57] ; [2 3],[80.0979021 57.9020979] ; [2.9020979 2.0979021],0
p10,1,0.414843,0.664878,[85 52] ; [4 1],[85.86619718 51.13380282] ; [3.13380282 1.86619718],0
b5,1,0.417037,0.65865,[87 53] ; [4 1],[87.86206897 52.13793103] ; [3.13793103 1.86206897],0
n5,1,0.427733,0.628972,[87 52] ; [4 1],[87.84027778 51.15972222] ; [3.15972222 1.84027778],0
s6,1,0.468446,0.525639,[88 49] ; [4 1],[88.76056338 48.23943662] ; [3.23943662 1.76056338],0
p11,1,0.469639,0.522826,[90 50] ; [4 1],[90.75862069 49.24137931] ; [3.24137931 1.75862069],0
d3,1,0.485267,0.487004,[77 61] ; [2 3],[76.23776224 61.76223776] ; [2.76223776 2.23776224],0
u2,1,0.497758,0.459714,[30 22] ; [3 1],[30.64285714 21.35714286] ; [2.35714286 1.64285714],0
s5,1,0.58445,0.299096,[41 89] ; [1 4],[40.44444444 89.55555556] ; [1.55555556 3.44444444],0
s3,1,0.625966,0.237572,[67 70] ; [3 2],[67.53521127 69.46478873] ; [2.46478873 2.53521127],0
s2,1,0.707002,0.14129,[67 71] ; [2 3],[66.58741259 71.41258741] ; [2.41258741 2.58741259],0
p9,1,0.738474,0.111473,[92 45] ; [3 2],[91.65492958 45.34507042] ; [3.34507042 1.65492958],0
p3,1,0.827343,0.047572,[49 90] ; [2 3],[49.22916667 89.77083333] ; [1.77083333 3.22916667],0
p6,1,0.846552,0.03745,[ 33 106] ; [1 4],[ 32.81944444 106.18055556] ; [1.18055556 3.81944444],0
a7,1,0.896684,0.016861,[88 52] ; [3 2],[87.86206897 52.13793103] ; [3.13793103 1.86206897],0
v3,1,0.909854,0.012819,[48 80] ; [2 3],[48.12030075 79.87969925] ; [1.87969925 3.12030075],0
b4,1,0.924019,0.009096,[81 59] ; [3 2],[81.10344828 58.89655172] ; [2.89655172 2.10344828],0
