Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,3.3e-05,17.219006,[57 18] ; [ 8 18],[48.26732673 26.73267327] ; [16.73267327  9.26732673],1
a4,1,3.7e-05,17.021971,[37 38] ; [ 1 25],[28.21782178 46.78217822] ; [ 9.78217822 16.21782178],1
d2,1,0.001139,10.587337,[39 36] ; [ 4 22],[31.93069307 43.06930693] ; [11.06930693 14.93069307],0
d1,1,0.003306,8.630505,[48 27] ; [ 8 18],[41.58415842 33.41584158] ; [14.41584158 11.58415842],0
r2,1,0.003534,8.508981,[72  2] ; [20  5],[68.76767677  5.23232323] ; [23.23232323  1.76767677],0
r4,1,0.008081,7.015354,[68  7] ; [18  8],[63.86138614 11.13861386] ; [22.13861386  3.86138614],0
p10,1,0.012866,6.1875,[55 20] ; [11 13],[50. 25.] ; [16.  8.],0
v2,1,0.025113,5.016066,[40 32] ; [ 7 17],[35.25 36.75] ; [11.75 12.25],0
p6,1,0.040139,4.212004,[35 39] ; [ 5 17],[30.83333333 43.16666667] ; [ 9.16666667 12.83333333],0
r1,1,0.040974,4.177096,[58 16] ; [15 11],[54.02 19.98] ; [18.98  7.02],0
d5,1,0.041001,4.17599,[61 14] ; [16 10],[57.17821782 17.82178218] ; [19.82178218  6.17821782],0
d4,1,0.044573,4.03474,[67  8] ; [19  7],[63.86138614 11.13861386] ; [22.13861386  3.86138614],0
d3,1,0.075394,3.161496,[57 18] ; [15 11],[53.46534653 21.53465347] ; [18.53465347  7.46534653],0
s6,1,0.076115,3.145963,[52 23] ; [13 13],[48.26732673 26.73267327] ; [16.73267327  9.26732673],0
s2,1,0.079164,3.081979,[38 37] ; [ 8 18],[34.15841584 40.84158416] ; [11.84158416 14.15841584],0
p9,1,0.090914,2.858109,[58 17] ; [15 10],[54.75 20.25] ; [18.25  6.75],0
s8,1,0.099498,2.713567,[34 41] ; [ 7 19],[30.44554455 44.55445545] ; [10.55445545 15.44554455],0
r3,1,0.101974,2.674398,[71  4] ; [22  4],[69.05940594  5.94059406] ; [23.94059406  2.05940594],0
s5,1,0.113526,2.504433,[27 43] ; [ 5 19],[23.82978723 46.17021277] ; [ 8.17021277 15.82978723],0
p7,1,0.167252,1.907402,[56 18] ; [16 10],[53.28 20.72] ; [18.72  7.28],0
b2,1,0.179428,1.802355,[17 32] ; [ 2 11],[15.01612903 33.98387097] ; [3.98387097 9.01612903],0
b3,1,0.179428,1.802355,[17 32] ; [ 2 11],[15.01612903 33.98387097] ; [3.98387097 9.01612903],0
n4,1,0.194092,1.686281,[37 38] ; [ 9 17],[34.15841584 40.84158416] ; [11.84158416 14.15841584],0
a6,1,0.208465,1.582057,[48 27] ; [13 13],[45.2970297 29.7029703] ; [15.7029703 10.2970297],0
u3,1,0.248213,1.333333,[15  3] ; [12  6],[13.5  4.5] ; [13.5  4.5],0
n2,1,0.265572,1.239477,[10  6] ; [6 1],[11.13043478  4.86956522] ; [4.86956522 2.13043478],0
n1,1,0.265572,1.239477,[ 6 10] ; [1 6],[ 4.86956522 11.13043478] ; [2.13043478 4.86956522],0
p11,1,0.27907,1.171615,[52 23] ; [15 11],[49.75247525 25.24752475] ; [17.24752475  8.75247525],0
s7,1,0.452564,0.564222,[31 40] ; [ 8 15],[29.45744681 41.54255319] ; [ 9.54255319 13.45744681],0
b1,1,0.462397,0.540086,[38 37] ; [11 15],[36.38613861 38.61386139] ; [12.61386139 13.38613861],0
p4,1,0.465233,0.533275,[52 23] ; [16 10],[50.4950495 24.5049505] ; [17.5049505  8.4950495],0
v4,1,0.472359,0.516453,[69  6] ; [25  1],[69.8019802  5.1980198] ; [24.1980198  1.8019802],0
b5,1,0.502903,0.448805,[46 29] ; [14 12],[44.55445545 30.44554455] ; [15.44554455 10.55445545],0
p8,1,0.596541,0.280245,[42 33] ; [13 13],[40.84158416 34.15841584] ; [14.15841584 11.84158416],0
a1,1,0.600079,0.274876,[ 5 70] ; [ 1 25],[ 4.45544554 70.54455446] ; [ 1.54455446 24.45544554],0
s3,1,0.600222,0.274662,[40 34] ; [12 13],[38.86868687 35.13131313] ; [13.13131313 11.86868687],0
v1,1,0.632585,0.228571,[31 41] ; [ 9 15],[30. 42.] ; [10. 14.],0
b4,1,0.635843,0.22422,[50 25] ; [16 10],[49.00990099 25.99009901] ; [16.99009901  9.00990099],0
v3,1,0.655245,0.199352,[22 49] ; [ 6 17],[21.14893617 49.85106383] ; [ 6.85106383 16.14893617],0
s4,1,0.714546,0.133779,[17 58] ; [ 5 21],[16.33663366 58.66336634] ; [ 5.66336634 20.33663366],0
p2,1,0.724827,0.123915,[62 12] ; [21  5],[61.42 12.58] ; [21.58  4.42],0
a8,1,0.752795,0.099198,[ 2 68] ; [ 1 23],[ 2.23404255 67.76595745] ; [ 0.76595745 23.23404255],0
n6,1,0.759657,0.093594,[43 31] ; [16 10],[43.66 30.34] ; [15.34 10.66],0
s1,1,0.763227,0.090749,[ 4 71] ; [ 1 25],[ 3.71287129 71.28712871] ; [ 1.28712871 24.71287129],0
n3,1,0.794935,0.067552,[13  3] ; [6 1],[13.2173913  2.7826087] ; [5.7826087 1.2173913],0
u2,1,0.825887,0.048391,[11  7] ; [11  6],[11.31428571  6.68571429] ; [10.68571429  6.31428571],0
p1,1,0.832217,0.044884,[10 63] ; [ 4 22],[10.32323232 62.67676768] ; [ 3.67676768 22.32323232],0
p5,1,0.960073,0.002506,[ 6 69] ; [ 2 24],[ 5.94059406 69.05940594] ; [ 2.05940594 23.94059406],0
a7,1,0.992204,9.5e-05,[52 23] ; [18  8],[51.98019802 23.01980198] ; [18.01980198  7.98019802],0
