Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,3e-06,21.869775,[ 9 43] ; [19  8],[18.43037975 33.56962025] ; [ 9.56962025 17.43037975],1
s6,1,3.5e-05,17.132666,[14 40] ; [20  7],[22.66666667 31.33333333] ; [11.33333333 15.66666667],1
s8,1,0.003555,8.498361,[ 8 46] ; [12 15],[13.33333333 40.66666667] ; [ 6.66666667 20.33333333],0
p3,1,0.010355,6.572859,[14 39] ; [15 12],[19.2125 33.7875] ; [ 9.7875 17.2125],0
p6,1,0.029539,4.735925,[ 8 44] ; [10 17],[11.84810127 40.15189873] ; [ 6.15189873 20.84810127],0
p4,1,0.045949,3.98345,[19 34] ; [16 11],[23.1875 29.8125] ; [11.8125 15.1875],0
a6,1,0.059172,3.56044,[22 32] ; [17 10],[26. 28.] ; [13. 14.],0
s5,1,0.065095,3.402566,[ 6 47] ; [ 7 18],[ 8.83333333 44.16666667] ; [ 4.16666667 20.83333333],0
s7,1,0.075722,3.154412,[15 36] ; [13 13],[18.54545455 32.45454545] ; [ 9.45454545 16.54545455],0
r1,1,0.077328,3.120185,[18 36] ; [ 4 23],[14.66666667 39.33333333] ; [ 7.33333333 19.66666667],0
a3,1,0.096497,2.762506,[27 26] ; [19  8],[30.475 22.525] ; [15.525 11.475],0
p7,1,0.100762,2.693438,[14 37] ; [12 14],[17.22077922 33.77922078] ; [ 8.77922078 17.22077922],0
v2,1,0.103585,2.649457,[18 34] ; [14 12],[21.33333333 30.66666667] ; [10.66666667 15.33333333],0
p2,1,0.131256,2.277587,[34 19] ; [21  5],[36.89873418 16.10126582] ; [18.10126582  7.89873418],0
b4,1,0.143117,2.144118,[37 17] ; [14 13],[34. 20.] ; [17. 10.],0
d1,1,0.150121,2.071023,[19 35] ; [14 13],[22. 32.] ; [11. 16.],0
a5,1,0.154729,2.025,[27 27] ; [18  9],[30. 24.] ; [15. 12.],0
v3,1,0.168153,1.899335,[11 43] ; [ 9 17],[13.5 40.5] ; [ 6.5 19.5],0
u2,1,0.169879,1.884007,[10 16] ; [1 7],[ 8.41176471 17.58823529] ; [2.58823529 5.41176471],0
b5,1,0.204501,1.609938,[28 26] ; [18  9],[30.66666667 23.33333333] ; [15.33333333 11.66666667],0
d3,1,0.207857,1.586291,[26 28] ; [17 10],[28.66666667 25.33333333] ; [14.33333333 12.66666667],0
n1,1,0.211986,1.557808,[11 15] ; [2 8],[ 9.38888889 16.61111111] ; [3.61111111 6.38888889],0
s4,1,0.224916,1.472727,[ 8 46] ; [ 7 20],[10. 44.] ; [ 5. 22.],0
r3,1,0.265198,1.241418,[32 20] ; [20  7],[34.2278481 17.7721519] ; [17.7721519  9.2278481],0
d5,1,0.317311,1.0,[34 20] ; [20  7],[36. 18.] ; [18.  9.],0
b1,1,0.342782,0.9,[26 28] ; [10 17],[24. 30.] ; [12. 15.],0
v4,1,0.347298,0.883303,[40 13] ; [17  9],[38.24050633 14.75949367] ; [18.75949367  7.24050633],0
d4,1,0.35718,0.847785,[36 17] ; [21  6],[37.7625 15.2375] ; [19.2375  7.7625],0
p9,1,0.401113,0.704986,[31 20] ; [19  8],[32.69230769 18.30769231] ; [17.30769231  9.69230769],0
p11,1,0.412557,0.671419,[33 21] ; [19  8],[34.66666667 19.33333333] ; [17.33333333  9.66666667],0
