Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,36.331652,[77 19] ; [ 3 19],[65.08474576 30.91525424] ; [14.91525424  7.08474576],1
v4,1,0.0,26.815871,[87  8] ; [10 12],[78.76068376 16.23931624] ; [18.23931624  3.76068376],1
s3,1,0.000153,14.333119,[50 43] ; [ 2 20],[42.05217391 50.94782609] ; [ 9.94782609 12.05217391],1
r1,1,0.000893,11.037035,[67 29] ; [ 7 15],[60.20338983 35.79661017] ; [13.79661017  8.20338983],1
u3,1,0.004691,7.994947,[27 26] ; [ 1 12],[22.48484848 30.51515152] ; [5.51515152 7.48484848],0
v3,1,0.005771,7.620353,[32 62] ; [ 1 21],[26.74137931 67.25862069] ; [ 6.25862069 15.74137931],0
a6,1,0.018093,5.587121,[53 43] ; [ 6 16],[48. 48.] ; [11. 11.],0
r3,1,0.027606,4.852535,[80 16] ; [13  8],[76.30769231 19.69230769] ; [16.69230769  4.30769231],0
n6,1,0.03155,4.622771,[69 27] ; [10 11],[64.82051282 31.17948718] ; [14.17948718  6.82051282],0
b1,1,0.040397,4.20115,[38 58] ; [14  8],[42.30508475 53.69491525] ; [ 9.69491525 12.30508475],0
s2,1,0.041212,4.167259,[34 60] ; [ 3 19],[29.98275862 64.01724138] ; [ 7.01724138 14.98275862],0
p9,1,0.061089,3.507578,[65 29] ; [10 11],[61.30434783 32.69565217] ; [13.69565217  7.30434783],0
n2,1,0.062853,3.460466,[26  4] ; [8 5],[23.72093023  6.27906977] ; [10.27906977  2.72093023],0
v2,1,0.071734,3.242897,[36 54] ; [ 4 17],[32.43243243 57.56756757] ; [ 7.56756757 13.43243243],0
s6,1,0.086745,2.933756,[45 50] ; [ 6 16],[41.41025641 53.58974359] ; [ 9.58974359 12.41025641],0
v1,1,0.088759,2.896742,[39 53] ; [ 5 17],[35.50877193 56.49122807] ; [ 8.49122807 13.50877193],0
d4,1,0.11314,2.509798,[48 47] ; [ 7 15],[44.65811966 50.34188034] ; [10.34188034 11.65811966],0
d3,1,0.118646,2.435103,[34 62] ; [ 4 18],[30.91525424 65.08474576] ; [ 7.08474576 14.91525424],0
