Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,33.408926,[93  9] ; [ 8 13],[83.75609756 18.24390244] ; [17.24390244  3.75609756],1
s2,1,3.7e-05,17.010965,[79 24] ; [ 7 15],[70.864 32.136] ; [15.136  6.864],1
v4,1,0.000154,14.324219,[98  2] ; [17  5],[94.26229508  5.73770492] ; [20.73770492  1.26229508],1
s6,1,0.000239,13.49481,[92 10] ; [13  9],[86.37096774 15.62903226] ; [18.62903226  3.37096774],1
r4,1,0.000243,13.465099,[96  8] ; [14  8],[90.79365079 13.20634921] ; [19.20634921  2.79365079],1
d2,1,0.000925,10.972079,[48 56] ; [18  3],[54.912 49.088] ; [11.088  9.912],1
s8,1,0.004888,7.920343,[62 41] ; [ 6 16],[56.032 46.968] ; [11.968 10.032],0
s3,1,0.006344,7.449776,[75 25] ; [10 12],[69.67213115 30.32786885] ; [15.32786885  6.67213115],0
p11,1,0.010424,6.560947,[80 24] ; [11 11],[75.11111111 28.88888889] ; [15.88888889  6.11111111],0
s7,1,0.016352,5.764578,[66 37] ; [ 8 14],[60.976 42.024] ; [13.024  8.976],0
p8,1,0.017896,5.606287,[46 55] ; [ 4 18],[41.05691057 59.94308943] ; [ 8.94308943 13.05691057],0
r3,1,0.022324,5.220373,[98  5] ; [17  4],[95.52419355  7.47580645] ; [19.47580645  1.52419355],0
b2,1,0.022541,5.203569,[28 32] ; [ 3 15],[23.84615385 36.15384615] ; [ 7.15384615 10.84615385],0
b3,1,0.022541,5.203569,[28 32] ; [ 3 15],[23.84615385 36.15384615] ; [ 7.15384615 10.84615385],0
u3,1,0.036408,4.37788,[18 13] ; [1 6],[15.5 15.5] ; [3.5 3.5],0
n6,1,0.041418,4.158815,[91 11] ; [16  6],[88.01612903 13.98387097] ; [18.98387097  3.01612903],0
p7,1,0.043114,4.090909,[63 35] ; [ 9 13],[58.8 39.2] ; [13.2  8.8],0
v1,1,0.054869,3.686065,[60 42] ; [ 8 14],[55.93548387 46.06451613] ; [12.06451613  9.93548387],0
a7,1,0.060015,3.53697,[76 28] ; [11 10],[72.384 31.616] ; [14.616  6.384],0
p2,1,0.063772,3.436468,[84 19] ; [14  8],[80.752 22.248] ; [17.248  4.752],0
n1,1,0.095726,2.775349,[11 20] ; [6 3],[13.175 17.825] ; [3.825 5.175],0
b1,1,0.102458,2.666862,[33 71] ; [11 11],[36.31746032 67.68253968] ; [ 7.68253968 14.31746032],0
s4,1,0.11941,2.425048,[32 71] ; [ 3 18],[29.07258065 73.92741935] ; [ 5.92741935 15.07258065],0
a5,1,0.130134,2.290909,[78 26] ; [13  9],[75.11111111 28.88888889] ; [15.88888889  6.11111111],0
p1,1,0.132261,2.265763,[ 8 95] ; [ 4 18],[ 9.888 93.112] ; [ 2.112 19.888],0
p6,1,0.146539,2.107915,[35 68] ; [ 4 18],[32.136 70.864] ; [ 6.864 15.136],0
r2,1,0.311386,1.024787,[97  4] ; [20  2],[96.07317073  4.92682927] ; [20.92682927  1.07317073],0
d4,1,0.412676,0.671078,[87 17] ; [16  5],[85.696 18.304] ; [17.304  3.696],0
a8,1,0.520551,0.412802,[13 78] ; [ 4 16],[13.93693694 77.06306306] ; [ 3.06306306 16.93693694],0
u1,1,0.565412,0.33042,[14 90] ; [ 4 18],[14.85714286 89.14285714] ; [ 3.14285714 18.85714286],0
a6,1,0.600539,0.274183,[63 41] ; [12 10],[61.9047619 42.0952381] ; [13.0952381  8.9047619],0
a2,1,0.615847,0.251748,[24 80] ; [ 4 18],[23.11111111 80.88888889] ; [ 4.88888889 17.11111111],0
p4,1,0.636726,0.22305,[45 58] ; [ 8 13],[44.02419355 58.97580645] ; [ 8.97580645 12.02419355],0
d3,1,0.636965,0.222734,[67 37] ; [13  9],[66.03174603 37.96825397] ; [13.96825397  8.03174603],0
u2,1,0.650147,0.205714,[12 18] ; [3 3],[12.5 17.5] ; [2.5 3.5],0
d1,1,0.653409,0.201629,[56 48] ; [13  9],[56.95238095 47.04761905] ; [12.04761905  9.95238095],0
n5,1,0.679783,0.17037,[74 28] ; [15  7],[73.20967742 28.79032258] ; [15.79032258  6.20967742],0
d5,1,0.708696,0.139583,[84 20] ; [17  5],[83.36507937 20.63492063] ; [17.63492063  4.36507937],0
n2,1,0.710046,0.138231,[23  8] ; [8 2],[23.43902439  7.56097561] ; [7.56097561 2.43902439],0
b4,1,0.726166,0.122661,[62 42] ; [14  8],[62.73015873 41.26984127] ; [13.26984127  8.73015873],0
n4,1,0.730549,0.118608,[74 29] ; [15  7],[73.336 29.664] ; [15.664  6.336],0
v2,1,0.73164,0.117611,[50 49] ; [12 10],[50.72727273 48.27272727] ; [11.27272727 10.72727273],0
b5,1,0.742567,0.107883,[56 48] ; [11 11],[55.3015873 48.6984127] ; [11.6984127 10.3015873],0
v3,1,0.77612,0.080871,[35 65] ; [ 7 15],[34.42622951 65.57377049] ; [ 7.57377049 14.42622951],0
r1,1,0.798603,0.065105,[81 21] ; [18  4],[81.43548387 20.56451613] ; [17.56451613  4.43548387],0
a3,1,0.801752,0.063041,[73 30] ; [15  7],[72.512 30.488] ; [15.488  6.512],0
p5,1,0.824634,0.049101,[11 92] ; [ 2 20],[10.712 92.288] ; [ 2.288 19.712],0
n3,1,0.838007,0.041797,[22  8] ; [7 3],[21.75  8.25] ; [7.25 2.75],0
a4,1,0.887212,0.020117,[49 55] ; [10 12],[48.6984127 55.3015873] ; [10.3015873 11.6984127],0
a1,1,0.958151,0.002753,[ 5 99] ; [ 1 21],[ 4.95238095 99.04761905] ; [ 1.04761905 20.95238095],0
