Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,2e-06,22.361281,[57 68] ; [ 24 108],[39.39688716 85.60311284] ; [41.60311284 90.39688716],1
r1,1,5.1e-05,16.412103,[105  21] ; [80 52],[90.34883721 35.65116279] ; [94.65116279 37.34883721],1
v1,1,0.000181,14.02214,[73 50] ; [47 84],[58.11023622 64.88976378] ; [61.88976378 69.11023622],1
r3,1,0.001015,10.800697,[122   2] ; [116  16],[115.28125   8.71875] ; [122.71875   9.28125],0
r4,1,0.008527,6.919223,[115  11] ; [106  27],[107.51351351  18.48648649] ; [113.48648649  19.51351351],0
p6,1,0.011252,6.425024,[49 74] ; [33 99],[39.55294118 83.44705882] ; [42.44705882 89.55294118],0
d3,1,0.01274,6.204906,[73 53] ; [56 76],[63. 63.] ; [66. 66.],0
p11,1,0.015982,5.80483,[101  25] ; [89 44],[92.43243243 33.56756757] ; [97.56756757 35.43243243],0
s8,1,0.019858,5.424329,[46 79] ; [ 31 101],[37.45136187 87.54863813] ; [39.54863813 92.45136187],0
p3,1,0.020467,5.371658,[62 63] ; [47 86],[52.81007752 72.18992248] ; [56.18992248 76.81007752],0
u1,1,0.024493,5.059375,[  9 117] ; [  2 131],[  5.35135135 120.64864865] ; [  5.64864865 127.35135135],0
s1,1,0.041483,4.156176,[  2 120] ; [  9 122],[  5.30434783 116.69565217] ; [  5.69565217 125.30434783],0
a5,1,0.042004,4.135031,[82 44] ; [70 63],[73.94594595 52.05405405] ; [78.05405405 54.94594595],0
n5,1,0.042709,4.106896,[91 32] ; [82 50],[83.44705882 39.55294118] ; [89.55294118 42.44705882],0
p7,1,0.047358,3.932621,[81 42] ; [68 59],[73.308 49.692] ; [75.692 51.308],0
v4,1,0.057263,3.614928,[118   6] ; [117  15],[113.828125  10.171875] ; [121.171875  10.828125],0
n6,1,0.063565,3.441828,[104  20] ; [99 34],[97.94552529 26.05447471] ; [105.05447471  27.94552529],0
n1,1,0.093141,2.819224,[ 9 21] ; [14 13],[12.10526316 17.89473684] ; [10.89473684 16.10526316],0
p9,1,0.093797,2.807965,[103  20] ; [97 32],[97.61904762 25.38095238] ; [102.38095238  26.61904762],0
s7,1,0.103683,2.647959,[53 65] ; [43 81],[46.80991736 71.19008264] ; [49.19008264 74.80991736],0
p10,1,0.123573,2.371436,[97 25] ; [91 37],[91.744 30.256] ; [96.256 31.744],0
r2,1,0.124779,2.356284,[115   8] ; [116  16],[111.42352941  11.57647059] ; [119.57647059  12.42352941],0
s6,1,0.131137,2.278995,[82 40] ; [76 55],[76.18972332 45.81027668] ; [81.81027668 49.18972332],0
n2,1,0.168715,1.894326,[25  5] ; [19  9],[22.75862069  7.24137931] ; [21.24137931  6.75862069],0
p12,1,0.200277,1.640355,[  8 116] ; [  4 127],[  5.83529412 118.16470588] ; [  6.16470588 124.83529412],0
a3,1,0.213766,1.545733,[77 49] ; [70 61],[72.07003891 53.92996109] ; [74.92996109 56.07003891],0
a6,1,0.216587,1.526844,[86 40] ; [81 52],[81.24324324 44.75675676] ; [85.75675676 47.24324324],0
s5,1,0.230704,1.436517,[38 83] ; [32 98],[33.74501992 87.25498008] ; [36.25498008 93.74501992],0
n4,1,0.237544,1.39511,[90 35] ; [86 46],[85.60311284 39.39688716] ; [90.39688716 41.60311284],0
s4,1,0.272356,1.20484,[ 19 105] ; [ 27 104],[ 22.36862745 101.63137255] ; [ 23.63137255 107.36862745],0
n3,1,0.277295,1.180301,[25  5] ; [20  8],[23.27586207  6.72413793] ; [21.72413793  6.27586207],0
b1,1,0.301428,1.067868,[47 79] ; [58 75],[51.08108108 74.91891892] ; [53.91891892 79.08108108],0
u3,1,0.311172,1.025696,[25 24] ; [37 24],[27.61818182 21.38181818] ; [34.38181818 26.61818182],0
b5,1,0.326171,0.96404,[74 52] ; [86 47],[77.83783784 48.16216216] ; [82.16216216 50.83783784],0
p5,1,0.350989,0.869878,[ 16 109] ; [ 12 119],[ 13.671875 111.328125] ; [ 14.328125 116.671875],0
s2,1,0.353047,0.862475,[47 76] ; [58 74],[50.64705882 72.35294118] ; [54.35294118 77.64705882],0
b4,1,0.381628,0.765452,[75 51] ; [72 61],[71.51351351 54.48648649] ; [75.48648649 57.51351351],0
d2,1,0.44377,0.586514,[ 14 112] ; [ 19 114],[ 16.05405405 109.94594595] ; [ 16.94594595 116.05405405],0
a1,1,0.463885,0.536504,[  6 120] ; [  4 129],[  4.86486486 121.13513514] ; [  5.13513514 127.86486486],0
s3,1,0.504123,0.446247,[61 61] ; [60 71],[58.34782609 63.65217391] ; [62.65217391 68.34782609],0
p4,1,0.611367,0.258189,[65 59] ; [65 67],[62.96875 61.03125] ; [67.03125 64.96875],0
a4,1,0.613895,0.254542,[34 92] ; [ 32 100],[32.23255814 93.76744186] ; [33.76744186 98.23255814],0
p1,1,0.726389,0.122453,[ 10 115] ; [ 12 118],[ 10.78431373 114.21568627] ; [ 11.21568627 118.78431373],0
a8,1,0.728637,0.120367,[16 98] ; [ 20 108],[16.95867769 97.04132231] ; [ 19.04132231 108.95867769],0
b2,1,0.742351,0.108071,[20 49] ; [18 50],[19.13868613 49.86131387] ; [18.86131387 49.13868613],0
b3,1,0.742351,0.108071,[20 49] ; [18 50],[19.13868613 49.86131387] ; [18.86131387 49.13868613],0
d4,1,0.868445,0.027435,[78 48] ; [81 52],[77.35135135 48.64864865] ; [81.64864865 51.35135135],0
p8,1,0.907127,0.01361,[61 63] ; [63 67],[60.53543307 63.46456693] ; [63.46456693 66.53543307],0
a2,1,0.907665,0.013452,[  9 117] ; [ 10 123],[  9.24324324 116.75675676] ; [  9.75675676 123.24324324],0
u2,1,0.954704,0.003226,[24 23] ; [32 30],[24.14678899 22.85321101] ; [31.85321101 30.14678899],0
p2,1,0.957607,0.002826,[101  24] ; [107  25],[101.16731518  23.83268482] ; [106.83268482  25.16731518],0
u4,1,0.969381,0.001473,[  1 125] ; [  1 132],[  0.97297297 125.02702703] ; [  1.02702703 131.97297297],0
d5,1,0.99457,4.6e-05,[73 53] ; [77 56],[72.97297297 53.02702703] ; [77.02702703 55.97297297],0
