Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6e-06,20.52726,[24 40] ; [22  2],[33.45454545 30.54545455] ; [12.54545455 11.45454545],1
p2,1,0.000509,12.08074,[37 28] ; [23  1],[43.82022472 21.17977528] ; [16.17977528  7.82022472],1
v2,1,0.014465,5.980513,[16 45] ; [13 11],[20.81176471 40.18823529] ; [ 8.18823529 15.81176471],0
s7,1,0.015016,5.914639,[ 6 55] ; [ 7 15],[ 9.55421687 51.44578313] ; [ 3.44578313 18.55421687],0
s5,1,0.021824,5.25974,[ 2 64] ; [ 4 20],[ 4.4 61.6] ; [ 1.6 22.4],0
p8,1,0.029368,4.745912,[21 43] ; [14 10],[25.45454545 38.54545455] ; [ 9.54545455 14.45454545],0
p4,1,0.032284,4.583333,[22 44] ; [14 10],[26.4 39.6] ; [ 9.6 14.4],0
v4,1,0.034538,4.467885,[48 15] ; [23  1],[51.4137931 11.5862069] ; [19.5862069  4.4137931],0
p3,1,0.048187,3.903468,[18 47] ; [12 12],[21.91011236 43.08988764] ; [ 8.08988764 15.91011236],0
b1,1,0.051605,3.78852,[26 40] ; [15  9],[30.06666667 35.93333333] ; [10.93333333 13.06666667],0
b5,1,0.059755,3.544165,[32 34] ; [17  7],[35.93333333 30.06666667] ; [13.06666667 10.93333333],0
p1,1,0.091609,2.845866,[ 7 58] ; [ 6 18],[ 9.49438202 55.50561798] ; [ 3.50561798 20.49438202],0
v3,1,0.105761,2.616446,[13 50] ; [ 9 15],[15.93103448 47.06896552] ; [ 6.06896552 17.93103448],0
p12,1,0.111052,2.539185,[ 1 65] ; [ 2 22],[ 2.2 63.8] ; [ 0.8 23.2],0
b3,1,0.124064,2.365249,[12 27] ; [8 7],[14.44444444 24.55555556] ; [5.55555556 9.44444444],0
b2,1,0.124064,2.365249,[12 27] ; [8 7],[14.44444444 24.55555556] ; [5.55555556 9.44444444],0
r4,1,0.131627,2.273205,[38 28] ; [18  6],[41.06666667 24.93333333] ; [14.93333333  9.06666667],0
