Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,6.5e-05,15.937528,[ 5 52] ; [8 7],[10.29166667 46.70833333] ; [ 2.70833333 12.29166667],1
p4,1,0.000268,13.281103,[13 43] ; [11  4],[18.92957746 37.07042254] ; [5.07042254 9.92957746],1
p8,1,0.001059,10.720836,[10 46] ; [9 6],[14.98591549 41.01408451] ; [ 4.01408451 10.98591549],0
p7,1,0.006216,7.486473,[13 43] ; [9 6],[17.35211268 38.64788732] ; [ 4.64788732 10.35211268],0
s6,1,0.030408,4.686076,[23 32] ; [11  4],[26.71428571 28.28571429] ; [7.28571429 7.71428571],0
a5,1,0.119393,2.425263,[29 28] ; [11  4],[31.66666667 25.33333333] ; [8.33333333 6.66666667],0
r4,1,0.129444,2.29916,[38 19] ; [13  2],[40.375 16.625] ; [10.625  4.375],0
p9,1,0.143655,2.138365,[24 29] ; [10  5],[26.5 26.5] ; [7.5 7.5],0
s7,1,0.175687,1.833736,[12 41] ; [5 7],[13.86153846 39.13846154] ; [3.13846154 8.86153846],0
n3,1,0.178022,1.814059,[17 11] ; [1 3],[15.75 12.25] ; [2.25 1.75],0
s5,1,0.178519,1.809912,[12 41] ; [6 9],[14.02941176 38.97058824] ; [ 3.97058824 11.02941176],0
v2,1,0.190384,1.714641,[20 33] ; [8 6],[22.14925373 30.85074627] ; [5.85074627 8.14925373],0
s2,1,0.197141,1.663431,[20 37] ; [8 7],[22.16666667 34.83333333] ; [5.83333333 9.16666667],0
n6,1,0.225896,1.466515,[28 29] ; [10  5],[30.08333333 26.91666667] ; [7.91666667 7.08333333],0
b2,1,0.24061,1.377014,[ 7 22] ; [4 5],[ 8.39473684 20.60526316] ; [2.60526316 6.39473684],0
b3,1,0.24061,1.377014,[ 7 22] ; [4 5],[ 8.39473684 20.60526316] ; [2.60526316 6.39473684],0
p1,1,0.273963,1.196795,[ 3 54] ; [ 2 13],[ 3.95833333 53.04166667] ; [ 1.04166667 13.95833333],0
a6,1,0.274828,1.192492,[28 29] ; [ 5 10],[26.125 30.875] ; [6.875 8.125],0
u3,1,0.295366,1.095001,[15  8] ; [2 3],[13.96428571  9.03571429] ; [3.03571429 1.96428571],0
p12,1,0.310253,1.029598,[ 1 55] ; [ 1 14],[ 1.57746479 54.42253521] ; [ 0.42253521 14.57746479],0
p5,1,0.317742,0.998217,[ 1 54] ; [ 1 14],[ 1.57142857 53.42857143] ; [ 0.42857143 14.57142857],0
d2,1,0.33039,0.947368,[27 30] ; [ 5 10],[25.33333333 31.66666667] ; [6.66666667 8.33333333],0
a2,1,0.36333,0.82635,[ 9 48] ; [ 1 14],[ 7.91666667 49.08333333] ; [ 2.08333333 12.91666667],0
b4,1,0.392732,0.730465,[31 26] ; [10  5],[32.45833333 24.54166667] ; [8.54166667 6.45833333],0
n1,1,0.481819,0.494743,[ 9 19] ; [2 2],[ 9.625 18.375] ; [1.375 2.625],0
a4,1,0.487384,0.482297,[21 36] ; [7 8],[22.16666667 34.83333333] ; [5.83333333 9.16666667],0
b1,1,0.528879,0.396546,[28 29] ; [6 9],[26.91666667 30.08333333] ; [7.08333333 7.91666667],0
d3,1,0.528879,0.396546,[28 29] ; [6 9],[26.91666667 30.08333333] ; [7.08333333 7.91666667],0
b5,1,0.538167,0.378947,[39 18] ; [9 6],[38. 19.] ; [10.  5.],0
s8,1,0.55396,0.350271,[11 45] ; [ 4 11],[11.83098592 44.16901408] ; [ 3.16901408 11.83098592],0
n5,1,0.567783,0.326406,[18 38] ; [6 9],[18.92957746 37.07042254] ; [5.07042254 9.92957746],0
r2,1,0.593074,0.285569,[46 11] ; [13  2],[46.70833333 10.29166667] ; [12.29166667  2.70833333],0
a3,1,0.619856,0.24607,[34 23] ; [10  5],[34.83333333 22.16666667] ; [9.16666667 5.83333333],0
v1,1,0.629418,0.232851,[19 38] ; [6 9],[19.79166667 37.20833333] ; [5.20833333 9.79166667],0
s4,1,0.641688,0.216541,[12 45] ; [ 4 11],[12.66666667 44.33333333] ; [ 3.33333333 11.66666667],0
s1,1,0.653473,0.20155,[ 6 51] ; [ 1 14],[ 5.54166667 51.45833333] ; [ 1.45833333 13.54166667],0
r1,1,0.65888,0.194887,[34 23] ; [8 7],[33.25 23.75] ; [8.75 6.25],0
r3,1,0.697031,0.151579,[47 10] ; [13  2],[47.5  9.5] ; [12.5  2.5],0
d5,1,0.713259,0.135043,[39 18] ; [11  4],[39.58333333 17.41666667] ; [10.41666667  4.58333333],0
v3,1,0.729111,0.119929,[13 41] ; [ 4 10],[13.5 40.5] ; [ 3.5 10.5],0
u2,1,0.750469,0.101137,[12 11] ; [3 2],[12.32142857 10.67857143] ; [2.67857143 2.32142857],0
p10,1,0.770831,0.084848,[27 28] ; [8 7],[27.5 27.5] ; [7.5 7.5],0
p11,1,0.788229,0.072152,[25 32] ; [6 9],[24.54166667 32.45833333] ; [6.45833333 8.54166667],0
a1,1,0.832774,0.044582,[ 3 54] ; [ 1 14],[ 3.16666667 53.83333333] ; [ 0.83333333 14.16666667],0
