Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.00012,14.797248,[28  5] ; [ 8 15],[21.21428571 11.78571429] ; [14.78571429  8.21428571],1
n2,1,0.003693,8.429071,[12  4] ; [2 9],[8.2962963 7.7037037] ; [5.7037037 5.2962963],0
n5,1,0.005665,7.653749,[12 21] ; [17  6],[17.08928571 15.91071429] ; [11.91071429 11.08928571],0
p6,1,0.009579,6.711648,[11 21] ; [ 1 21],[ 7.11111111 24.88888889] ; [ 4.88888889 17.11111111],0
n4,1,0.02622,4.941462,[13 20] ; [16  7],[17.08928571 15.91071429] ; [11.91071429 11.08928571],0
a7,1,0.02622,4.941462,[20 13] ; [ 7 16],[15.91071429 17.08928571] ; [11.08928571 11.91071429],0
v2,1,0.029102,4.76157,[15 18] ; [ 4 19],[11.19642857 21.80357143] ; [ 7.80357143 15.19642857],0
n6,1,0.033971,4.49615,[23 10] ; [ 9 13],[19.2 13.8] ; [12.8  9.2],0
p2,1,0.034249,4.482213,[18 15] ; [ 6 17],[14.14285714 18.85714286] ; [ 9.85714286 13.14285714],0
p8,1,0.039355,4.245459,[13 20] ; [ 3 19],[ 9.6 23.4] ; [ 6.4 15.6],0
p4,1,0.041964,4.136671,[16 17] ; [ 5 18],[12.375 20.625] ; [ 8.625 14.375],0
p7,1,0.045122,4.014081,[19 14] ; [ 7 16],[15.32142857 17.67857143] ; [10.67857143 12.32142857],0
r2,1,0.049067,3.873051,[25  8] ; [11 11],[21.6 11.4] ; [14.4  7.6],0
b2,1,0.052896,3.747215,[ 3 15] ; [8 9],[ 5.65714286 12.34285714] ; [ 5.34285714 11.65714286],0
b3,1,0.052896,3.747215,[ 3 15] ; [8 9],[ 5.65714286 12.34285714] ; [ 5.34285714 11.65714286],0
a1,1,0.063727,3.437629,[ 1 32] ; [ 4 19],[ 2.94642857 30.05357143] ; [ 2.05357143 20.94642857],0
d2,1,0.078097,3.104056,[13 20] ; [14  8],[16.2 16.8] ; [10.8 11.2],0
s2,1,0.084516,2.975845,[11 22] ; [ 3 20],[ 8.25 24.75] ; [ 5.75 17.25],0
p11,1,0.091338,2.850641,[16 17] ; [ 6 17],[12.96428571 20.03571429] ; [ 9.03571429 13.96428571],0
d4,1,0.099218,2.718071,[23 10] ; [11 12],[20.03571429 12.96428571] ; [13.96428571  9.03571429],0
u3,1,0.100582,2.696287,[7 9] ; [ 2 11],[ 4.96551724 11.03448276] ; [4.03448276 8.96551724],0
s6,1,0.107747,2.586963,[14 19] ; [ 5 18],[11.19642857 21.80357143] ; [ 7.80357143 15.19642857],0
a4,1,0.115109,2.482639,[ 7 26] ; [ 9 13],[ 9.6 23.4] ; [ 6.4 15.6],0
v1,1,0.132322,2.265046,[10 23] ; [ 3 20],[ 7.66071429 25.33928571] ; [ 5.33928571 17.66071429],0
p1,1,0.152321,2.04885,[ 1 32] ; [ 3 20],[ 2.35714286 30.64285714] ; [ 1.64285714 21.35714286],0
p3,1,0.163013,1.946048,[11 21] ; [ 4 19],[ 8.72727273 23.27272727] ; [ 6.27272727 16.72727273],0
d3,1,0.174421,1.844532,[19 14] ; [ 9 14],[16.5 16.5] ; [11.5 11.5],0
n3,1,0.181709,1.783591,[10  6] ; [4 7],[8.2962963 7.7037037] ; [5.7037037 5.2962963],0
s3,1,0.196874,1.665415,[13 20] ; [ 5 17],[10.8 22.2] ; [ 7.2 14.8],0
p10,1,0.209602,1.574175,[ 7 26] ; [ 2 21],[ 5.30357143 27.69642857] ; [ 3.69642857 19.30357143],0
d5,1,0.274621,1.193521,[22 11] ; [12 11],[20.03571429 12.96428571] ; [13.96428571  9.03571429],0
s7,1,0.281716,1.158793,[ 8 23] ; [ 3 19],[ 6.43396226 24.56603774] ; [ 4.56603774 17.43396226],0
b1,1,0.29896,1.078828,[19 14] ; [10 13],[17.08928571 15.91071429] ; [11.91071429 11.08928571],0
v3,1,0.29939,1.076909,[ 8 25] ; [ 3 20],[ 6.48214286 26.51785714] ; [ 4.51785714 18.48214286],0
a5,1,0.391019,0.735772,[12 21] ; [11 12],[13.55357143 19.44642857] ; [ 9.44642857 13.55357143],0
b5,1,0.41514,0.664032,[18 15] ; [10 13],[16.5 16.5] ; [11.5 11.5],0
d1,1,0.491226,0.47384,[13 20] ; [ 7 16],[11.78571429 21.21428571] ; [ 8.21428571 14.78571429],0
a6,1,0.530465,0.3935,[20 13] ; [12 11],[18.85714286 14.14285714] ; [13.14285714  9.85714286],0
a3,1,0.553759,0.350626,[17 16] ; [10 13],[15.91071429 17.08928571] ; [11.08928571 11.91071429],0
s5,1,0.752298,0.09961,[ 5 26] ; [ 3 20],[ 4.59259259 26.40740741] ; [ 3.40740741 19.59259259],0
u1,1,0.779448,0.078422,[ 2 31] ; [ 1 22],[ 1.76785714 31.23214286] ; [ 1.23214286 21.76785714],0
b4,1,0.785909,0.073781,[16 17] ; [12 11],[16.5 16.5] ; [11.5 11.5],0
s4,1,0.827208,0.047648,[ 8 25] ; [ 5 18],[ 7.66071429 25.33928571] ; [ 5.33928571 17.66071429],0
s1,1,0.931112,0.007473,[ 3 29] ; [ 2 21],[ 2.90909091 29.09090909] ; [ 2.09090909 20.90909091],0
u2,1,0.933748,0.006911,[6 9] ; [5 8],[5.89285714 9.10714286] ; [5.10714286 7.89285714],0
n1,1,0.94277,0.005154,[ 4 10] ; [3 8],[ 3.92 10.08] ; [3.08 7.92],0
a2,1,0.959302,0.002604,[ 3 30] ; [ 2 21],[ 2.94642857 30.05357143] ; [ 2.05357143 20.94642857],0
