Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,4e-06,21.503803,[ 5 35] ; [23 13],[14.73684211 25.26315789] ; [13.26315789 22.73684211],1
d4,1,4e-06,21.129389,[20 20] ; [35  1],[28.94736842 11.05263158] ; [26.05263158  9.94736842],1
a5,1,0.000114,14.891594,[16 24] ; [30  6],[24.21052632 15.78947368] ; [21.78947368 14.21052632],1
d3,1,0.000562,11.899038,[22 17] ; [33  3],[28.6 10.4] ; [26.4  9.6],1
u1,1,0.000811,11.216377,[ 1 39] ; [11 25],[ 6.31578947 33.68421053] ; [ 5.68421053 30.31578947],1
a3,1,0.002225,9.353846,[20 20] ; [30  6],[26.31578947 13.68421053] ; [23.68421053 12.31578947],0
a2,1,0.003135,8.726957,[ 2 38] ; [11 25],[ 6.84210526 33.15789474] ; [ 6.15789474 29.84210526],0
a4,1,0.011667,6.360819,[ 8 32] ; [17 19],[13.15789474 26.84210526] ; [11.84210526 24.15789474],0
r1,1,0.014375,5.991468,[23 17] ; [30  6],[27.89473684 12.10526316] ; [25.10526316 10.89473684],0
p4,1,0.021599,5.277778,[15 25] ; [23 13],[20. 20.] ; [18. 18.],0
s6,1,0.025122,5.015488,[24 16] ; [30  6],[28.42105263 11.57894737] ; [25.57894737 10.42105263],0
s8,1,0.043266,4.084992,[10 30] ; [17 19],[14.21052632 25.78947368] ; [12.78947368 23.21052632],0
n4,1,0.047821,3.916264,[20 20] ; [26 10],[24.21052632 15.78947368] ; [21.78947368 14.21052632],0
a6,1,0.068908,3.308844,[22 18] ; [27  9],[25.78947368 14.21052632] ; [23.21052632 12.78947368],0
r2,1,0.069419,3.296703,[32  8] ; [33  2],[34.66666667  5.33333333] ; [30.33333333  4.66666667],0
n2,1,0.096401,2.764103,[9 3] ; [4 6],[7.09090909 4.90909091] ; [5.90909091 4.09090909],0
p10,1,0.097312,2.74906,[26 13] ; [30  6],[29.12  9.88] ; [26.88  9.12],0
p3,1,0.114845,2.486256,[15 25] ; [20 16],[18.42105263 21.57894737] ; [16.57894737 19.42105263],0
s2,1,0.12322,2.37591,[18 21] ; [23 13],[21.32 17.68] ; [19.68 16.32],0
p6,1,0.125896,2.342394,[ 7 32] ; [12 24],[ 9.88 29.12] ; [ 9.12 26.88],0
v2,1,0.126501,2.334924,[13 27] ; [17 17],[16.21621622 23.78378378] ; [13.78378378 20.21621622],0
v4,1,0.168307,1.897962,[33  6] ; [34  2],[34.84  4.16] ; [32.16  3.84],0
r4,1,0.17221,1.863602,[28 12] ; [30  6],[30.52631579  9.47368421] ; [27.47368421  8.52631579],0
b3,1,0.237256,1.396825,[ 3 22] ; [ 4 11],[ 4.375 20.625] ; [ 2.625 12.375],0
b2,1,0.237256,1.396825,[ 3 22] ; [ 4 11],[ 4.375 20.625] ; [ 2.625 12.375],0
s3,1,0.257518,1.282051,[21 18] ; [24 12],[23.4 15.6] ; [21.6 14.4],0
p8,1,0.262542,1.255301,[15 24] ; [18 17],[17.39189189 21.60810811] ; [15.60810811 19.39189189],0
a8,1,0.289818,1.120466,[ 1 35] ; [ 3 32],[ 2.02816901 33.97183099] ; [ 1.97183099 33.02816901],0
n6,1,0.343215,0.898387,[29 10] ; [30  6],[30.68  8.32] ; [28.32  7.68],0
n5,1,0.414743,0.665162,[28 12] ; [22 14],[26.31578947 13.68421053] ; [23.68421053 12.31578947],0
v3,1,0.419839,0.650765,[ 8 31] ; [10 25],[ 9.48648649 29.51351351] ; [ 8.51351351 26.48648649],0
a7,1,0.428405,0.627144,[26 13] ; [27  9],[27.56 11.44] ; [25.44 10.56],0
p7,1,0.501278,0.452229,[23 15] ; [19 17],[21.56756757 16.43243243] ; [20.43243243 15.56756757],0
p9,1,0.578254,0.309066,[27 12] ; [27  9],[28.08 10.92] ; [25.92 10.08],0
r3,1,0.586491,0.295858,[33  6] ; [32  4],[33.8  5.2] ; [31.2  4.8],0
b4,1,0.645898,0.211111,[19 21] ; [19 17],[20. 20.] ; [18. 18.],0
v1,1,0.662376,0.19065,[16 23] ; [13 23],[15.08 23.92] ; [13.92 22.08],0
b5,1,0.680511,0.169551,[26 14] ; [25 11],[26.84210526 13.15789474] ; [24.15789474 11.84210526],0
b1,1,0.727487,0.121431,[16 24] ; [13 23],[15.26315789 24.73684211] ; [13.73684211 22.26315789],0
u3,1,0.768458,0.086667,[12  8] ; [4 2],[12.30769231  7.69230769] ; [3.69230769 2.30769231],0
n3,1,0.793166,0.06875,[9 3] ; [7 3],[8.72727273 3.27272727] ; [7.27272727 2.72727273],0
p2,1,0.812449,0.056296,[32  8] ; [28  8],[31.57894737  8.42105263] ; [28.42105263  7.57894737],0
u2,1,0.829399,0.046429,[ 9 11] ; [3 3],[ 9.23076923 10.76923077] ; [2.76923077 3.23076923],0
p11,1,0.831102,0.045492,[28 12] ; [26 10],[28.42105263 11.57894737] ; [25.57894737 10.42105263],0
n1,1,0.867258,0.027937,[4 8] ; [3 7],[3.81818182 8.18181818] ; [3.18181818 6.81818182],0
s7,1,0.888675,0.019595,[17 23] ; [15 19],[17.2972973 22.7027027] ; [14.7027027 19.2972973],0
p1,1,0.91376,0.011728,[ 2 38] ; [ 2 34],[ 2.10526316 37.89473684] ; [ 1.89473684 34.10526316],0
s1,1,0.934417,0.006771,[ 2 37] ; [ 2 34],[ 2.08 36.92] ; [ 1.92 34.08],0
