Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,6.8e-05,15.870685,[40 12] ; [ 7 17],[32.15789474 19.84210526] ; [14.84210526  9.15789474],1
p2,1,0.000966,10.890808,[32 20] ; [ 5 19],[25.31578947 26.68421053] ; [11.68421053 12.31578947],1
n6,1,0.003216,8.680653,[36 16] ; [ 8 16],[30.10526316 21.89473684] ; [13.89473684 10.10526316],0
r4,1,0.005719,7.636715,[26 26] ; [ 4 20],[20.52631579 31.47368421] ; [ 9.47368421 14.52631579],0
r2,1,0.012972,6.172937,[42  9] ; [12 10],[37.7260274 13.2739726] ; [16.2739726  5.7260274],0
p1,1,0.017291,5.666614,[ 2 50] ; [ 5 19],[ 4.78947368 47.21052632] ; [ 2.21052632 21.78947368],0
u2,1,0.022353,5.218067,[12 14] ; [ 1 11],[ 8.89473684 17.10526316] ; [4.10526316 7.89473684],0
s6,1,0.034946,4.447791,[19 32] ; [ 3 20],[15.16216216 35.83783784] ; [ 6.83783784 16.16216216],0
n1,1,0.03596,4.399003,[ 4 15] ; [6 4],[ 6.55172414 12.44827586] ; [3.44827586 6.55172414],0
n4,1,0.04481,4.025766,[24 28] ; [17  7],[28.05263158 23.94736842] ; [12.94736842 11.05263158],0
s2,1,0.057429,3.610125,[20 32] ; [ 4 20],[16.42105263 35.57894737] ; [ 7.57894737 16.42105263],0
s5,1,0.058562,3.57764,[14 35] ; [ 2 21],[10.88888889 38.11111111] ; [ 5.11111111 17.88888889],0
b5,1,0.075026,3.169491,[35 17] ; [11 13],[31.47368421 20.52631579] ; [14.52631579  9.47368421],0
p8,1,0.096259,2.76645,[13 38] ; [ 2 21],[10.33783784 40.66216216] ; [ 4.66216216 18.33783784],0
s8,1,0.11518,2.481663,[ 9 43] ; [ 1 23],[ 6.84210526 45.15789474] ; [ 3.15789474 20.84210526],0
p9,1,0.129571,2.297631,[28 20] ; [ 9 14],[25.01408451 22.98591549] ; [11.98591549 11.01408451],0
b4,1,0.144504,2.129331,[21 31] ; [14 10],[23.94736842 28.05263158] ; [11.05263158 12.94736842],0
d4,1,0.147941,2.093349,[33 19] ; [11 13],[30.10526316 21.89473684] ; [13.89473684 10.10526316],0
s4,1,0.160748,1.967175,[14 38] ; [ 3 21],[11.63157895 40.36842105] ; [ 5.36842105 18.63157895],0
p7,1,0.161301,1.961989,[24 28] ; [ 7 17],[21.21052632 30.78947368] ; [ 9.78947368 14.21052632],0
v2,1,0.173562,1.851907,[17 35] ; [ 4 19],[14.56 37.44] ; [ 6.44 16.56],0
n5,1,0.174366,1.845005,[26 26] ; [16  8],[28.73684211 23.26315789] ; [13.26315789 10.73684211],0
a8,1,0.180999,1.789398,[ 2 47] ; [ 3 21],[ 3.35616438 45.64383562] ; [ 1.64383562 22.35616438],0
v1,1,0.205186,1.605075,[18 33] ; [ 5 19],[15.64 35.36] ; [ 7.36 16.64],0
p10,1,0.212037,1.557466,[21 30] ; [ 6 17],[18.60810811 32.39189189] ; [ 8.39189189 14.60810811],0
n2,1,0.233297,1.420648,[12  7] ; [4 6],[10.48275862  8.51724138] ; [5.51724138 4.48275862],0
a1,1,0.236018,1.404223,[ 4 48] ; [ 4 20],[ 5.47368421 46.52631579] ; [ 2.52631579 21.47368421],0
s7,1,0.300195,1.073327,[12 37] ; [ 3 19],[10.35211268 38.64788732] ; [ 4.64788732 17.35211268],0
d5,1,0.378396,0.775906,[31 20] ; [12 12],[29.24 21.76] ; [13.76 10.24],0
s1,1,0.415466,0.663105,[ 2 50] ; [ 2 22],[ 2.73684211 49.26315789] ; [ 1.26315789 22.73684211],0
p6,1,0.47048,0.520847,[10 40] ; [ 3 20],[ 8.90410959 41.09589041] ; [ 4.09589041 18.90410959],0
p4,1,0.492348,0.47139,[19 32] ; [ 7 17],[17.68 33.32] ; [ 8.32 15.68],0
d3,1,0.510555,0.432929,[27 23] ; [11 13],[25.67567568 24.32432432] ; [12.32432432 11.67567568],0
n3,1,0.517613,0.418647,[10  9] ; [4 6],[9.17241379 9.82758621] ; [4.82758621 5.17241379],0
a6,1,0.621625,0.24359,[25 27] ; [13 11],[26. 26.] ; [12. 12.],0
v3,1,0.637983,0.22139,[11 41] ; [ 6 17],[11.78666667 40.21333333] ; [ 5.21333333 17.78666667],0
a7,1,0.677484,0.172972,[26 25] ; [11 13],[25.16 25.84] ; [11.84 12.16],0
s3,1,0.715914,0.132442,[20 31] ; [ 8 15],[19.2972973 31.7027027] ; [ 8.7027027 14.2972973],0
p3,1,0.718216,0.130208,[17 34] ; [ 7 17],[16.32 34.68] ; [ 7.68 16.32],0
a5,1,0.754929,0.097436,[24 28] ; [12 12],[24.63157895 27.36842105] ; [11.36842105 12.63157895],0
b3,1,0.821963,0.050634,[10 13] ; [8 9],[10.35 12.65] ; [7.65 9.35],0
b2,1,0.821963,0.050634,[10 13] ; [8 9],[10.35 12.65] ; [7.65 9.35],0
a4,1,0.846757,0.037349,[17 35] ; [ 7 16],[16.64 35.36] ; [ 7.36 15.64],0
a2,1,0.904013,0.014543,[ 6 46] ; [ 3 21],[ 6.15789474 45.84210526] ; [ 2.84210526 21.15789474],0
d2,1,0.924703,0.008932,[22 30] ; [10 13],[22.18666667 29.81333333] ; [ 9.81333333 13.18666667],0
a3,1,0.936859,0.006276,[25 26] ; [12 12],[25.16 25.84] ; [11.84 12.16],0
d1,1,0.955909,0.003057,[17 35] ; [ 8 16],[17.10526316 34.89473684] ; [ 7.89473684 16.10526316],0
b1,1,0.958041,0.002768,[30 22] ; [14 10],[30.10526316 21.89473684] ; [13.89473684 10.10526316],0
