Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,43.648633,[ 7 32] ; [60 13],[23.33035714 15.66964286] ; [43.66964286 29.33035714],1
r3,1,1e-06,24.232619,[17 22] ; [63  9],[28.10810811 10.89189189] ; [51.89189189 20.10810811],1
v4,1,0.000582,11.832377,[22 17] ; [61 10],[29.42727273  9.57272727] ; [53.57272727 17.42727273],1
r2,1,0.001031,10.771936,[24 13] ; [66  7],[30.27272727  6.72727273] ; [59.72727273 13.27272727],0
p1,1,0.005183,7.814522,[ 7 32] ; [ 2 70],[ 3.16216216 35.83783784] ; [ 5.83783784 66.16216216],0
d4,1,0.007763,7.08735,[22 17] ; [57 14],[28.00909091 10.99090909] ; [50.99090909 20.00909091],0
u2,1,0.011939,6.319892,[ 7 12] ; [16  5],[10.925  8.075] ; [12.075  8.925],0
b5,1,0.015874,5.816723,[17 22] ; [49 24],[22.98214286 16.01785714] ; [43.01785714 29.98214286],0
s6,1,0.025963,4.958456,[ 9 30] ; [32 40],[14.40540541 24.59459459] ; [26.59459459 45.40540541],0
s3,1,0.028107,4.821504,[13 25] ; [41 32],[18.48648649 19.51351351] ; [35.51351351 37.48648649],0
a3,1,0.040539,4.195196,[20 19] ; [51 21],[24.94594595 14.05405405] ; [46.05405405 25.94594595],0
u3,1,0.040581,4.193415,[ 6 13] ; [14  8],[9.26829268 9.73170732] ; [10.73170732 11.26829268],0
b3,1,0.040855,4.182032,[10 12] ; [ 7 28],[ 6.56140351 15.43859649] ; [10.43859649 24.56140351],0
b2,1,0.040855,4.182032,[10 12] ; [ 7 28],[ 6.56140351 15.43859649] ; [10.43859649 24.56140351],0
d5,1,0.051431,3.794188,[21 18] ; [52 20],[25.64864865 13.35135135] ; [47.35135135 24.64864865],0
d3,1,0.053501,3.728213,[17 21] ; [46 26],[21.76363636 16.23636364] ; [41.23636364 30.76363636],0
s2,1,0.054069,3.710581,[ 8 31] ; [28 45],[12.53571429 26.46428571] ; [23.46428571 49.53571429],0
p8,1,0.055267,3.674012,[ 5 33] ; [21 50],[ 9.06422018 28.93577982] ; [16.93577982 54.06422018],0
p6,1,0.069692,3.290259,[ 8 30] ; [ 6 63],[ 4.97196262 33.02803738] ; [ 9.02803738 59.97196262],0
a5,1,0.071015,3.259404,[16 23] ; [43 30],[20.54464286 18.45535714] ; [38.45535714 34.54464286],0
s4,1,0.07373,3.197956,[10 29] ; [ 9 64],[ 6.61607143 32.38392857] ; [12.38392857 60.61607143],0
v1,1,0.075445,3.160391,[11 27] ; [33 38],[15.33944954 22.66055046] ; [28.66055046 42.33944954],0
d2,1,0.112197,2.522993,[19 20] ; [24 48],[15.10810811 23.89189189] ; [27.89189189 44.10810811],0
p11,1,0.13437,2.241273,[14 25] ; [37 36],[17.75892857 21.24107143] ; [33.24107143 39.75892857],0
s8,1,0.139579,2.182592,[ 5 34] ; [18 55],[ 8.00892857 30.99107143] ; [14.99107143 58.00892857],0
a8,1,0.154213,2.030075,[ 2 36] ; [10 60],[ 4.22222222 33.77777778] ; [ 7.77777778 62.22222222],0
a1,1,0.173352,1.853717,[ 5 34] ; [ 4 69],[ 3.13392857 35.86607143] ; [ 5.86607143 67.13392857],0
p2,1,0.19676,1.666264,[18 21] ; [43 30],[21.24107143 17.75892857] ; [39.75892857 33.24107143],0
v2,1,0.222518,1.488061,[11 27] ; [27 39],[13.88461538 24.11538462] ; [24.11538462 41.88461538],0
a6,1,0.237895,1.393024,[21 18] ; [47 25],[23.89189189 15.10810811] ; [44.10810811 27.89189189],0
n5,1,0.240206,1.379386,[20 19] ; [29 44],[17.0625 21.9375] ; [31.9375 41.0625],0
b4,1,0.240206,1.379386,[19 20] ; [44 29],[21.9375 17.0625] ; [41.0625 31.9375],0
a2,1,0.260803,1.264489,[ 3 36] ; [11 62],[ 4.875 34.125] ; [ 9.125 63.875],0
s7,1,0.269636,1.218598,[ 8 29] ; [21 45],[10.41747573 26.58252427] ; [18.58252427 47.41747573],0
a7,1,0.313755,1.014803,[23 16] ; [50 23],[25.41964286 13.58035714] ; [47.58035714 25.41964286],0
p7,1,0.336765,0.922708,[10 27] ; [25 44],[12.21698113 24.78301887] ; [22.78301887 46.21698113],0
d1,1,0.345796,0.888824,[13 26] ; [31 42],[15.32142857 23.67857143] ; [28.67857143 44.32142857],0
a4,1,0.349748,0.87437,[11 28] ; [27 46],[13.23214286 25.76785714] ; [24.76785714 48.23214286],0
v3,1,0.357185,0.847767,[ 7 32] ; [17 49],[ 8.91428571 30.08571429] ; [15.08571429 50.91428571],0
n1,1,0.37841,0.775862,[ 4 11] ; [12 18],[5.33333333 9.66666667] ; [10.66666667 19.33333333],0
n4,1,0.383293,0.760114,[18 21] ; [40 33],[20.19642857 18.80357143] ; [37.80357143 35.19642857],0
n2,1,0.48573,0.48597,[9 7] ; [20 10],[10.08695652  5.91304348] ; [18.91304348 11.08695652],0
b1,1,0.634853,0.225537,[20 19] ; [34 39],[18.80357143 20.19642857] ; [35.19642857 37.80357143],0
p10,1,0.703058,0.145311,[17 21] ; [34 36],[17.94444444 20.05555556] ; [33.05555556 36.94444444],0
s1,1,0.731221,0.117993,[ 2 36] ; [ 5 67],[ 2.41818182 35.58181818] ; [ 4.58181818 67.41818182],0
n3,1,0.772022,0.083944,[9 7] ; [17 11],[9.45454545 6.54545455] ; [16.54545455 11.45454545],0
p3,1,0.916325,0.011038,[ 8 30] ; [16 57],[ 8.21621622 29.78378378] ; [15.78378378 57.21621622],0
u1,1,0.937313,0.006185,[ 2 37] ; [ 4 69],[ 2.08928571 36.91071429] ; [ 3.91071429 69.08928571],0
p9,1,0.964062,0.00203,[21 17] ; [39 31],[21.11111111 16.88888889] ; [38.88888889 31.11111111],0
s5,1,0.970748,0.001345,[ 6 31] ; [11 58],[ 5.93396226 31.06603774] ; [11.06603774 57.93396226],0
