Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,69.473913,[ 31 121] ; [59 17],[60. 92.] ; [30. 46.],1
s6,1,1e-06,23.960719,[70 80] ; [62 15],[87.2246696 62.7753304] ; [44.7753304 32.2246696],1
s8,1,0.008333,6.960452,[ 28 126] ; [26 51],[ 36. 118.] ; [18. 59.],0
d4,1,0.01363,6.085484,[117  37] ; [69  8],[124.  30.] ; [62. 15.],0
s5,1,0.021998,5.245914,[ 29 120] ; [25 50],[ 35.91964286 113.08035714] ; [18.08035714 56.91964286],0
p12,1,0.023471,5.133333,[  6 148] ; [ 9 68],[ 10. 144.] ; [ 5. 72.],0
p8,1,0.044457,4.03912,[101  50] ; [41 36],[94.04385965 56.95614035] ; [47.95614035 29.04385965],0
a7,1,0.072195,3.232389,[111  43] ; [63 13],[116.50434783  37.49565217] ; [57.49565217 18.50434783],0
p1,1,0.109884,2.555887,[ 18 135] ; [ 4 73],[ 14.63478261 138.36521739] ; [ 7.36521739 69.63478261],0
n4,1,0.133086,2.256129,[120  34] ; [53 24],[115.33333333  38.66666667] ; [57.66666667 19.33333333],0
r2,1,0.144986,2.124224,[141  11] ; [66 10],[138.  14.] ; [69.  7.],0
n6,1,0.180218,1.795828,[128  25] ; [58 18],[124.27074236  28.72925764] ; [61.72925764 14.27074236],0
a2,1,0.188566,1.728785,[ 25 129] ; [18 59],[ 28.66666667 125.33333333] ; [14.33333333 62.66666667],0
s1,1,0.2059,1.600024,[  7 146] ; [ 1 75],[  5.34497817 147.65502183] ; [ 2.65502183 73.34497817],0
d1,1,0.218268,1.515724,[87 67] ; [50 27],[91.33333333 62.66666667] ; [45.66666667 31.33333333],0
s4,1,0.240356,1.378506,[ 18 134] ; [13 61],[ 20.84955752 131.15044248] ; [10.15044248 63.84955752],0
r1,1,0.245735,1.347389,[122  32] ; [55 21],[118.51304348  35.48695652] ; [58.48695652 17.51304348],0
b5,1,0.25728,1.283333,[86 68] ; [49 28],[90. 64.] ; [45. 32.],0
