Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,71.721843,[ 2 31] ; [109  22],[22.33536585 10.66463415] ; [88.66463415 42.33536585],1
v4,1,0.0,37.400752,[14 19] ; [116  13],[26.48148148  6.51851852] ; [103.51851852  25.48148148],1
p11,1,1e-06,23.219719,[10 23] ; [98 33],[21.73170732 11.26829268] ; [86.26829268 44.73170732],1
r2,1,1e-05,19.608159,[19 13] ; [119  12],[27.09202454  4.90797546] ; [110.90797546  20.09202454],1
p9,1,3.6e-05,17.067377,[10 20] ; [95 35],[19.6875 10.3125] ; [85.3125 44.6875],1
r1,1,8.9e-05,15.360768,[11 22] ; [92 39],[20.72560976 12.27439024] ; [82.27439024 48.72560976],1
v2,1,0.000262,13.325325,[ 3 29] ; [55 69],[11.8974359 20.1025641] ; [46.1025641 77.8974359],1
s6,1,0.00043,12.395501,[ 8 25] ; [75 53],[17.01242236 15.98757764] ; [65.98757764 62.01242236],1
p10,1,0.000693,11.507891,[10 22] ; [83 46],[18.48447205 13.51552795] ; [74.51552795 54.48447205],1
u3,1,0.001576,9.988112,[ 1 14] ; [21 18],[6.11111111 8.88888889] ; [15.88888889 23.11111111],0
n6,1,0.002032,9.520001,[16 17] ; [98 31],[23.22222222  9.77777778] ; [90.77777778 38.22222222],0
d5,1,0.002069,9.487109,[14 19] ; [93 38],[21.5304878 11.4695122] ; [85.4695122 45.5304878],0
s8,1,0.002606,9.064551,[ 3 30] ; [47 83],[10.12269939 22.87730061] ; [39.87730061 90.12269939],0
d4,1,0.003424,8.566729,[15 18] ; [94 36],[22.06748466 10.93251534] ; [86.93251534 43.06748466],0
n2,1,0.004721,7.983456,[ 9 10] ; [40  9],[13.69117647  5.30882353] ; [35.30882353 13.69117647],0
s7,1,0.005024,7.87081,[ 5 24] ; [57 68],[11.67532468 17.32467532] ; [50.32467532 74.67532468],0
v1,1,0.010122,6.613316,[ 8 25] ; [62 64],[14.52830189 18.47169811] ; [55.47169811 70.52830189],0
s2,1,0.01051,6.546319,[ 7 26] ; [59 70],[13.44444444 19.55555556] ; [52.55555556 76.44444444],0
p4,1,0.014015,6.036191,[ 5 28] ; [49 81],[10.93251534 22.06748466] ; [43.06748466 86.93251534],0
n3,1,0.019016,5.5,[ 8 10] ; [36 12],[12.  6.] ; [32. 16.],0
a4,1,0.020268,5.388648,[ 8 24] ; [62 68],[13.82716049 18.17283951] ; [56.17283951 73.82716049],0
p7,1,0.020972,5.329098,[ 7 25] ; [57 72],[12.72049689 19.27950311] ; [51.27950311 77.72049689],0
s3,1,0.022006,5.245339,[10 22] ; [70 60],[15.80246914 16.19753086] ; [64.19753086 65.80246914],0
d1,1,0.027848,4.837483,[ 7 26] ; [55 76],[12.47560976 20.52439024] ; [49.52439024 81.47560976],0
p2,1,0.046235,3.973,[14 18] ; [82 48],[18.96296296 13.03703704] ; [77.03703704 52.96296296],0
p6,1,0.063227,3.450645,[ 2 30] ; [ 26 103],[ 5.56521739 26.43478261] ; [ 22.43478261 106.56521739],0
u2,1,0.066503,3.367293,[ 3 12] ; [18 20],[5.94339623 9.05660377] ; [15.05660377 22.94339623],0
s5,1,0.068631,3.315455,[ 5 28] ; [38 84],[ 9.15483871 23.84516129] ; [33.84516129 88.15483871],0
a5,1,0.073407,3.205151,[15 18] ; [82 49],[19.51829268 13.48170732] ; [77.48170732 53.51829268],0
a3,1,0.0756,3.157041,[18 15] ; [92 38],[22.26993865 10.73006135] ; [87.73006135 42.26993865],0
b5,1,0.109679,2.558838,[13 20] ; [72 59],[17.10365854 15.89634146] ; [67.89634146 63.10365854],0
b1,1,0.128352,2.312327,[20 13] ; [60 71],[16.09756098 16.90243902] ; [63.90243902 67.09756098],0
v3,1,0.142761,2.147946,[ 6 27] ; [38 84],[ 9.36774194 23.63225806] ; [34.63225806 87.36774194],0
p3,1,0.160103,1.973249,[ 6 26] ; [41 90],[ 9.22699387 22.77300613] ; [37.77300613 93.22699387],0
p1,1,0.164198,1.935128,[ 4 29] ; [  7 124],[ 2.21341463 30.78658537] ; [  8.78658537 122.21341463],0
n5,1,0.205428,1.60336,[26  7] ; [87 42],[23.01851852  9.98148148] ; [89.98148148 39.01851852],0
