Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.024737,5.042211,[ 4 11] ; [13  7],[7.28571429 7.71428571] ; [ 9.71428571 10.28571429],0
a3,1,0.047527,3.926617,[5 9] ; [14  6],[7.82352941 6.17647059] ; [11.17647059  8.82352941],0
d1,1,0.083953,2.986667,[ 2 13] ; [ 8 12],[ 4.28571429 10.71428571] ; [ 5.71428571 14.28571429],0
s6,1,0.087669,2.916667,[ 5 10] ; [ 2 18],[ 3. 12.] ; [ 4. 16.],0
b4,1,0.093695,2.809722,[11  4] ; [ 9 11],[8.57142857 6.42857143] ; [11.42857143  8.57142857],0
v4,1,0.093695,2.809722,[ 4 11] ; [11  9],[6.42857143 8.57142857] ; [ 8.57142857 11.42857143],0
d5,1,0.11827,2.440087,[ 5 10] ; [12  8],[7.28571429 7.71428571] ; [ 9.71428571 10.28571429],0
b2,1,0.141326,2.163462,[3 9] ; [7 6],[4.8 7.2] ; [5.2 7.8],0
b3,1,0.141326,2.163462,[3 9] ; [7 6],[4.8 7.2] ; [5.2 7.8],0
b5,1,0.141763,2.158717,[9 6] ; [ 7 13],[6.85714286 8.14285714] ; [ 9.14285714 10.85714286],0
d3,1,0.163187,1.944444,[ 4 11] ; [10 10],[6. 9.] ; [ 8. 12.],0
u2,1,0.182422,1.777778,[5 5] ; [1 5],[3.75 6.25] ; [2.25 3.75],0
p7,1,0.194924,1.68,[6 9] ; [ 4 16],[ 4.28571429 10.71428571] ; [ 5.71428571 14.28571429],0
n5,1,0.194924,1.68,[9 6] ; [16  4],[10.71428571  4.28571429] ; [14.28571429  5.71428571],0
d2,1,0.260474,1.266236,[ 5 10] ; [10  9],[6.61764706 8.38235294] ; [ 8.38235294 10.61764706],0
p10,1,0.264616,1.244444,[ 1 14] ; [ 4 16],[ 2.14285714 12.85714286] ; [ 2.85714286 17.14285714],0
r1,1,0.266636,1.233974,[ 4 11] ; [ 9 11],[5.57142857 9.42857143] ; [ 7.42857143 12.57142857],0
n2,1,0.277291,1.180317,[2 5] ; [8 7],[3.18181818 3.81818182] ; [6.81818182 8.18181818],0
n1,1,0.277291,1.180317,[2 5] ; [8 7],[3.18181818 3.81818182] ; [6.81818182 8.18181818],0
p8,1,0.29751,1.08532,[ 1 13] ; [ 4 16],[ 2.05882353 11.94117647] ; [ 2.94117647 17.05882353],0
n4,1,0.312563,1.019814,[8 7] ; [14  6],[9.42857143 5.57142857] ; [12.57142857  7.42857143],0
p2,1,0.371776,0.797721,[ 5 10] ; [ 4 16],[ 3.85714286 11.14285714] ; [ 5.14285714 14.85714286],0
v3,1,0.393153,0.729167,[ 2 13] ; [ 5 15],[ 3. 12.] ; [ 4. 16.],0
a7,1,0.485667,0.486111,[ 5 10] ; [ 9 11],[6. 9.] ; [ 8. 12.],0
n3,1,0.536632,0.381818,[4 3] ; [6 8],[3.33333333 3.66666667] ; [6.66666667 7.33333333],0
u3,1,0.550985,0.355556,[2 8] ; [2 4],[2.5 7.5] ; [1.5 4.5],0
s3,1,0.577155,0.310857,[ 3 11] ; [ 6 14],[ 3.70588235 10.29411765] ; [ 5.29411765 14.70588235],0
a4,1,0.601247,0.273119,[ 5 10] ; [ 8 11],[5.73529412 9.26470588] ; [ 7.26470588 11.73529412],0
p3,1,0.604542,0.268199,[ 2 13] ; [ 4 16],[ 2.57142857 12.42857143] ; [ 3.42857143 16.57142857],0
a1,1,0.604542,0.268199,[ 2 13] ; [ 4 16],[ 2.57142857 12.42857143] ; [ 3.42857143 16.57142857],0
s7,1,0.618402,0.24812,[ 2 12] ; [ 4 15],[ 2.54545455 11.45454545] ; [ 3.45454545 15.54545455],0
s4,1,0.642067,0.216049,[ 4 11] ; [ 4 16],[ 3.42857143 11.57142857] ; [ 4.57142857 15.42857143],0
n6,1,0.667451,0.184598,[6 9] ; [ 9 10],[6.61764706 8.38235294] ; [ 8.38235294 10.61764706],0
v1,1,0.697713,0.150862,[ 3 12] ; [ 3 17],[ 2.57142857 12.42857143] ; [ 3.42857143 16.57142857],0
s2,1,0.697713,0.150862,[ 3 12] ; [ 3 17],[ 2.57142857 12.42857143] ; [ 3.42857143 16.57142857],0
v2,1,0.697713,0.150862,[ 3 12] ; [ 3 17],[ 2.57142857 12.42857143] ; [ 3.42857143 16.57142857],0
s5,1,0.759046,0.094086,[ 2 13] ; [ 2 18],[ 1.71428571 13.28571429] ; [ 2.28571429 17.71428571],0
p1,1,0.759046,0.094086,[ 2 13] ; [ 2 18],[ 1.71428571 13.28571429] ; [ 2.28571429 17.71428571],0
a2,1,0.759046,0.094086,[ 2 13] ; [ 2 18],[ 1.71428571 13.28571429] ; [ 2.28571429 17.71428571],0
b1,1,0.76738,0.0875,[9 6] ; [11  9],[8.57142857 6.42857143] ; [11.42857143  8.57142857],0
p6,1,0.772525,0.083564,[ 1 13] ; [ 2 18],[ 1.23529412 12.76470588] ; [ 1.76470588 18.23529412],0
d4,1,0.84519,0.038126,[7 8] ; [10 10],[7.28571429 7.71428571] ; [ 9.71428571 10.28571429],0
a6,1,0.84519,0.038126,[7 8] ; [10 10],[7.28571429 7.71428571] ; [ 9.71428571 10.28571429],0
s1,1,0.8891,0.019444,[ 2 13] ; [ 3 17],[ 2.14285714 12.85714286] ; [ 2.85714286 17.14285714],0
p4,1,1.0,0.0,[ 3 12] ; [ 4 16],[ 3. 12.] ; [ 4. 16.],0
p11,1,1.0,0.0,[ 3 12] ; [ 4 16],[ 3. 12.] ; [ 4. 16.],0
