Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.002579,9.083851,[ 6 17] ; [12  4],[10.61538462 12.38461538] ; [7.38461538 8.61538462],0
a6,1,0.016623,5.73572,[ 5 18] ; [10  7],[ 8.625 14.375] ; [ 6.375 10.625],0
p9,1,0.024373,5.067866,[ 7 15] ; [11  5],[10.42105263 11.57894737] ; [7.57894737 8.42105263],0
v1,1,0.037617,4.322251,[ 2 21] ; [ 6 11],[ 4.6 18.4] ; [ 3.4 13.6],0
b3,1,0.041227,4.166667,[ 3 12] ; [6 4],[5.4 9.6] ; [3.6 6.4],0
b2,1,0.041227,4.166667,[ 3 12] ; [6 4],[5.4 9.6] ; [3.6 6.4],0
s7,1,0.064527,3.417027,[ 2 20] ; [ 5 10],[ 4.16216216 17.83783784] ; [ 2.83783784 12.16216216],0
r4,1,0.08827,2.905637,[ 2 21] ; [ 5 12],[ 4.025 18.975] ; [ 2.975 14.025],0
a4,1,0.08827,2.905637,[ 2 21] ; [ 5 12],[ 4.025 18.975] ; [ 2.975 14.025],0
p10,1,0.091703,2.844226,[ 7 15] ; [10  7],[ 9.58974359 12.41025641] ; [7.41025641 9.58974359],0
d1,1,0.095726,2.775349,[ 3 20] ; [ 6 11],[ 5.175 17.825] ; [ 3.825 13.175],0
a7,1,0.109769,2.557545,[ 9 14] ; [11  6],[11.5 11.5] ; [8.5 8.5],0
d5,1,0.130826,2.282673,[ 8 15] ; [10  7],[10.35 12.65] ; [7.65 9.35],0
r3,1,0.149517,2.077174,[12 11] ; [12  4],[14.15384615  8.84615385] ; [9.84615385 6.15384615],0
d4,1,0.149979,2.072462,[11 12] ; [12  5],[13.225  9.775] ; [9.775 7.225],0
s1,1,0.165746,1.921,[ 1 22] ; [ 3 14],[ 2.3 20.7] ; [ 1.7 15.3],0
v3,1,0.165746,1.921,[ 1 22] ; [ 3 14],[ 2.3 20.7] ; [ 1.7 15.3],0
p2,1,0.18384,1.766308,[13 10] ; [ 6 11],[10.925 12.075] ; [8.075 8.925],0
d2,1,0.184797,1.758616,[ 5 18] ; [ 7 10],[ 6.9 16.1] ; [ 5.1 11.9],0
u2,1,0.193472,1.69098,[8 9] ; [4 1],[9.27272727 7.72727273] ; [2.72727273 2.27272727],0
s8,1,0.194,1.686977,[ 2 21] ; [ 4 13],[ 3.45 19.55] ; [ 2.55 14.45],0
a8,1,0.239087,1.385971,[ 2 19] ; [ 4 13],[ 3.31578947 17.68421053] ; [ 2.68421053 14.31578947],0
s2,1,0.276588,1.183778,[ 4 19] ; [ 1 16],[ 2.875 20.125] ; [ 2.125 14.875],0
n3,1,0.310596,1.028139,[8 4] ; [3 4],[6.94736842 5.05263158] ; [4.05263158 2.94736842],0
r1,1,0.313812,1.014566,[ 6 17] ; [ 7 10],[ 7.475 15.525] ; [ 5.525 11.475],0
v4,1,0.337287,0.920716,[13 10] ; [ 7 10],[11.5 11.5] ; [8.5 8.5],0
b4,1,0.342558,0.900833,[18  5] ; [11  6],[16.675  6.325] ; [12.325  4.675],0
s3,1,0.376362,0.782551,[ 5 17] ; [ 2 15],[ 3.94871795 18.05128205] ; [ 3.05128205 13.94871795],0
a1,1,0.378645,0.775097,[ 1 22] ; [ 2 15],[ 1.725 21.275] ; [ 1.275 15.725],0
b5,1,0.385429,0.753313,[14  9] ; [8 9],[12.65 10.35] ; [9.35 7.65],0
n5,1,0.433357,0.613811,[15  8] ; [9 8],[13.8  9.2] ; [10.2  6.8],0
p11,1,0.491118,0.474075,[11 12] ; [10  7],[12.075 10.925] ; [8.925 8.075],0
n1,1,0.539222,0.376984,[ 2 10] ; [2 5],[2.52631579 9.47368421] ; [1.47368421 5.52631579],0
v2,1,0.568403,0.325361,[ 7 15] ; [ 4 13],[ 6.20512821 15.79487179] ; [ 4.79487179 12.20512821],0
n6,1,0.604667,0.268013,[12 11] ; [7 9],[11.20512821 11.79487179] ; [7.79487179 8.20512821],0
d3,1,0.679665,0.170503,[ 8 15] ; [ 7 10],[ 8.625 14.375] ; [ 6.375 10.625],0
s5,1,0.738422,0.111518,[ 2 21] ; [ 1 16],[ 1.725 21.275] ; [ 1.275 15.725],0
p1,1,0.749085,0.102302,[ 2 21] ; [ 2 15],[ 2.3 20.7] ; [ 1.7 15.3],0
n2,1,0.763573,0.090476,[6 6] ; [3 4],[5.68421053 6.31578947] ; [3.31578947 3.68421053],0
b1,1,0.884255,0.021193,[13 10] ; [10  7],[13.225  9.775] ; [9.775 7.225],0
p8,1,0.89337,0.017967,[ 5 18] ; [ 4 13],[ 5.175 17.825] ; [ 3.825 13.175],0
u3,1,0.904552,0.014379,[ 3 14] ; [1 4],[ 3.09090909 13.90909091] ; [0.90909091 4.09090909],0
s6,1,0.944356,0.004872,[ 7 16] ; [ 5 12],[ 6.9 16.1] ; [ 5.1 11.9],0
p7,1,0.944356,0.004872,[ 7 16] ; [ 5 12],[ 6.9 16.1] ; [ 5.1 11.9],0
n4,1,0.961687,0.002308,[12 11] ; [9 8],[12.075 10.925] ; [8.925 8.075],0
