Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.00039,12.580755,[ 8 23] ; [32 16],[15.69620253 15.30379747] ; [24.30379747 23.69620253],1
v4,1,0.002026,9.525602,[17 13] ; [42  6],[22.69230769  7.30769231] ; [36.30769231 11.69230769],0
p9,1,0.008541,6.916296,[ 8 21] ; [27 19],[13.53333333 15.46666667] ; [21.46666667 24.53333333],0
u2,1,0.018242,5.572755,[9 8] ; [ 3 16],[ 5.66666667 11.33333333] ; [ 6.33333333 12.66666667],0
s6,1,0.023368,5.140967,[ 9 21] ; [26 20],[13.81578947 16.18421053] ; [21.18421053 24.81578947],0
s8,1,0.023384,5.13973,[ 4 27] ; [17 30],[ 8.34615385 22.65384615] ; [12.65384615 34.34615385],0
n5,1,0.044724,4.029023,[15 16] ; [34 14],[19.2278481 11.7721519] ; [29.7721519 18.2278481],0
s5,1,0.051485,3.792433,[ 4 25] ; [16 31],[ 7.63157895 21.36842105] ; [12.36842105 34.63157895],0
p8,1,0.076083,3.146648,[ 6 25] ; [18 29],[ 9.53846154 21.46153846] ; [14.46153846 32.53846154],0
r4,1,0.088679,2.8982,[14 17] ; [31 17],[17.65822785 13.34177215] ; [27.34177215 20.65822785],0
r3,1,0.098092,2.736287,[17 14] ; [35 13],[20.40506329 10.59493671] ; [31.59493671 16.40506329],0
p2,1,0.126832,2.330857,[13 18] ; [28 19],[16.29487179 14.70512821] ; [24.70512821 22.29487179],0
p10,1,0.145253,2.121411,[ 9 20] ; [23 25],[12.05194805 16.94805195] ; [19.94805195 28.05194805],0
n4,1,0.146726,2.105959,[17 14] ; [34 14],[20.01265823 10.98734177] ; [30.98734177 17.01265823],0
a3,1,0.150615,2.066011,[14 17] ; [29 18],[17.08974359 13.91025641] ; [25.91025641 21.08974359],0
d5,1,0.154083,2.031358,[15 16] ; [31 17],[18.05063291 12.94936709] ; [27.94936709 20.05063291],0
a5,1,0.179392,1.802654,[12 19] ; [26 22],[14.91139241 16.08860759] ; [23.08860759 24.91139241],0
u3,1,0.195815,1.673318,[8 9] ; [ 5 14],[ 6.13888889 10.86111111] ; [ 6.86111111 12.13888889],0
p7,1,0.20839,1.582576,[11 20] ; [23 23],[13.68831169 17.31168831] ; [20.31168831 25.68831169],0
s4,1,0.214267,1.54236,[ 8 23] ; [ 7 41],[ 5.88607595 25.11392405] ; [ 9.11392405 38.88607595],0
b4,1,0.21607,1.530281,[15 16] ; [30 18],[17.65822785 13.34177215] ; [27.34177215 20.65822785],0
