Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,131.26361,[ 53 193] ; [201  80],[118.5654649 127.4345351] ; [135.4345351 145.5654649],1
s2,1,0.0,98.914667,[ 75 171] ; [208  74],[131.85227273 114.14772727] ; [151.14772727 130.85227273],1
s3,1,0.0,70.94626,[ 96 147] ; [213  68],[143.29580153  99.70419847] ; [165.70419847 115.29580153],1
s6,1,0.0,55.15498,[130 111] ; [234  45],[168.7  72.3] ; [195.3  83.7],1
s5,1,0.0,29.578239,[ 62 180] ; [134 140],[ 91.92248062 150.07751938] ; [104.07751938 169.92248062],1
a3,1,3e-06,21.856236,[157  89] ; [230  51],[180.64895636  65.35104364] ; [206.35104364  74.64895636],1
p10,1,3.1e-05,17.351727,[190  55] ; [254  26],[207.2  37.8] ; [236.8  43.2],1
p6,1,5.1e-05,16.408538,[ 94 149] ; [158 122],[117.08604207 125.91395793] ; [134.91395793 145.08604207],1
p5,1,6.7e-05,15.885247,[ 18 229] ; [ 54 227],[ 33.68181818 213.31818182] ; [ 38.31818182 242.68181818],1
p3,1,0.000109,14.97613,[125 121] ; [190  92],[146.76136364  99.23863636] ; [168.23863636 113.76136364],1
v3,1,0.000182,14.004496,[ 80 159] ; [137 138],[100.90077821 138.09922179] ; [116.09922179 158.90077821],1
p4,1,0.000193,13.897273,[148  97] ; [213  69],[167.82732448  77.17267552] ; [193.17267552  88.82732448],1
p9,1,0.000221,13.647572,[197  48] ; [258  24],[211.52751423  33.47248577] ; [243.47248577  38.52751423],1
n4,1,0.000268,13.283279,[177  70] ; [238  43],[194.13825758  52.86174242] ; [220.86174242  60.13825758],1
n5,1,0.000323,12.92947,[171  76] ; [232  49],[188.52462121  58.47537879] ; [214.47537879  66.52462121],1
u1,1,0.000999,10.82917,[ 31 216] ; [ 67 216],[ 45.67169811 201.32830189] ; [ 52.32830189 230.67169811],1
a5,1,0.003566,8.49245,[168  79] ; [224  59],[182.68679245  64.31320755] ; [209.31320755  73.68679245],0
p12,1,0.007295,7.198755,[ 12 234] ; [ 32 250],[ 20.5 225.5] ; [ 23.5 258.5],0
s4,1,0.009151,6.793176,[ 32 210] ; [ 62 220],[ 43.41221374 198.58778626] ; [ 50.58778626 231.41221374],0
u2,1,0.011458,6.392936,[40 47] ; [36 17],[47.22857143 39.77142857] ; [28.77142857 24.22857143],0
u4,1,0.011723,6.352285,[  1 246] ; [ 10 273],[  5.12641509 241.87358491] ; [  5.87358491 277.12641509],0
a8,1,0.013921,6.048093,[ 26 199] ; [ 51 207],[ 35.86956522 189.13043478] ; [ 41.13043478 216.86956522],0
b3,1,0.01602,5.800637,[43 97] ; [ 86 111],[53.59050445 86.40949555] ; [ 75.40949555 121.59050445],0
b2,1,0.01602,5.800637,[43 97] ; [ 86 111],[53.59050445 86.40949555] ; [ 75.40949555 121.59050445],0
n6,1,0.017727,5.622887,[203  43] ; [251  29],[212.3269962  33.6730038] ; [241.6730038  38.3269962],0
b5,1,0.023496,5.131471,[155  92] ; [150 133],[142.14150943 104.85849057] ; [162.85849057 120.14150943],0
r1,1,0.025084,5.0181,[193  52] ; [243  39],[202.69449715  42.30550285] ; [233.30550285  48.69449715],0
u3,1,0.0272,4.878039,[43 45] ; [36 17],[49.30496454 38.69503546] ; [29.69503546 23.30496454],0
s1,1,0.037684,4.319249,[  3 240] ; [ 12 269],[  6.95610687 236.04389313] ; [  8.04389313 272.95610687],0
n1,1,0.038041,4.303184,[11 35] ; [24 31],[15.94059406 30.05940594] ; [19.05940594 35.94059406],0
d3,1,0.04916,3.869898,[164  81] ; [210  71],[174.20152091  70.79847909] ; [199.79847909  81.20152091],0
a1,1,0.060524,3.522971,[  9 238] ; [ 21 262],[ 13.98113208 233.01886792] ; [ 16.01886792 266.98113208],0
a2,1,0.082312,3.018644,[ 52 195] ; [ 78 205],[ 60.58490566 186.41509434] ; [ 69.41509434 213.58490566],0
v2,1,0.092937,2.822753,[131 105] ; [174 103],[140.31189084  95.68810916] ; [164.68810916 112.31189084],0
a4,1,0.093128,2.819462,[ 99 147] ; [134 148],[108.55681818 137.44318182] ; [124.44318182 157.55681818],0
n2,1,0.09334,2.815811,[34 13] ; [48  8],[37.41747573  9.58252427] ; [44.58252427 11.41747573],0
p11,1,0.101732,2.678185,[198  49] ; [242  41],[205.05660377  41.94339623] ; [234.94339623  48.05660377],0
r2,1,0.103109,2.656787,[231  14] ; [272   8],[234.73333333  10.26666667] ; [268.26666667  11.73333333],0
p1,1,0.106673,2.602825,[ 17 228] ; [ 31 251],[ 22.31499051 222.68500949] ; [ 25.68500949 256.31499051],0
d2,1,0.123559,2.371621,[110 137] ; [144 137],[118.8219697 128.1780303] ; [135.1780303 145.8219697],0
d4,1,0.142551,2.150204,[198  49] ; [238  42],[204.34914611  42.65085389] ; [231.65085389  48.34914611],0
d1,1,0.144982,2.124266,[140 107] ; [178 105],[148.2  98.8] ; [169.8 113.2],0
v1,1,0.148846,2.08404,[128 111] ; [167 112],[136.11003861 102.88996139] ; [158.88996139 120.11003861],0
n3,1,0.167243,1.907481,[39  8] ; [40 16],[36.04854369 10.95145631] ; [42.95145631 13.04854369],0
r3,1,0.178906,1.806685,[238   9] ; [278   5],[240.4754717   6.5245283] ; [275.5245283   7.4754717],0
p2,1,0.257496,1.282169,[218  27] ; [260  23],[221.79924242  23.20075758] ; [256.20075758  26.79924242],0
b4,1,0.294373,1.099511,[143 104] ; [151 132],[137.01509434 109.98490566] ; [156.98490566 126.01509434],0
p8,1,0.359013,0.841341,[158  85] ; [194  88],[162.92571429  80.07428571] ; [189.07428571  92.92571429],0
a7,1,0.373174,0.793069,[180  65] ; [198  85],[175.39772727  69.60227273] ; [202.60227273  80.39772727],0
r4,1,0.559183,0.341121,[230  17] ; [267  16],[231.62075472  15.37924528] ; [265.37924528  17.62075472],0
d5,1,0.642022,0.216108,[200  46] ; [232  48],[202.03802281  43.96197719] ; [229.96197719  50.03802281],0
b1,1,0.766955,0.08783,[100 147] ; [111 172],[ 98.33396226 148.66603774] ; [112.66603774 170.33396226],0
a6,1,0.942831,0.005143,[166  81] ; [189  91],[166.38519924  80.61480076] ; [188.61480076  91.38519924],0
