Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000428,12.406154,[42 58] ; [21  5],[50. 50.] ; [13. 13.],1
a8,1,0.001173,10.531915,[ 8 80] ; [ 8 14],[12.8 75.2] ; [ 3.2 18.8],0
s2,1,0.003114,8.73966,[28 70] ; [16 11],[34.496 63.504] ; [ 9.504 17.496],0
s7,1,0.006126,7.512815,[27 67] ; [15 11],[32.9 61.1] ; [ 9.1 16.9],0
s4,1,0.051177,3.802469,[11 88] ; [ 7 20],[14.14285714 84.85714286] ; [ 3.85714286 23.14285714],0
b4,1,0.060008,3.537155,[58 42] ; [21  6],[62.20472441 37.79527559] ; [16.79527559 10.20472441],0
s3,1,0.077594,3.1146,[45 53] ; [17  9],[49. 49.] ; [13. 13.],0
p5,1,0.077939,3.10736,[ 3 97] ; [ 3 24],[ 4.72440945 95.27559055] ; [ 1.27559055 25.72440945],0
n1,1,0.144584,2.128478,[11 26] ; [5 4],[12.86956522 24.13043478] ; [3.13043478 5.86956522],0
n2,1,0.160087,1.973402,[24 13] ; [8 1],[25.73913043 11.26086957] ; [6.26086957 2.73913043],0
v2,1,0.177221,1.820775,[42 56] ; [15 11],[45.0483871 52.9516129] ; [11.9516129 14.0483871],0
d2,1,0.180558,1.793028,[43 57] ; [15 11],[46.03174603 53.96825397] ; [11.96825397 14.03174603],0
n5,1,0.189859,1.718714,[51 49] ; [17  9],[53.96825397 46.03174603] ; [14.03174603 11.96825397],0
a6,1,0.21119,1.56325,[65 35] ; [14 13],[62.20472441 37.79527559] ; [16.79527559 10.20472441],0
n3,1,0.217089,1.523511,[26 12] ; [8 1],[27.4893617 10.5106383] ; [6.5106383 2.4893617],0
v3,1,0.231865,1.429382,[21 74] ; [ 9 18],[23.36065574 71.63934426] ; [ 6.63934426 20.36065574],0
p6,1,0.24112,1.374033,[29 68] ; [ 5 22],[26.59677419 70.40322581] ; [ 7.40322581 19.59677419],0
p9,1,0.258726,1.275561,[41 58] ; [13 11],[43.46341463 55.53658537] ; [10.53658537 13.46341463],0
d4,1,0.263129,1.25222,[69 30] ; [21  5],[71.28 27.72] ; [18.72  7.28],0
s8,1,0.272749,1.202869,[24 76] ; [ 9 17],[26.19047619 73.80952381] ; [ 6.80952381 19.19047619],0
p11,1,0.276547,1.18398,[55 45] ; [18  9],[57.48031496 42.51968504] ; [15.51968504 11.48031496],0
n6,1,0.286445,1.136254,[66 34] ; [20  6],[68.25396825 31.74603175] ; [17.74603175  8.25396825],0
n4,1,0.293659,1.102769,[62 38] ; [19  7],[64.28571429 35.71428571] ; [16.71428571  9.28571429],0
d3,1,0.316366,1.003911,[66 34] ; [15 12],[63.77952756 36.22047244] ; [17.22047244  9.77952756],0
a7,1,0.323372,0.97526,[68 32] ; [15 11],[65.87301587 34.12698413] ; [17.12698413  8.87301587],0
a2,1,0.358042,0.844748,[18 82] ; [ 7 20],[19.68503937 80.31496063] ; [ 5.31496063 21.68503937],0
r2,1,0.359641,0.839145,[86 14] ; [25  2],[87.4015748 12.5984252] ; [23.5984252  3.4015748],0
b1,1,0.405205,0.692826,[46 54] ; [10 17],[44.09448819 55.90551181] ; [11.90551181 15.09448819],0
v4,1,0.433738,0.612795,[91  8] ; [26  1],[91.92857143  7.07142857] ; [25.07142857  1.92857143],0
r3,1,0.445645,0.581706,[93  7] ; [23  3],[92.06349206  7.93650794] ; [23.93650794  2.06349206],0
a4,1,0.480728,0.497212,[37 63] ; [12 15],[38.58267717 61.41732283] ; [10.41732283 16.58267717],0
p7,1,0.490731,0.474923,[54 46] ; [16 10],[55.55555556 44.44444444] ; [14.44444444 11.55555556],0
