Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,55.85516,[37 60] ; [182  44],[65.76780186 31.23219814] ; [153.23219814  72.76780186],1
a6,1,0.0,43.954581,[49 48] ; [193  33],[72.6749226 24.3250774] ; [169.3250774  56.6749226],1
a2,1,2e-06,22.971458,[15 82] ; [ 98 129],[33.83024691 63.16975309] ; [ 79.16975309 147.83024691],1
u1,1,3e-06,22.127744,[ 7 90] ; [ 72 155],[23.65123457 73.34876543] ; [ 55.34876543 171.65123457],1
b5,1,5.4e-05,16.303391,[45 52] ; [159  68],[61.07407407 35.92592593] ; [142.92592593  84.07407407],1
d1,1,0.000765,11.324629,[48 49] ; [157  70],[61.37345679 35.62654321] ; [143.62654321  83.37345679],1
v2,1,0.000946,10.929534,[37 58] ; [128  88],[50.40192926 44.59807074] ; [114.59807074 101.40192926],1
r3,1,0.00262,9.055102,[82 15] ; [213  12],[88.86645963  8.13354037] ; [206.13354037  18.86645963],0
r4,1,0.004038,8.266642,[72 25] ; [198  29],[80.83333333 16.16666667] ; [189.16666667  37.83333333],0
p4,1,0.004234,8.180531,[33 64] ; [116 110],[44.74613003 52.25386997] ; [104.25386997 121.74613003],0
d4,1,0.010529,6.543149,[74 23] ; [198  28],[81.68421053 15.31578947] ; [190.31578947  35.68421053],0
b1,1,0.019244,5.479169,[49 48] ; [ 83 144],[39.51851852 57.48148148] ; [ 92.48148148 134.51851852],0
r1,1,0.02574,4.973432,[68 29] ; [183  42],[75.61180124 21.38819876] ; [175.38819876  49.61180124],0
b2,1,0.041352,4.161527,[36 34] ; [51 88],[29.13875598 40.86124402] ; [57.86124402 81.13875598],0
b3,1,0.041352,4.161527,[36 34] ; [51 88],[29.13875598 40.86124402] ; [57.86124402 81.13875598],0
u3,1,0.076179,3.144587,[5 9] ; [27 16],[7.85964912 6.14035088] ; [24.14035088 18.85964912],0
p9,1,0.082119,3.022458,[69 26] ; [183  42],[74.8125 20.1875] ; [177.1875  47.8125],0
p10,1,0.083853,2.988588,[64 32] ; [171  54],[70.28037383 25.71962617] ; [164.71962617  60.28037383],0
u2,1,0.09647,2.762951,[4 9] ; [24 18],[6.61818182 6.38181818] ; [21.38181818 20.61818182],0
d5,1,0.113361,2.506724,[80 17] ; [201  25],[84.3869969 12.6130031] ; [196.6130031  29.3869969],0
p6,1,0.117743,2.447089,[17 79] ; [ 58 167],[22.42990654 73.57009346] ; [ 52.57009346 172.42990654],0
v4,1,0.123803,2.368535,[83 13] ; [207  18],[86.72897196  9.27102804] ; [203.27102804  21.72897196],0
p11,1,0.148129,2.09141,[72 25] ; [150  77],[66.46296296 30.53703704] ; [155.53703704  71.46296296],0
n2,1,0.150079,2.071452,[33  9] ; [44 23],[29.66972477 12.33027523] ; [47.33027523 19.66972477],0
a1,1,0.181323,1.786748,[ 9 88] ; [ 12 215],[ 6.28703704 90.71296296] ; [ 14.71296296 212.28703704],0
s2,1,0.246995,1.340221,[44 52] ; [119 106],[48.74766355 47.25233645] ; [114.25233645 110.74766355],0
s1,1,0.286966,1.1338,[ 6 90] ; [  8 215],[ 4.21316614 91.78683386] ; [  9.78683386 213.21316614],0
p2,1,0.28721,1.132656,[63 32] ; [164  63],[66.97204969 28.02795031] ; [160.02795031  66.97204969],0
a8,1,0.293647,1.102825,[ 9 80] ; [ 30 175],[11.80612245 77.19387755] ; [ 27.19387755 177.80612245],0
s3,1,0.322767,0.977703,[49 48] ; [126  97],[53.046875 43.953125] ; [121.953125 101.046875],0
r2,1,0.328579,0.954489,[88  8] ; [209  12],[89.94321767  6.05678233] ; [207.05678233  13.94321767],0
a3,1,0.366344,0.816029,[83 14] ; [184  42],[80.18266254 16.81733746] ; [186.81733746  39.18266254],0
s7,1,0.37036,0.802455,[49 43] ; [103 113],[45.4025974 46.5974026] ; [106.5974026 109.4025974],0
p5,1,0.370557,0.801795,[ 6 89] ; [  9 216],[ 4.453125 90.546875] ; [ 10.546875 214.453125],0
p7,1,0.372352,0.7958,[36 60] ; [ 96 128],[39.6 56.4] ; [ 92.4 131.6],0
s5,1,0.377352,0.779312,[32 61] ; [ 64 154],[28.7073955 64.2926045] ; [ 67.2926045 150.7073955],0
n1,1,0.380506,0.769065,[18 23] ; [23 42],[15.85849057 25.14150943] ; [25.14150943 39.85849057],0
n3,1,0.382379,0.763041,[31  9] ; [46 20],[29.05660377 10.94339623] ; [47.94339623 18.05660377],0
n5,1,0.391427,0.734504,[71 25] ; [155  69],[67.8 28.2] ; [158.2  65.8],0
b4,1,0.419566,0.651529,[53 44] ; [135  92],[56.28395062 40.71604938] ; [131.71604938  95.28395062],0
s6,1,0.435063,0.609269,[57 38] ; [146  80],[60.07788162 34.92211838] ; [142.92211838  83.07788162],0
d2,1,0.453695,0.561404,[54 41] ; [138  87],[57. 38.] ; [135.  90.],0
v1,1,0.538322,0.378659,[46 47] ; [100 119],[43.51923077 49.48076923] ; [102.48076923 116.51923077],0
a4,1,0.681859,0.16804,[55 40] ; [137  90],[56.64596273 38.35403727] ; [135.35403727  91.64596273],0
n4,1,0.73847,0.111476,[74 22] ; [178  48],[75.13043478 20.86956522] ; [176.86956522  49.13043478],0
v3,1,0.807276,0.059507,[32 58] ; [ 74 143],[31.07491857 58.92508143] ; [ 74.92508143 142.07491857],0
s4,1,0.810198,0.057682,[16 80] ; [ 40 185],[16.74766355 79.25233645] ; [ 39.25233645 185.74766355],0
p12,1,0.8794,0.023022,[ 6 91] ; [ 13 213],[ 5.70588235 91.29411765] ; [ 13.29411765 212.70588235],0
p1,1,0.8794,0.023022,[ 6 91] ; [ 13 213],[ 5.70588235 91.29411765] ; [ 13.29411765 212.70588235],0
p3,1,0.903922,0.014571,[35 61] ; [ 84 142],[35.47826087 60.52173913] ; [ 83.52173913 142.47826087],0
n6,1,0.933101,0.007047,[74 21] ; [177  49],[74.2834891 20.7165109] ; [176.7165109  49.2834891],0
s8,1,0.987138,0.00026,[39 57] ; [ 92 135],[38.93498452 57.06501548] ; [ 92.06501548 134.93498452],0
