Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,23.819485,[15 23] ; [70 14],[26.47540984 11.52459016] ; [58.52459016 25.47540984],1
d3,1,0.000844,11.141488,[19 19] ; [67 17],[26.78688525 11.21311475] ; [59.21311475 24.78688525],1
a2,1,0.02081,5.342601,[ 4 34] ; [25 59],[ 9.03278689 28.96721311] ; [19.96721311 64.03278689],0
s4,1,0.025594,4.983232,[ 8 30] ; [ 6 78],[ 4.36065574 33.63934426] ; [ 9.63934426 74.36065574],0
u1,1,0.027735,4.844455,[ 3 35] ; [21 63],[ 7.47540984 30.52459016] ; [16.52459016 67.47540984],0
p7,1,0.037914,4.308894,[20 18] ; [59 23],[25.01666667 12.98333333] ; [53.98333333 28.01666667],0
v2,1,0.038294,4.291904,[15 23] ; [49 33],[20.26666667 17.73333333] ; [43.73333333 38.26666667],0
v4,1,0.070379,3.274163,[31  6] ; [79  5],[33.63636364  3.36363636] ; [76.36363636  7.63636364],0
u3,1,0.074247,3.186532,[2 4] ; [16  6],[3.85714286 2.14285714] ; [14.14285714  7.85714286],0
r4,1,0.096582,2.761098,[29  9] ; [74 10],[32.08196721  5.91803279] ; [70.91803279 13.08196721],0
b1,1,0.106504,2.605351,[18 20] ; [27 57],[14.01639344 23.98360656] ; [30.98360656 53.01639344],0
v1,1,0.116054,2.469776,[15 22] ; [46 36],[18.96638655 18.03361345] ; [42.03361345 39.96638655],0
b3,1,0.138886,2.190255,[14 11] ; [26 41],[10.86956522 14.13043478] ; [29.13043478 37.86956522],0
b2,1,0.138886,2.190255,[14 11] ; [26 41],[10.86956522 14.13043478] ; [29.13043478 37.86956522],0
p1,1,0.17908,1.805239,[ 5 33] ; [ 5 79],[ 3.1147541 34.8852459] ; [ 6.8852459 77.1147541],0
n4,1,0.205816,1.600616,[32  6] ; [62 22],[29.27868852  8.72131148] ; [64.72131148 19.27868852],0
r1,1,0.222537,1.487934,[27 11] ; [68 16],[29.59016393  8.40983607] ; [65.40983607 18.59016393],0
v3,1,0.223189,1.483751,[13 23] ; [40 43],[16.03361345 19.96638655] ; [36.96638655 46.03361345],0
a3,1,0.243464,1.360425,[32  6] ; [62 21],[29.52066116  8.47933884] ; [64.47933884 18.52066116],0
p8,1,0.278795,1.172954,[17 20] ; [47 36],[19.73333333 17.26666667] ; [44.26666667 38.73333333],0
s6,1,0.281076,1.161879,[21 17] ; [55 29],[23.67213115 14.32786885] ; [52.32786885 31.67213115],0
u2,1,0.290689,1.116427,[3 3] ; [16  6],[4.07142857 1.92857143] ; [14.92857143  7.07142857],0
n1,1,0.294859,1.097304,[7 5] ; [10 15],[5.51351351 6.48648649] ; [11.48648649 13.51351351],0
b4,1,0.315709,1.00664,[18 20] ; [48 36],[20.55737705 17.44262295] ; [45.44262295 38.55737705],0
n3,1,0.342953,0.899362,[8 3] ; [14 11],[6.72222222 4.27777778] ; [15.27777778  9.72222222],0
d4,1,0.35876,0.842229,[29  9] ; [70 14],[30.83606557  7.16393443] ; [68.16393443 15.83606557],0
d5,1,0.363957,0.824192,[28 10] ; [68 16],[29.90163934  8.09836066] ; [66.09836066 17.90163934],0
a8,1,0.367003,0.813788,[ 4 33] ; [12 57],[ 5.58490566 31.41509434] ; [10.41509434 58.58490566],0
p5,1,0.424835,0.636901,[ 5 33] ; [16 68],[ 6.54098361 31.45901639] ; [14.45901639 69.54098361],0
p2,1,0.453378,0.562193,[29  9] ; [69 15],[30.52459016  7.47540984] ; [67.47540984 16.52459016],0
p6,1,0.495229,0.465147,[13 25] ; [33 48],[14.68907563 23.31092437] ; [31.31092437 49.68907563],0
p4,1,0.499983,0.454973,[22 16] ; [54 30],[23.67213115 14.32786885] ; [52.32786885 31.67213115],0
d2,1,0.525482,0.40312,[20 18] ; [39 45],[18.37704918 19.62295082] ; [40.62295082 43.37704918],0
b5,1,0.525482,0.40312,[18 20] ; [45 39],[19.62295082 18.37704918] ; [43.37704918 40.62295082],0
p3,1,0.551947,0.353841,[23 15] ; [46 38],[21.49180328 16.50819672] ; [47.50819672 36.49180328],0
p11,1,0.556826,0.34523,[29  9] ; [68 16],[30.21311475  7.78688525] ; [66.78688525 17.21311475],0
n6,1,0.55966,0.340294,[31  7] ; [72 12],[32.08196721  5.91803279] ; [70.91803279 13.08196721],0
