Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.000152,14.347107,[ 4 13] ; [47 17],[10.7037037  6.2962963] ; [40.2962963 23.7037037],1
d5,1,0.000241,13.480066,[ 7 10] ; [54 10],[12.80246914  4.19753086] ; [48.19753086 15.80246914],1
a7,1,0.000247,13.43796,[ 5 12] ; [49 15],[11.33333333  5.66666667] ; [42.66666667 21.33333333],1
s1,1,0.002965,8.828829,[ 4 12] ; [ 2 62],[ 1.2 14.8] ; [ 4.8 59.2],0
a3,1,0.004837,7.939343,[ 5 12] ; [43 21],[10.07407407  6.92592593] ; [37.92592593 26.07407407],0
d2,1,0.016458,5.753237,[ 4 13] ; [36 28],[8.39506173 8.60493827] ; [31.60493827 32.39506173],0
p8,1,0.02925,4.752862,[ 3 14] ; [30 34],[ 6.92592593 10.07407407] ; [26.07407407 37.92592593],0
v2,1,0.039429,4.242276,[ 4 13] ; [32 30],[7.74683544 9.25316456] ; [28.25316456 33.74683544],0
u2,1,0.04295,4.097354,[4 8] ; [14  6],[6.75 5.25] ; [11.25  8.75],0
a5,1,0.044133,4.05148,[ 6 11] ; [40 24],[9.65432099 7.34567901] ; [36.34567901 27.65432099],0
p1,1,0.06974,3.289136,[ 3 14] ; [ 3 61],[ 1.25925926 15.74074074] ; [ 4.74074074 59.25925926],0
p5,1,0.06974,3.289136,[ 3 14] ; [ 3 61],[ 1.25925926 15.74074074] ; [ 4.74074074 59.25925926],0
n5,1,0.07899,3.085566,[14  3] ; [38 26],[10.91358025  6.08641975] ; [41.08641975 22.91358025],0
b3,1,0.112852,2.513825,[ 1 12] ; [12 29],[3.12962963 9.87037037] ; [ 9.87037037 31.12962963],0
b2,1,0.112852,2.513825,[ 1 12] ; [12 29],[3.12962963 9.87037037] ; [ 9.87037037 31.12962963],0
n4,1,0.122713,2.382353,[14  3] ; [40 24],[11.33333333  5.66666667] ; [42.66666667 21.33333333],0
a2,1,0.131325,2.276771,[ 1 16] ; [14 50],[ 3.14814815 13.85185185] ; [11.85185185 52.14814815],0
r3,1,0.137129,2.209885,[14  3] ; [60  4],[15.5308642  1.4691358] ; [58.4691358  5.5308642],0
p10,1,0.153338,2.038728,[ 2 14] ; [19 44],[ 4.25316456 11.74683544] ; [16.74683544 46.25316456],0
a8,1,0.218258,1.515789,[ 3 12] ; [ 5 52],[ 1.66666667 13.33333333] ; [ 6.33333333 50.66666667],0
a6,1,0.220954,1.498162,[ 7 10] ; [37 27],[9.2345679 7.7654321] ; [34.7654321 29.2345679],0
a4,1,0.2278,1.454545,[ 3 13] ; [22 42],[ 5. 11.] ; [20. 44.],0
n2,1,0.230785,1.436017,[2 2] ; [15  4],[2.95652174 1.04347826] ; [14.04347826  4.95652174],0
b4,1,0.235052,1.410029,[13  4] ; [39 25],[10.91358025  6.08641975] ; [41.08641975 22.91358025],0
s4,1,0.285536,1.140549,[ 6 11] ; [14 48],[ 4.30379747 12.69620253] ; [15.69620253 46.30379747],0
s7,1,0.291847,1.111083,[ 5 11] ; [28 33],[6.85714286 9.14285714] ; [26.14285714 34.85714286],0
s3,1,0.295292,1.095335,[12  4] ; [39 25],[10.2  5.8] ; [40.8 23.2],0
r4,1,0.337277,0.920753,[12  5] ; [52 12],[13.43209877  3.56790123] ; [50.56790123 13.43209877],0
v3,1,0.358945,0.841581,[8 9] ; [22 41],[ 6.375 10.625] ; [23.625 39.375],0
p11,1,0.446448,0.579654,[10  7] ; [31 33],[8.60493827 8.39506173] ; [32.39506173 31.60493827],0
s8,1,0.4639,0.536467,[ 5 12] ; [25 39],[ 6.2962963 10.7037037] ; [23.7037037 40.2962963],0
p6,1,0.505203,0.44399,[ 3 14] ; [16 47],[ 4.0375 12.9625] ; [14.9625 48.0375],0
n3,1,0.524052,0.405911,[3 1] ; [11  8],[2.43478261 1.56521739] ; [11.56521739  7.43478261],0
p2,1,0.550879,0.355746,[9 8] ; [39 25],[10.07407407  6.92592593] ; [37.92592593 26.07407407],0
s2,1,0.573138,0.31746,[8 8] ; [37 27],[9. 7.] ; [36. 28.],0
r2,1,0.581878,0.303209,[14  3] ; [56  8],[14.69135802  2.30864198] ; [55.30864198  8.69135802],0
p3,1,0.690918,0.158094,[ 7 10] ; [23 41],[ 6.2962963 10.7037037] ; [23.7037037 40.2962963],0
u3,1,0.774622,0.081988,[8 4] ; [15  6],[8.36363636 3.63636364] ; [14.63636364  6.36363636],0
b1,1,0.776296,0.080741,[11  6] ; [39 25],[10.49382716  6.50617284] ; [39.50617284 24.49382716],0
n6,1,0.799756,0.064345,[13  4] ; [47 17],[12.59259259  4.40740741] ; [47.40740741 16.59259259],0
p7,1,0.864837,0.028975,[8 8] ; [33 30],[8.30379747 7.69620253] ; [32.69620253 30.30379747],0
v4,1,0.93471,0.006711,[15  2] ; [56  8],[14.90123457  2.09876543] ; [56.09876543  7.90123457],0
p4,1,0.939919,0.005681,[9 8] ; [34 29],[9.1375 7.8625] ; [33.8625 29.1375],0
s5,1,0.945838,0.004615,[ 5 12] ; [18 45],[ 4.8875 12.1125] ; [18.1125 44.8875],0
b5,1,0.960773,0.002419,[11  6] ; [41 23],[10.91358025  6.08641975] ; [41.08641975 22.91358025],0
v1,1,0.967189,0.001692,[ 7 10] ; [26 38],[ 6.92592593 10.07407407] ; [26.07407407 37.92592593],0
r1,1,0.993657,6.3e-05,[13  4] ; [49 15],[13.01234568  3.98765432] ; [48.98765432 15.01234568],0
