Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,29.112775,[10 20] ; [86 17],[21.65413534  8.34586466] ; [74.34586466 28.65413534],1
r4,1,0.0,28.429628,[ 6 24] ; [76 27],[18.4962406 11.5037594] ; [63.5037594 39.4962406],1
r2,1,5e-06,20.690094,[16 12] ; [94  8],[23.69230769  4.30769231] ; [86.30769231 15.69230769],1
n6,1,2.1e-05,18.081257,[ 7 23] ; [69 34],[17.14285714 12.85714286] ; [58.85714286 44.14285714],1
p2,1,0.000141,14.486349,[ 7 23] ; [64 38],[16.13636364 13.86363636] ; [54.86363636 47.13636364],1
d5,1,0.000565,11.887846,[13 17] ; [78 24],[20.68181818  9.31818182] ; [70.31818182 31.68181818],1
n3,1,0.000975,10.87473,[ 4 11] ; [26  8],[9.18367347 5.81632653] ; [20.81632653 13.18367347],1
u3,1,0.001328,10.303534,[ 1 15] ; [22 20],[6.34482759 9.65517241] ; [16.65517241 25.34482759],0
s6,1,0.002835,8.910774,[ 5 25] ; [48 54],[12.04545455 17.95454545] ; [40.95454545 61.04545455],0
a1,1,0.00322,8.678541,[ 6 24] ; [ 4 99],[ 2.2556391 27.7443609] ; [ 7.7443609 95.2556391],0
p9,1,0.006995,7.274295,[ 7 22] ; [52 47],[13.3671875 15.6328125] ; [45.6328125 53.3671875],0
r1,1,0.008387,6.948828,[11 19] ; [65 37],[17.27272727 12.72727273] ; [58.72727273 43.27272727],0
p10,1,0.00867,6.88949,[ 6 23] ; [48 52],[12.13953488 16.86046512] ; [41.86046512 58.13953488],0
p1,1,0.024487,5.059835,[ 4 26] ; [  3 100],[ 1.57894737 28.42105263] ; [ 5.42105263 97.57894737],0
p7,1,0.030606,4.674918,[ 8 22] ; [49 51],[13.15384615 16.84615385] ; [43.84615385 56.15384615],0
b5,1,0.033352,4.527616,[14 16] ; [70 33],[18.94736842 11.05263158] ; [65.05263158 37.94736842],0
n4,1,0.05872,3.57317,[21  9] ; [52 51],[16.46616541 13.53383459] ; [56.53383459 46.46616541],0
a7,1,0.061065,3.508209,[15 15] ; [70 32],[19.31818182 10.68181818] ; [65.68181818 36.31818182],0
d1,1,0.063431,3.445332,[ 8 22] ; [47 56],[12.40601504 17.59398496] ; [42.59398496 60.40601504],0
v2,1,0.063551,3.442189,[ 6 23] ; [39 60],[10.1953125 18.8046875] ; [34.8046875 64.1953125],0
p8,1,0.070527,3.270715,[ 4 25] ; [31 70],[ 7.80769231 21.19230769] ; [27.19230769 73.80769231],0
d3,1,0.092938,2.822725,[12 18] ; [58 43],[16.03053435 13.96946565] ; [53.96946565 47.03053435],0
s4,1,0.098101,2.73615,[ 2 28] ; [20 83],[ 4.96240602 25.03759398] ; [17.03759398 85.96240602],0
d4,1,0.115359,2.479223,[18 12] ; [77 26],[21.42857143  8.57142857] ; [73.57142857 29.42857143],0
u2,1,0.160611,1.968463,[ 3 13] ; [16 26],[ 5.24137931 10.75862069] ; [13.75862069 28.24137931],0
s2,1,0.16961,1.886385,[ 4 26] ; [26 77],[ 6.76691729 23.23308271] ; [23.23308271 79.76691729],0
s1,1,0.186733,1.743204,[ 3 27] ; [ 4 99],[ 1.57894737 28.42105263] ; [ 5.42105263 97.57894737],0
a5,1,0.187643,1.73603,[14 16] ; [62 41],[17.14285714 12.85714286] ; [58.85714286 44.14285714],0
b3,1,0.195772,1.673641,[ 9 12] ; [13 35],[ 6.69565217 14.30434783] ; [15.30434783 32.69565217],0
b2,1,0.195772,1.673641,[ 9 12] ; [13 35],[ 6.69565217 14.30434783] ; [15.30434783 32.69565217],0
a8,1,0.21027,1.569569,[ 4 26] ; [ 6 90],[ 2.38095238 27.61904762] ; [ 7.61904762 88.38095238],0
p3,1,0.253314,1.304936,[ 6 24] ; [31 70],[ 8.47328244 21.52671756] ; [28.52671756 72.47328244],0
n2,1,0.254838,1.296587,[7 8] ; [23 13],[8.82352941 6.17647059] ; [21.17647059 14.82352941],0
v1,1,0.256349,1.288366,[ 7 23] ; [35 67],[ 9.54545455 20.45454545] ; [32.45454545 69.54545455],0
v3,1,0.257969,1.279621,[ 6 24] ; [30 68],[ 8.4375 21.5625] ; [27.5625 70.4375],0
a6,1,0.260989,1.263501,[14 16] ; [60 43],[16.69172932 13.30827068] ; [57.30827068 45.69172932],0
a2,1,0.273185,1.200683,[ 3 27] ; [19 84],[ 4.96240602 25.03759398] ; [17.03759398 85.96240602],0
s5,1,0.278879,1.172546,[ 3 27] ; [18 80],[ 4.921875 25.078125] ; [16.078125 81.921875],0
a3,1,0.332049,0.940891,[14 15] ; [59 42],[16.28461538 12.71538462] ; [56.71538462 44.28461538],0
a4,1,0.335784,0.926464,[ 8 21] ; [38 64],[10.18320611 18.81679389] ; [35.81679389 66.18320611],0
n1,1,0.466348,0.530615,[6 9] ; [10 24],[ 4.89795918 10.10204082] ; [11.10204082 22.89795918],0
p4,1,0.512627,0.428702,[ 8 22] ; [33 67],[ 9.46153846 20.53846154] ; [31.53846154 68.46153846],0
n5,1,0.522499,0.408959,[18 12] ; [55 48],[16.46616541 13.53383459] ; [56.53383459 46.46616541],0
p6,1,0.524132,0.405755,[ 3 26] ; [15 85],[ 4.04651163 24.95348837] ; [13.95348837 86.04651163],0
s3,1,0.645613,0.211476,[ 9 20] ; [36 65],[10.03846154 18.96153846] ; [34.96153846 66.03846154],0
d2,1,0.684152,0.16549,[12 17] ; [47 56],[12.96212121 16.03787879] ; [46.03787879 56.96212121],0
b4,1,0.712765,0.135531,[16 14] ; [51 52],[15.11278195 14.88721805] ; [51.88721805 51.11278195],0
p5,1,0.733975,0.115493,[ 1 28] ; [ 5 96],[ 1.33846154 27.66153846] ; [ 4.66153846 96.33846154],0
b1,1,0.742887,0.107605,[15 15] ; [48 55],[14.21052632 15.78947368] ; [48.78947368 54.21052632],0
