Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,45.103076,[127  33] ; [72 95],[97.37003058 62.62996942] ; [101.62996942  65.37003058],1
p4,1,0.0,29.599085,[124  39] ; [81 91],[99.74626866 63.25373134] ; [105.25373134  66.74626866],1
p6,1,3e-06,22.070596,[74 89] ; [ 36 134],[ 53.84384384 109.15615616] ; [ 56.15615616 113.84384384],1
p2,1,1.1e-05,19.3497,[149  13] ; [126  45],[133.78378378  28.21621622] ; [141.21621622  29.78378378],1
p3,1,3.4e-05,17.157409,[96 67] ; [ 62 109],[77.10778443 85.89221557] ; [80.89221557 90.10778443],1
p5,1,0.005386,7.745062,[ 19 144] ; [  6 162],[ 12.31117825 150.68882175] ; [ 12.68882175 155.31117825],0
r4,1,0.031172,4.643465,[152  11] ; [148  24],[145.97014925  17.02985075] ; [154.02985075  17.97014925],0
p11,1,0.032546,4.569492,[136  27] ; [127  45],[127.96716418  35.03283582] ; [135.03283582  36.96716418],0
b5,1,0.064204,3.425309,[98 65] ; [120  52],[106.07164179  56.92835821] ; [111.92835821  60.07164179],0
n3,1,0.06576,3.385797,[13 10] ; [41 12],[16.34210526  6.65789474] ; [37.65789474 15.34210526],0
p10,1,0.071149,3.256301,[135  27] ; [128  42],[128.3313253  33.6686747] ; [134.6686747  35.3313253],0
p1,1,0.085353,2.959908,[ 14 148] ; [  7 165],[ 10.18562874 151.81437126] ; [ 10.81437126 161.18562874],0
a5,1,0.088844,2.895189,[121  42] ; [113  59],[113.85671642  49.14328358] ; [120.14328358  51.85671642],0
p12,1,0.099651,2.711113,[ 15 148] ; [  8 164],[ 11.19104478 151.80895522] ; [ 11.80895522 160.19104478],0
u1,1,0.101455,2.682523,[ 23 140] ; [ 36 136],[ 28.70746269 134.29253731] ; [ 30.29253731 141.70746269],0
d4,1,0.152098,2.05108,[136  27] ; [132  39],[130.79041916  32.20958084] ; [137.20958084  33.79041916],0
s8,1,0.155595,2.01652,[87 75] ; [79 93],[80.51497006 81.48502994] ; [85.48502994 86.51497006],0
u2,1,0.180177,1.796163,[36 15] ; [35 25],[32.62162162 18.37837838] ; [38.37837838 21.62162162],0
b4,1,0.194623,1.682273,[91 72] ; [108  64],[96.82686567 66.17313433] ; [102.17313433  69.82686567],0
s7,1,0.236673,1.400302,[86 71] ; [80 86],[80.6873065 76.3126935] ; [85.3126935 80.6873065],0
n5,1,0.253283,1.305104,[128  34] ; [126  45],[123.56756757  38.43243243] ; [130.43243243  40.56756757],0
a4,1,0.264813,1.243418,[ 60 101] ; [74 97],[64.98192771 96.01807229] ; [ 69.01807229 101.98192771],0
a3,1,0.265855,1.238008,[112  50] ; [109  63],[107.19161677  54.80838323] ; [113.80838323  58.19161677],0
s1,1,0.265895,1.237804,[  4 159] ; [  8 161],[  5.89156627 157.10843373] ; [  6.10843373 162.89156627],0
p9,1,0.266678,1.233754,[139  24] ; [138  33],[135.18263473  27.81736527] ; [141.81736527  29.18263473],0
a2,1,0.359736,0.838814,[ 33 130] ; [ 42 130],[ 36.49253731 126.50746269] ; [ 38.50746269 133.49253731],0
v4,1,0.401429,0.704043,[155   7] ; [161  11],[153.26946108   8.73053892] ; [162.73053892   9.26946108],0
v2,1,0.407971,0.684705,[83 75] ; [92 69],[86.67711599 71.32288401] ; [88.32288401 72.67711599],0
s3,1,0.411335,0.674939,[102  59] ; [115  55],[105.54984894  55.45015106] ; [111.45015106  58.54984894],0
s2,1,0.430677,0.620996,[86 77] ; [97 73],[89.57657658 73.42342342] ; [93.42342342 76.57657658],0
d3,1,0.444548,0.584514,[115  48] ; [114  57],[111.75748503  51.24251497] ; [117.24251497  53.75748503],0
r3,1,0.453165,0.562724,[158   5] ; [164   8],[156.67462687   6.32537313] ; [165.32537313   6.67462687],0
a1,1,0.492505,0.471049,[  6 157] ; [  9 163],[  7.29850746 155.70149254] ; [  7.70149254 164.29850746],0
d5,1,0.528143,0.397963,[130  33] ; [141  30],[132.25449102  30.74550898] ; [138.74550898  32.25449102],0
d2,1,0.557806,0.343517,[72 91] ; [81 90],[74.66766467 88.33233533] ; [78.33233533 92.66766467],0
n4,1,0.597108,0.27938,[129  34] ; [132  40],[126.99402985  36.00597015] ; [134.00597015  37.99402985],0
n2,1,0.601624,0.272554,[17  6] ; [36 17],[16.03947368  6.96052632] ; [36.96052632 16.03947368],0
r1,1,0.634067,0.226586,[133  30] ; [136  35],[131.27844311  31.72155689] ; [137.72155689  33.27844311],0
a7,1,0.660148,0.193344,[123  39] ; [127  45],[121.25748503  40.74251497] ; [128.74251497  43.25748503],0
v3,1,0.669109,0.182646,[58 99] ; [64 99],[59.85625 97.14375] ; [ 62.14375 100.85625],0
u3,1,0.689565,0.159557,[29 20] ; [39 23],[30.01801802 18.98198198] ; [37.98198198 24.01801802],0
u4,1,0.691121,0.157874,[  6 157] ; [  5 167],[  5.35223881 157.64776119] ; [  5.64776119 166.35223881],0
a8,1,0.712929,0.135369,[ 21 123] ; [ 21 139],[ 19.89473684 124.10526316] ; [ 22.10526316 137.89473684],0
n1,1,0.785286,0.074222,[ 9 14] ; [19 34],[ 8.47368421 14.52631579] ; [19.52631579 33.47368421],0
n6,1,0.80592,0.060365,[134  28] ; [144  28],[134.83832335  27.16167665] ; [143.16167665  28.83832335],0
s4,1,0.812952,0.055989,[ 26 135] ; [ 26 145],[ 25.21686747 135.78313253] ; [ 26.78313253 144.21686747],0
d1,1,0.823732,0.049616,[92 71] ; [95 77],[90.9880597 72.0119403] ; [96.0119403 75.9880597],0
v1,1,0.857222,0.032368,[86 73] ; [86 76],[85.19626168 73.80373832] ; [86.80373832 75.19626168],0
b1,1,0.86829,0.0275,[ 63 100] ; [ 68 104],[63.74029851 99.25970149] ; [ 67.25970149 104.74029851],0
a6,1,0.944817,0.004791,[114  49] ; [119  52],[113.70958084  49.29041916] ; [119.29041916  51.70958084],0
b2,1,0.976287,0.000884,[30 64] ; [35 74],[30.09852217 63.90147783] ; [34.90147783 74.09852217],0
b3,1,0.976287,0.000884,[30 64] ; [35 74],[30.09852217 63.90147783] ; [34.90147783 74.09852217],0
r2,1,0.983314,0.000437,[148  11] ; [160  12],[147.95166163  11.04833837] ; [160.04833837  11.95166163],0
