Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,90.222498,[417 109] ; [ 77 107],[365.97746479 160.02253521] ; [128.02253521  55.97746479],1
d3,1,0.0,80.818062,[419 107] ; [ 82 102],[371.16338028 154.83661972] ; [129.83661972  54.16338028],1
a2,1,0.0,34.221035,[156 372] ; [ 15 169],[126.80898876 401.19101124] ; [ 44.19101124 139.80898876],1
b5,1,0.0,25.630366,[342 186] ; [ 80 104],[312.94382022 215.05617978] ; [109.05617978  74.94382022],1
u1,1,9e-06,19.644718,[114 414] ; [ 13 171],[ 94.17977528 433.82022472] ; [ 32.82022472 151.17977528],1
d1,1,0.000484,12.177363,[341 187] ; [92 92],[321.1011236 206.8988764] ; [111.8988764  72.1011236],1
u3,1,0.004329,8.14032,[98 53] ; [17 25],[89.97409326 61.02590674] ; [25.02590674 16.97409326],0
r3,1,0.012192,6.28273,[510  17] ; [170  14],[504.02250352  22.97749648] ; [175.97749648   8.02250352],0
d4,1,0.014689,5.953419,[450  77] ; [142  41],[439.41408451  87.58591549] ; [152.58591549  30.41408451],0
r4,1,0.017714,5.624207,[498  30] ; [164  20],[490.92134831  37.07865169] ; [171.07865169  12.92134831],0
v2,1,0.019837,5.426201,[305 198] ; [89 87],[291.87334315 211.12665685] ; [102.12665685  73.87334315],0
r1,1,0.028543,4.794946,[441  85] ; [141  43],[431.17183099  94.82816901] ; [150.82816901  33.17183099],0
b1,1,0.03072,4.668563,[177 351] ; [ 78 106],[189.1011236 338.8988764] ; [ 65.8988764 118.1011236],0
b3,1,0.032962,4.547734,[106 194] ; [55 63],[115.55023923 184.44976077] ; [45.44976077 72.55023923],0
b2,1,0.032962,4.547734,[106 194] ; [55 63],[115.55023923 184.44976077] ; [45.44976077 72.55023923],0
n5,1,0.0477,3.920525,[403 123] ; [153  30],[412.49083216 113.50916784] ; [143.50916784  39.49083216],0
s8,1,0.077788,3.110524,[240 285] ; [98 86],[250.28208745 274.71791255] ; [87.71791255 96.28208745],0
r2,1,0.090444,2.866456,[509  17] ; [170  11],[505.16831683  20.83168317] ; [173.83168317   7.16831683],0
a5,1,0.090992,2.85673,[406 122] ; [130  54],[397.48314607 130.51685393] ; [138.51685393  45.48314607],0
d5,1,0.091085,2.855098,[441  86] ; [143  40],[433.47605634  93.52394366] ; [150.52394366  32.47605634],0
s7,1,0.09826,2.733553,[252 251] ; [102  76],[261.47136564 241.52863436] ; [92.52863436 85.47136564],0
s5,1,0.102903,2.659966,[178 333] ; [ 73 102],[186.96938776 324.03061224] ; [ 64.03061224 110.96938776],0
a3,1,0.122742,2.381972,[375 151] ; [142  42],[383.01690141 142.98309859] ; [133.98309859  50.01690141],0
p4,1,0.123401,2.373615,[340 186] ; [106  76],[331.35028249 194.64971751] ; [114.64971751  67.35028249],0
p2,1,0.187976,1.733408,[458  69] ; [151  31],[452.66995769  74.33004231] ; [156.33004231  25.66995769],0
a1,1,0.197024,1.6643,[ 22 506] ; [ 12 172],[ 25.21348315 502.78651685] ; [  8.78651685 175.21348315],0
s4,1,0.211629,1.560246,[ 87 435] ; [ 38 145],[ 92.55319149 429.44680851] ; [ 32.44680851 150.55319149],0
p12,1,0.235904,1.404905,[ 53 474] ; [ 13 170],[ 48.98873239 478.01126761] ; [ 17.01126761 165.98873239],0
b4,1,0.261836,1.259026,[312 216] ; [100  84],[305.52808989 222.47191011] ; [106.47191011  77.52808989],0
n1,1,0.30327,1.05976,[33 67] ; [20 28],[35.81081081 64.18918919] ; [17.18918919 30.81081081],0
n4,1,0.318475,0.995197,[409 119] ; [149  35],[413.79775281 114.20224719] ; [144.20224719  39.79775281],0
a8,1,0.362837,0.82805,[ 64 411] ; [ 19 157],[ 60.56067588 414.43932412] ; [ 22.43932412 153.56067588],0
u2,1,0.363163,0.826927,[95 57] ; [23 19],[92.45360825 59.54639175] ; [25.54639175 16.45360825],0
s2,1,0.620124,0.245693,[286 238] ; [96 87],[283.12305516 240.87694484] ; [98.87694484 84.12305516],0
s3,1,0.624224,0.239975,[296 226] ; [107  75],[298.81534091 223.18465909] ; [104.18465909  77.81534091],0
