Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.000772,11.30817,[ 6 68] ; [ 9 16],[11.21212121 62.78787879] ; [ 3.78787879 21.21212121],1
a5,1,0.002868,8.889455,[54 20] ; [10 15],[47.83838384 26.16161616] ; [16.16161616  8.83838384],0
p7,1,0.00836,6.954756,[37 33] ; [20  4],[42.44680851 27.55319149] ; [14.55319149  9.44680851],0
p8,1,0.010257,6.589756,[28 45] ; [17  8],[33.52040816 39.47959184] ; [11.47959184 13.52040816],0
p4,1,0.010802,6.497534,[31 42] ; [18  7],[36.5 36.5] ; [12.5 12.5],0
b1,1,0.043006,4.095182,[33 41] ; [17  8],[37.37373737 36.62626263] ; [12.62626263 12.37373737],0
p3,1,0.06013,3.533803,[23 51] ; [13 12],[26.90909091 47.09090909] ; [ 9.09090909 15.90909091],0
n5,1,0.078581,3.093999,[29 44] ; [15 10],[32.7755102 40.2244898] ; [11.2244898 13.7755102],0
a3,1,0.080393,3.056942,[50 24] ; [12 13],[46.34343434 27.65656566] ; [15.65656566  9.34343434],0
b5,1,0.207769,1.586906,[46 28] ; [19  6],[48.58585859 25.41414141] ; [16.41414141  8.58585859],0
r1,1,0.214031,1.54395,[56 17] ; [16  9],[53.63265306 19.36734694] ; [18.36734694  6.63265306],0
p1,1,0.274572,1.193762,[ 4 69] ; [ 3 22],[ 5.21428571 67.78571429] ; [ 1.78571429 23.21428571],0
n3,1,0.295046,1.096451,[15  5] ; [5 4],[13.79310345  6.20689655] ; [6.20689655 2.79310345],0
p10,1,0.321704,0.982005,[55 19] ; [16  9],[53.07070707 20.92929293] ; [17.92929293  7.07070707],0
v2,1,0.342256,0.901961,[36 32] ; [10 14],[34. 34.] ; [12. 12.],0
r2,1,0.357913,0.845202,[63  9] ; [20  5],[61.60824742 10.39175258] ; [21.39175258  3.60824742],0
s5,1,0.368553,0.808537,[13 61] ; [ 6 17],[14.49484536 59.50515464] ; [ 4.50515464 18.49484536],0
s8,1,0.370665,0.801433,[28 46] ; [12 13],[29.8989899 44.1010101] ; [10.1010101 14.8989899],0
u3,1,0.392416,0.731442,[18  6] ; [8 5],[16.86486486  7.13513514] ; [9.13513514 3.86486486],0
s2,1,0.39714,0.716969,[28 45] ; [12 13],[29.79591837 43.20408163] ; [10.20408163 14.79591837],0
a7,1,0.413429,0.668919,[51 23] ; [15 10],[49.33333333 24.66666667] ; [16.66666667  8.33333333],0
v1,1,0.430484,0.621518,[30 40] ; [13 12],[31.68421053 38.31578947] ; [11.31578947 13.68421053],0
n4,1,0.447119,0.577946,[42 32] ; [12 13],[40.36363636 33.63636364] ; [13.63636364 11.36363636],0
b3,1,0.455733,0.556355,[12 35] ; [5 9],[13.09836066 33.90163934] ; [ 3.90163934 10.09836066],0
b2,1,0.455733,0.556355,[12 35] ; [5 9],[13.09836066 33.90163934] ; [ 3.90163934 10.09836066],0
n1,1,0.472423,0.516303,[ 9 10] ; [5 3],[9.85185185 9.14814815] ; [4.14814815 3.85185185],0
r4,1,0.480135,0.498556,[61 13] ; [19  6],[59.7979798 14.2020202] ; [20.2020202  4.7979798],0
a6,1,0.490879,0.474599,[50 24] ; [15 10],[48.58585859 25.41414141] ; [16.41414141  8.58585859],0
u2,1,0.501273,0.452241,[19  5] ; [9 4],[18.16216216  5.83783784] ; [9.83783784 3.16216216],0
a8,1,0.513067,0.427807,[ 6 62] ; [ 3 19],[ 6.8 61.2] ; [ 2.2 19.8],0
p2,1,0.545011,0.36633,[58 16] ; [21  4],[59.05050505 14.94949495] ; [19.94949495  5.05050505],0
b4,1,0.604968,0.267568,[40 34] ; [15 10],[41.11111111 32.88888889] ; [13.88888889 11.11111111],0
s6,1,0.604968,0.267568,[40 34] ; [15 10],[41.11111111 32.88888889] ; [13.88888889 11.11111111],0
a4,1,0.649373,0.206691,[23 51] ; [ 9 16],[23.91919192 50.08080808] ; [ 8.08080808 16.91919192],0
s3,1,0.675189,0.175593,[39 34] ; [14 10],[39.88659794 33.11340206] ; [13.11340206 10.88659794],0
p5,1,0.771703,0.084186,[ 4 69] ; [ 1 24],[ 3.7244898 69.2755102] ; [ 1.2755102 23.7244898],0
d2,1,0.775333,0.081457,[26 48] ; [ 8 17],[25.41414141 48.58585859] ; [ 8.58585859 16.41414141],0
d4,1,0.819394,0.052132,[55 19] ; [18  7],[54.56565657 19.43434343] ; [18.43434343  6.56565657],0
r3,1,0.833933,0.043958,[69  5] ; [23  2],[68.76767677  5.23232323] ; [23.23232323  1.76767677],0
v3,1,0.837549,0.042037,[18 51] ; [ 6 19],[17.61702128 51.38297872] ; [ 6.38297872 18.61702128],0
s7,1,0.843619,0.038914,[26 42] ; [ 9 16],[25.59139785 42.40860215] ; [ 9.40860215 15.59139785],0
v4,1,0.86051,0.030879,[67  5] ; [23  2],[66.80412371  5.19587629] ; [23.19587629  1.80412371],0
p9,1,0.916275,0.011052,[57 17] ; [19  6],[56.80808081 17.19191919] ; [19.19191919  5.80808081],0
d5,1,0.92476,0.008919,[54 20] ; [18  7],[53.81818182 20.18181818] ; [18.18181818  6.81818182],0
n2,1,0.927575,0.008262,[18  2] ; [8 1],[17.93103448  2.06896552] ; [8.06896552 0.93103448],0
d3,1,0.942815,0.005146,[45 29] ; [15 10],[44.84848485 29.15151515] ; [15.15151515  9.84848485],0
d1,1,0.947379,0.004356,[32 42] ; [11 14],[32.14141414 41.85858586] ; [10.85858586 14.14141414],0
p12,1,0.980932,0.000571,[ 3 70] ; [ 1 24],[ 2.97959184 70.02040816] ; [ 1.02040816 23.97959184],0
a2,1,0.982864,0.000461,[ 9 65] ; [ 3 22],[ 8.96969697 65.03030303] ; [ 3.03030303 21.96969697],0
u1,1,0.986319,0.000294,[ 6 68] ; [ 2 23],[ 5.97979798 68.02020202] ; [ 2.02020202 22.97979798],0
