Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,196.945077,[  5 120] ; [440 176],[75.06747638 49.93252362] ; [369.93252362 246.06747638],1
d3,1,0.0,140.403939,[32 91] ; [489 127],[86.71583221 36.28416779] ; [434.28416779 181.71583221],1
d5,1,0.0,117.392172,[58 66] ; [544  72],[100.87567568  23.12432432] ; [501.12432432 114.87567568],1
d2,1,0.0,38.599192,[28 97] ; [325 290],[59.62837838 65.37162162] ; [293.37162162 321.62837838],1
a3,1,0.0,32.977294,[64 60] ; [471 142],[90.01356852 33.98643148] ; [444.98643148 168.01356852],1
a5,1,0.0,29.459428,[69 56] ; [483 133],[93.11740891 31.88259109] ; [458.88259109 157.11740891],1
a4,1,0.0,28.544432,[30 94] ; [310 305],[57.05006766 66.94993234] ; [282.94993234 332.05006766],1
u1,1,3e-06,21.933955,[  4 121] ; [128 488],[ 22.26720648 102.73279352] ; [109.73279352 506.26720648],1
a2,1,3e-05,17.390465,[ 12 113] ; [167 449],[30.19568151 94.80431849] ; [148.80431849 467.19568151],1
s2,1,0.000321,12.946546,[47 76] ; [343 270],[65.17663043 57.82336957] ; [324.82336957 288.17663043],1
r1,1,0.000484,12.175758,[85 38] ; [509 106],[99. 24.] ; [495. 120.],1
p4,1,0.005635,7.663546,[64 61] ; [394 218],[77.6797829 47.3202171] ; [380.3202171 231.6797829],0
s5,1,0.006263,7.473089,[30 91] ; [223 366],[43.11690141 77.88309859] ; [209.88309859 379.11690141],0
a7,1,0.008854,6.852091,[79 45] ; [462 153],[90.7767253 33.2232747] ; [450.2232747 164.7767253],0
v2,1,0.01142,6.398707,[55 62] ; [352 238],[67.35360679 49.64639321] ; [339.64639321 250.35360679],0
s8,1,0.013749,6.070029,[47 78] ; [305 309],[59.53991881 65.46008119] ; [292.46008119 321.53991881],0
p1,1,0.01549,5.859877,[ 18 107] ; [ 47 566],[ 11.00948509 113.99051491] ; [ 53.99051491 559.00948509],0
v1,1,0.019714,5.437021,[57 64] ; [350 247],[68.58913649 52.41086351] ; [338.41086351 258.58913649],0
p2,1,0.021211,5.309374,[100  25] ; [537  75],[108.03934871  16.96065129] ; [528.96065129  83.03934871],0
u2,1,0.02408,5.088871,[28 33] ; [90 53],[35.28431373 25.71568627] ; [82.71568627 60.28431373],0
s3,1,0.042386,4.119718,[59 62] ; [359 252],[69.09562842 51.90437158] ; [348.90437158 262.09562842],0
u3,1,0.045073,4.015895,[29 32] ; [89 53],[35.45812808 25.54187192] ; [82.54187192 59.45812808],0
r3,1,0.050435,3.826952,[116   9] ; [594  21],[119.93243243   5.06756757] ; [590.06756757  24.93243243],0
r2,1,0.053641,3.723842,[116   9] ; [588  21],[119.89100817   5.10899183] ; [584.10899183  24.89100817],0
n4,1,0.05467,3.692138,[88 36] ; [485 130],[96.14614344 27.85385656] ; [476.85385656 138.14614344],0
v3,1,0.057127,3.61888,[40 83] ; [246 343],[49.40730337 73.59269663] ; [236.59269663 352.40730337],0
