Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.041578,4.15231,[2 3] ; [ 7 65],[0.58441558 4.41558442] ; [ 8.41558442 63.58441558],0
p3,1,0.056185,3.646573,[5 1] ; [34 45],[2.75294118 3.24705882] ; [36.24705882 42.75294118],0
b4,1,0.081097,3.042781,[2 4] ; [54 25],[3.95294118 2.04705882] ; [52.04705882 26.95294118],0
s3,1,0.095314,2.782253,[2 4] ; [53 26],[3.88235294 2.11764706] ; [51.11764706 27.88235294],0
v1,1,0.137217,2.2089,[1 5] ; [37 40],[2.74698795 3.25301205] ; [35.25301205 41.74698795],0
s1,1,0.151263,2.059469,[1 5] ; [ 3 76],[0.28235294 5.71764706] ; [ 3.71764706 75.28235294],0
s8,1,0.151887,2.0532,[5 1] ; [42 37],[3.31764706 2.68235294] ; [43.68235294 35.31764706],0
b5,1,0.211213,1.563095,[2 4] ; [47 32],[3.45882353 2.54117647] ; [45.54117647 33.45882353],0
p8,1,0.246795,1.341354,[4 2] ; [33 45],[2.64285714 3.35714286] ; [34.35714286 43.64285714],0
r2,1,0.255318,1.293967,[4 1] ; [73  5],[4.63855422 0.36144578] ; [72.36144578  5.63855422],0
p6,1,0.368155,0.809883,[1 4] ; [31 46],[1.95121951 3.04878049] ; [30.04878049 46.95121951],0
b1,1,0.409953,0.678938,[1 5] ; [26 53],[1.90588235 4.09411765] ; [25.09411765 53.90588235],0
d2,1,0.413871,0.667653,[2 4] ; [40 39],[2.96470588 3.03529412] ; [39.03529412 39.96470588],0
a5,1,0.477268,0.505098,[5 1] ; [55 24],[4.23529412 1.76470588] ; [55.76470588 23.23529412],0
v4,1,0.53622,0.382591,[5 1] ; [71  7],[5.42857143 0.57142857] ; [70.57142857  7.42857143],0
b3,1,0.544122,0.367953,[3 3] ; [19 32],[2.31578947 3.68421053] ; [19.68421053 31.31578947],0
b2,1,0.544122,0.367953,[3 3] ; [19 32],[2.31578947 3.68421053] ; [19.68421053 31.31578947],0
r1,1,0.59292,0.285807,[5 1] ; [58 21],[4.44705882 1.55294118] ; [58.55294118 20.44705882],0
s6,1,0.59292,0.285807,[5 1] ; [58 21],[4.44705882 1.55294118] ; [58.55294118 20.44705882],0
a3,1,0.635791,0.22429,[5 1] ; [59 20],[4.51764706 1.48235294] ; [59.48235294 19.51764706],0
v3,1,0.662866,0.190061,[2 3] ; [23 52],[1.5625 3.4375] ; [23.4375 51.5625],0
a7,1,0.681021,0.168979,[5 1] ; [60 19],[4.58823529 1.41176471] ; [60.41176471 18.58823529],0
d3,1,0.728747,0.120265,[5 1] ; [61 18],[4.65882353 1.34117647] ; [61.34117647 17.65882353],0
d1,1,0.740192,0.109958,[3 3] ; [45 34],[3.38823529 2.61176471] ; [44.61176471 34.38823529],0
r4,1,0.777937,0.079529,[5 1] ; [69 10],[5.22352941 0.77647059] ; [68.77647059 10.22352941],0
v2,1,0.792413,0.069263,[3 2] ; [41 35],[2.71604938 2.28395062] ; [41.28395062 34.71604938],0
u1,1,0.888507,0.019654,[1 5] ; [15 64],[1.12941176 4.87058824] ; [14.87058824 64.12941176],0
d5,1,0.922813,0.009388,[5 1] ; [67 12],[5.08235294 0.91764706] ; [66.91764706 12.08235294],0
s5,1,0.953239,0.003439,[2 3] ; [31 44],[2.0625 2.9375] ; [30.9375 44.0625],0
p4,1,0.976152,0.000894,[3 3] ; [39 40],[2.96470588 3.03529412] ; [39.03529412 39.96470588],0
n4,1,0.976152,0.000894,[3 3] ; [40 39],[3.03529412 2.96470588] ; [39.96470588 39.03529412],0
a6,1,0.983086,0.000449,[4 2] ; [53 26],[4.02352941 1.97647059] ; [52.97647059 26.02352941],0
n6,1,1.0,0.0,[4 2] ; [52 26],[4. 2.] ; [52. 26.],0
n2,1,1.0,0.0,[2 1] ; [14  7],[2. 1.] ; [14.  7.],0
