Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,72.593503,[113   6] ; [ 9 23],[96.14569536 22.85430464] ; [25.85430464  6.14569536],1
p11,1,1.8e-05,18.388584,[93 26] ; [13 20],[82.98684211 36.01315789] ; [23.01315789  9.98684211],1
r3,1,0.000165,14.189867,[112   6] ; [24  9],[106.2781457  11.7218543] ; [29.7218543  3.2781457],1
p8,1,0.000775,11.299063,[63 53] ; [ 7 26],[54.4966443 61.5033557] ; [15.5033557 17.4966443],1
p7,1,0.0011,10.650944,[78 37] ; [12 21],[69.93243243 45.06756757] ; [20.06756757 12.93243243],0
n6,1,0.002885,8.878586,[102  16] ; [21 12],[96.1192053 21.8807947] ; [26.8807947  6.1192053],0
r4,1,0.005142,7.828663,[104  15] ; [22 11],[98.64473684 20.35526316] ; [27.35526316  5.64473684],0
v4,1,0.006435,7.424376,[113   5] ; [27  6],[109.40397351   8.59602649] ; [30.59602649  2.40397351],0
a5,1,0.007408,7.171373,[87 32] ; [16 17],[80.63815789 38.36184211] ; [22.36184211 10.63815789],0
d1,1,0.009407,6.743843,[70 49] ; [11 22],[63.41447368 55.58552632] ; [17.58552632 15.41447368],0
d3,1,0.018951,5.506036,[92 26] ; [19 14],[86.74172185 31.25827815] ; [24.25827815  8.74172185],0
r1,1,0.024194,5.080666,[89 30] ; [18 15],[83.76973684 35.23026316] ; [23.23026316  9.76973684],0
s8,1,0.027969,4.829966,[58 61] ; [ 9 24],[52.45394737 66.54605263] ; [14.54605263 18.45394737],0
v1,1,0.046903,3.94886,[55 63] ; [ 9 24],[50.01324503 67.98675497] ; [13.98675497 19.01324503],0
b1,1,0.048282,3.90013,[39 80] ; [17 16],[43.84210526 75.15789474] ; [12.15789474 20.84210526],0
p2,1,0.052833,3.749181,[95 24] ; [21 12],[90.81578947 28.18421053] ; [25.18421053  7.81578947],0
a1,1,0.056441,3.639007,[  1 118] ; [ 2 31],[  2.34868421 116.65131579] ; [ 0.65131579 32.34868421],0
p6,1,0.058364,3.583269,[50 68] ; [ 8 25],[45.32450331 72.67549669] ; [12.67549669 20.32450331],0
v2,1,0.067604,3.340249,[55 59] ; [10 23],[50.40816327 63.59183673] ; [14.59183673 18.40816327],0
a6,1,0.069173,3.302529,[75 44] ; [15 18],[70.46052632 48.53947368] ; [19.53947368 13.46052632],0
r2,1,0.097314,2.749018,[111   8] ; [26  5],[108.68666667  10.31333333] ; [28.31333333  2.68666667],0
s5,1,0.153144,2.040649,[58 55] ; [11 19],[54.52447552 58.47552448] ; [14.47552448 15.52447552],0
s1,1,0.168533,1.895948,[  4 114] ; [ 3 30],[  5.47019868 112.52980132] ; [ 1.52980132 31.47019868],0
d5,1,0.184,1.765018,[95 23] ; [23 10],[92.21192053 25.78807947] ; [25.78807947  7.21192053],0
b3,1,0.186642,1.743924,[12 52] ; [ 6 12],[14.04878049 49.95121951] ; [ 3.95121951 14.04878049],0
b2,1,0.186642,1.743924,[12 52] ; [ 6 12],[14.04878049 49.95121951] ; [ 3.95121951 14.04878049],0
s6,1,0.199055,1.649292,[96 20] ; [24  9],[93.42281879 22.57718121] ; [26.57718121  6.42281879],0
d4,1,0.216379,1.528227,[95 24] ; [23 10],[92.38157895 26.61842105] ; [25.61842105  7.38157895],0
s2,1,0.250591,1.320008,[82 35] ; [19 13],[79.30872483 37.69127517] ; [21.69127517 10.30872483],0
n4,1,0.286082,1.137968,[77 42] ; [18 15],[74.375 44.625] ; [20.625 12.375],0
a2,1,0.291385,1.11321,[24 95] ; [ 4 29],[21.92105263 97.07894737] ; [ 6.07894737 26.92105263],0
a3,1,0.303302,1.05962,[80 39] ; [19 14],[77.50657895 41.49342105] ; [21.49342105 11.50657895],0
u2,1,0.316852,1.001897,[20 19] ; [5 9],[18.39622642 20.60377358] ; [6.60377358 7.39622642],0
p4,1,0.37612,0.783344,[68 51] ; [16 17],[65.76315789 53.23684211] ; [18.23684211 14.76315789],0
a7,1,0.385756,0.752278,[81 37] ; [20 13],[78.92715232 39.07284768] ; [22.07284768 10.92715232],0
u1,1,0.390159,0.738446,[22 97] ; [ 4 29],[20.35526316 98.64473684] ; [ 5.64473684 27.35526316],0
n1,1,0.406175,0.68997,[ 8 23] ; [ 6 10],[ 9.23404255 21.76595745] ; [ 4.76595745 11.23404255],0
n5,1,0.42187,0.645099,[81 38] ; [20 13],[79.07236842 39.92763158] ; [21.92763158 11.07236842],0
