Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000182,14.007572,[11 42] ; [17 10],[18.55 34.45] ; [ 9.45 17.55],1
p3,1,0.006197,7.492143,[14 39] ; [17 13],[19.79518072 33.20481928] ; [11.20481928 18.79518072],0
p4,1,0.008182,6.993224,[19 35] ; [19 10],[24.72289157 29.27710843] ; [13.27710843 15.72289157],0
p10,1,0.012896,6.183255,[28 26] ; [21  5],[33.075 20.925] ; [15.925 10.075],0
p5,1,0.037378,4.333099,[ 3 50] ; [ 6 23],[ 5.81707317 47.18292683] ; [ 3.18292683 25.81707317],0
v4,1,0.049347,3.863498,[34 19] ; [23  4],[37.7625 15.2375] ; [19.2375  7.7625],0
a7,1,0.105306,2.623295,[22 31] ; [18 12],[25.54216867 27.45783133] ; [14.45783133 15.54216867],0
p11,1,0.107864,2.585246,[32 22] ; [23  7],[35.35714286 18.64285714] ; [19.64285714 10.35714286],0
p6,1,0.115432,2.478225,[10 43] ; [10 19],[12.92682927 40.07317073] ; [ 7.07317073 21.92682927],0
a2,1,0.162049,1.955002,[ 5 49] ; [ 6 24],[ 7.07142857 46.92857143] ; [ 3.92857143 26.07142857],0
b4,1,0.166981,1.90984,[37 17] ; [16 14],[34.07142857 19.92857143] ; [18.92857143 11.07142857],0
n2,1,0.173023,1.856556,[13 10] ; [11  3],[14.91891892  8.08108108] ; [9.08108108 4.91891892],0
d1,1,0.188616,1.728395,[26 28] ; [10 20],[23.14285714 30.85714286] ; [12.85714286 17.14285714],0
p2,1,0.206613,1.595001,[35 18] ; [23  6],[37.48780488 15.51219512] ; [20.51219512  8.48780488],0
s6,1,0.217341,1.521842,[25 29] ; [ 9 19],[22.3902439 31.6097561] ; [11.6097561 16.3902439],0
p12,1,0.240399,1.378254,[ 1 53] ; [ 2 27],[ 1.95180723 52.04819277] ; [ 1.04819277 27.95180723],0
d5,1,0.250438,1.320858,[39 15] ; [18 12],[36.64285714 17.35714286] ; [20.35714286  9.64285714],0
s3,1,0.267506,1.229492,[21 32] ; [ 7 19],[18.78481013 34.21518987] ; [ 9.21518987 16.78481013],0
n3,1,0.275313,1.190083,[15  7] ; [7 7],[13.44444444  8.55555556] ; [8.55555556 5.44444444],0
s4,1,0.292599,1.107623,[ 8 46] ; [ 7 22],[ 9.75903614 44.24096386] ; [ 5.24096386 23.75903614],0
p9,1,0.294475,1.09905,[31 20] ; [21  8],[33.15 17.85] ; [18.85 10.15],0
b2,1,0.298291,1.081818,[12 21] ; [ 4 14],[10.35294118 22.64705882] ; [ 5.64705882 12.35294118],0
b3,1,0.298291,1.081818,[12 21] ; [ 4 14],[10.35294118 22.64705882] ; [ 5.64705882 12.35294118],0
s7,1,0.337621,0.919445,[16 34] ; [12 16],[17.94871795 32.05128205] ; [10.05128205 17.94871795],0
s8,1,0.378602,0.775235,[12 42] ; [ 9 20],[13.6626506 40.3373494] ; [ 7.3373494 21.6626506],0
s5,1,0.409034,0.681606,[10 43] ; [ 3 23],[ 8.72151899 44.27848101] ; [ 4.27848101 21.72151899],0
a3,1,0.426694,0.631804,[33 20] ; [16 14],[31.28915663 21.71084337] ; [17.71084337 12.28915663],0
a4,1,0.477612,0.504312,[20 33] ; [ 9 21],[18.51807229 34.48192771] ; [10.48192771 19.51807229],0
n1,1,0.514084,0.425745,[ 9 14] ; [ 4 10],[ 8.08108108 14.91891892] ; [4.91891892 9.08108108],0
p1,1,0.526485,0.40117,[ 5 49] ; [ 4 25],[ 5.85542169 48.14457831] ; [ 3.14457831 25.85542169],0
s1,1,0.541193,0.373333,[ 2 52] ; [ 2 28],[ 2.57142857 51.42857143] ; [ 1.42857143 28.57142857],0
u3,1,0.549141,0.358859,[ 6 15] ; [5 8],[ 6.79411765 14.20588235] ; [4.20588235 8.79411765],0
r2,1,0.559069,0.341319,[31 20] ; [14 12],[29.80519481 21.19480519] ; [15.19480519 10.80519481],0
b5,1,0.598976,0.276543,[32 22] ; [16 14],[30.85714286 23.14285714] ; [17.14285714 12.85714286],0
d2,1,0.615856,0.251736,[22 30] ; [11 19],[20.92682927 31.07317073] ; [12.07317073 17.92682927],0
a6,1,0.648807,0.207407,[26 28] ; [16 14],[27. 27.] ; [15. 15.],0
n5,1,0.712278,0.136012,[37 17] ; [21  8],[37.73493976 16.26506024] ; [20.26506024  8.73493976],0
d4,1,0.72591,0.1229,[39 14] ; [21  9],[38.31325301 14.68674699] ; [21.68674699  8.31325301],0
u2,1,0.725944,0.122868,[ 6 14] ; [5 9],[ 6.47058824 13.52941176] ; [4.52941176 9.47058824],0
n4,1,0.758166,0.094796,[36 18] ; [19 11],[35.35714286 18.64285714] ; [19.64285714 10.35714286],0
b1,1,0.793762,0.068345,[25 29] ; [13 17],[24.42857143 29.57142857] ; [13.57142857 16.42857143],0
v3,1,0.797648,0.065737,[14 40] ; [ 8 20],[14.48780488 39.51219512] ; [ 7.51219512 20.48780488],0
r3,1,0.823479,0.049762,[34 18] ; [19  9],[34.45 17.55] ; [18.55  9.45],0
a1,1,0.83661,0.042532,[ 3 51] ; [ 2 28],[ 3.21428571 50.78571429] ; [ 1.78571429 28.21428571],0
d3,1,0.844554,0.038444,[30 24] ; [16 14],[29.57142857 24.42857143] ; [16.42857143 13.57142857],0
r1,1,0.844785,0.038329,[16 38] ; [ 8 21],[15.61445783 38.38554217] ; [ 8.38554217 20.61445783],0
v2,1,0.878475,0.023379,[22 29] ; [12 17],[21.675 29.325] ; [12.325 16.675],0
