Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,5.3e-05,16.353146,[27 33] ; [14 78],[16.18421053 43.81578947] ; [24.81578947 67.18421053],1
v1,1,0.000111,14.946382,[39 22] ; [30 63],[27.33116883 33.66883117] ; [41.66883117 51.33116883],1
d5,1,0.000829,11.174286,[50 13] ; [50 44],[40.12738854 22.87261146] ; [59.87261146 34.12738854],1
s2,1,0.001223,10.455582,[33 30] ; [25 68],[23.42307692 39.57692308] ; [34.57692308 58.42307692],0
d1,1,0.013798,6.063855,[31 32] ; [28 66],[23.67515924 39.32484076] ; [35.32484076 58.67515924],0
r3,1,0.013939,6.045848,[56  6] ; [70 24],[50.07692308 11.92307692] ; [75.92307692 18.07692308],0
d4,1,0.038293,4.291945,[47 16] ; [55 39],[40.92993631 22.07006369] ; [61.07006369 32.92993631],0
a3,1,0.049919,3.844192,[45 18] ; [52 41],[39.17307692 23.82692308] ; [57.82692308 35.17307692],0
n3,1,0.069855,3.286421,[17  5] ; [21 18],[13.70491803  8.29508197] ; [24.29508197 14.70491803],0
a2,1,0.084474,2.976642,[ 2 61] ; [10 84],[ 4.81528662 58.18471338] ; [ 7.18471338 86.81528662],0
v4,1,0.102758,2.662214,[56  6] ; [75 18],[52.4  9.6] ; [78.6 14.4],0
p7,1,0.120206,2.414633,[33 26] ; [40 53],[28.33552632 30.66447368] ; [44.66447368 48.33552632],0
r2,1,0.120315,2.413222,[54  6] ; [75 18],[50.58823529  9.41176471] ; [78.41176471 14.58823529],0
a8,1,0.120735,2.407759,[ 3 57] ; [11 76],[ 5.71428571 54.28571429] ; [ 8.28571429 78.71428571],0
p4,1,0.121002,2.404299,[24 36] ; [26 67],[19.60784314 40.39215686] ; [30.39215686 62.60784314],0
r4,1,0.132082,2.267857,[48 15] ; [61 33],[43.7388535 19.2611465] ; [65.2611465 28.7388535],0
p10,1,0.138583,2.193625,[42 19] ; [53 40],[37.62987013 23.37012987] ; [57.37012987 35.62987013],0
p6,1,0.188832,1.726706,[17 42] ; [18 74],[13.67549669 45.32450331] ; [21.32450331 70.67549669],0
p8,1,0.207699,1.587395,[21 39] ; [24 70],[17.53246753 42.46753247] ; [27.46753247 66.53246753],0
u1,1,0.231898,1.429182,[ 1 62] ; [ 5 89],[ 2.40764331 60.59235669] ; [ 3.59235669 90.40764331],0
s1,1,0.241137,1.373937,[ 1 60] ; [ 5 88],[ 2.37662338 58.62337662] ; [ 3.62337662 89.37662338],0
d2,1,0.244271,1.355775,[31 32] ; [37 56],[27.46153846 35.53846154] ; [40.53846154 52.46153846],0
r1,1,0.245342,1.349632,[42 21] ; [54 40],[38.52229299 24.47770701] ; [57.47770701 36.52229299],0
p9,1,0.301571,1.067233,[44 17] ; [59 33],[41.06535948 19.93464052] ; [61.93464052 30.06535948],0
s6,1,0.322638,0.978223,[31 29] ; [40 52],[28.02631579 31.97368421] ; [42.97368421 49.02631579],0
p2,1,0.370949,0.800483,[43 19] ; [58 35],[40.4 21.6] ; [60.6 32.4],0
n5,1,0.417046,0.658625,[43 19] ; [70 23],[45.2 16.8] ; [67.8 25.2],0
n4,1,0.428679,0.626401,[44 18] ; [61 33],[41.73076923 20.26923077] ; [63.26923077 30.73076923],0
p11,1,0.470758,0.520197,[45 18] ; [62 32],[42.93630573 20.06369427] ; [64.06369427 29.93630573],0
s4,1,0.502414,0.449834,[ 7 55] ; [14 79],[ 8.4 53.6] ; [12.6 80.4],0
u2,1,0.525578,0.402935,[8 9] ; [16 26],[ 6.91525424 10.08474576] ; [17.08474576 24.91525424],0
s5,1,0.549592,0.358049,[16 43] ; [21 71],[14.45695364 44.54304636] ; [22.54304636 69.45695364],0
p5,1,0.55328,0.351474,[ 4 58] ; [ 4 89],[ 3.2 58.8] ; [ 4.8 88.2],0
s8,1,0.56581,0.329743,[20 42] ; [26 67],[18.4 43.6] ; [27.6 65.4],0
d3,1,0.567813,0.326355,[27 36] ; [36 58],[25.28025478 37.71974522] ; [37.71974522 56.28025478],0
n1,1,0.57075,0.321429,[ 6 15] ; [15 27],[ 7. 14.] ; [14. 28.],0
b1,1,0.579766,0.306613,[26 37] ; [43 51],[27.68789809 35.31210191] ; [41.31210191 52.68789809],0
a6,1,0.656038,0.198372,[25 38] ; [34 60],[23.67515924 39.32484076] ; [35.32484076 58.67515924],0
a4,1,0.688738,0.160455,[24 39] ; [38 54],[25.2 37.8] ; [36.8 55.2],0
p1,1,0.743506,0.107069,[ 2 60] ; [ 4 90],[ 2.38461538 59.61538462] ; [ 3.61538462 90.38461538],0
