Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000579,11.843365,[65  7] ; [24 14],[58.25454545 13.74545455] ; [30.74545455  7.25454545],1
p11,1,0.002333,9.267016,[54 19] ; [17 21],[46.69369369 26.30630631] ; [24.30630631 13.69369369],0
r4,1,0.003352,8.605059,[58 15] ; [20 18],[51.2972973 21.7027027] ; [26.7027027 11.2972973],0
a7,1,0.006293,7.46456,[43 30] ; [12 26],[36.17117117 36.82882883] ; [18.82882883 19.17117117],0
v2,1,0.009487,6.728778,[27 42] ; [ 5 30],[21.23076923 47.76923077] ; [10.76923077 24.23076923],0
v4,1,0.01387,6.05465,[65  8] ; [26 11],[60.39090909 12.60909091] ; [30.60909091  6.39090909],0
p10,1,0.024762,5.040427,[43 28] ; [14 23],[37.47222222 33.52777778] ; [19.52777778 17.47222222],0
a4,1,0.027411,4.864766,[10 62] ; [12 26],[14.4 57.6] ; [ 7.6 30.4],0
s8,1,0.032388,4.57784,[18 55] ; [ 3 35],[13.81081081 59.18918919] ; [ 7.18918919 30.81081081],0
a6,1,0.070857,3.263047,[42 31] ; [15 23],[37.48648649 35.51351351] ; [19.51351351 18.48648649],0
r1,1,0.078889,3.087638,[49 24] ; [19 19],[44.72072072 28.27927928] ; [23.27927928 14.72072072],0
s6,1,0.097749,2.741892,[35 38] ; [12 26],[30.90990991 42.09009009] ; [16.09009009 21.90990991],0
r2,1,0.100772,2.693278,[63 10] ; [28 10],[59.84684685 13.15315315] ; [31.15315315  6.84684685],0
p6,1,0.104952,2.628628,[14 57] ; [ 3 35],[11.0733945 59.9266055] ; [ 5.9266055 32.0733945],0
b1,1,0.149727,2.075033,[28 45] ; [20 18],[31.56756757 41.43243243] ; [16.43243243 21.56756757],0
p1,1,0.178646,1.808856,[ 7 66] ; [ 1 37],[ 5.26126126 67.73873874] ; [ 2.73873874 35.26126126],0
n1,1,0.182813,1.774604,[ 6 16] ; [ 9 10],[ 8.04878049 13.95121951] ; [ 6.95121951 12.04878049],0
a1,1,0.186948,1.741507,[ 3 70] ; [ 4 34],[ 4.6036036 68.3963964] ; [ 2.3963964 35.6036036],0
s5,1,0.20021,1.640841,[15 56] ; [ 4 32],[12.60747664 58.39252336] ; [ 6.39252336 29.60747664],0
n4,1,0.229731,1.442528,[47 26] ; [20 18],[44.06306306 28.93693694] ; [22.93693694 15.06306306],0
u1,1,0.230055,1.440519,[ 1 72] ; [ 2 36],[ 1.97297297 71.02702703] ; [ 1.02702703 36.97297297],0
b4,1,0.246429,1.343435,[43 30] ; [18 20],[40.11711712 32.88288288] ; [20.88288288 17.11711712],0
v3,1,0.278455,1.174615,[18 53] ; [ 6 31],[15.77777778 55.22222222] ; [ 8.22222222 28.77777778],0
s7,1,0.28776,1.130072,[19 51] ; [ 6 28],[16.82692308 53.17307692] ; [ 8.17307692 25.82692308],0
p9,1,0.309405,1.033216,[48 24] ; [21 16],[45.57798165 26.42201835] ; [23.42201835 13.57798165],0
v1,1,0.313808,1.014579,[29 41] ; [12 26],[26.57407407 43.42592593] ; [14.42592593 23.57407407],0
p5,1,0.343552,0.897131,[ 5 67] ; [ 1 37],[ 3.92727273 68.07272727] ; [ 2.07272727 35.92727273],0
p2,1,0.360422,0.836422,[45 28] ; [20 18],[42.74774775 30.25225225] ; [22.25225225 15.74774775],0
p4,1,0.398609,0.712519,[21 51] ; [ 8 29],[19.1559633 52.8440367] ; [ 9.8440367 27.1559633],0
a5,1,0.398742,0.712117,[29 44] ; [12 26],[26.96396396 46.03603604] ; [14.03603604 23.96396396],0
p7,1,0.402348,0.701299,[30 42] ; [12 24],[28. 44.] ; [14. 22.],0
d1,1,0.402699,0.700252,[ 3 70] ; [ 3 35],[ 3.94594595 69.05405405] ; [ 2.05405405 35.94594595],0
b5,1,0.457342,0.552392,[40 33] ; [18 20],[38.14414414 34.85585586] ; [19.85585586 18.14414414],0
s1,1,0.466562,0.530106,[ 4 66] ; [ 1 37],[ 3.24074074 66.75925926] ; [ 1.75925926 36.24074074],0
n5,1,0.525166,0.403737,[46 27] ; [21 16],[44.46363636 28.53636364] ; [22.53636364 14.46363636],0
u2,1,0.54779,0.36129,[15 21] ; [10 10],[16.07142857 19.92857143] ; [ 8.92857143 11.07142857],0
s3,1,0.589441,0.291218,[34 38] ; [20 18],[35.34545455 36.65454545] ; [18.65454545 19.34545455],0
d2,1,0.603674,0.269491,[16 57] ; [10 28],[17.0990991 55.9009009] ; [ 8.9009009 29.0990991],0
s2,1,0.604888,0.267687,[24 47] ; [11 27],[22.79816514 48.20183486] ; [12.20183486 25.79816514],0
a2,1,0.619382,0.246737,[ 4 69] ; [ 3 35],[ 4.6036036 68.3963964] ; [ 2.3963964 35.6036036],0
d3,1,0.658981,0.194764,[32 41] ; [15 23],[30.90990991 42.09009009] ; [16.09009009 21.90990991],0
n2,1,0.703004,0.145366,[17  6] ; [15  4],[17.52380952  5.47619048] ; [14.47619048  4.52380952],0
u3,1,0.769866,0.085586,[17 20] ; [10 10],[17.52631579 19.47368421] ; [ 9.47368421 10.52631579],0
n3,1,0.78146,0.07696,[15  7] ; [13  5],[15.4  6.6] ; [12.6  5.4],0
b3,1,0.802676,0.062443,[16 28] ; [ 8 16],[15.52941176 28.47058824] ; [ 8.47058824 15.52941176],0
b2,1,0.802676,0.062443,[16 28] ; [ 8 16],[15.52941176 28.47058824] ; [ 8.47058824 15.52941176],0
p3,1,0.814151,0.05526,[14 59] ; [ 8 30],[14.46846847 58.53153153] ; [ 7.53153153 30.46846847],0
d4,1,0.836962,0.042346,[39 34] ; [19 18],[38.49090909 34.50909091] ; [19.50909091 17.49090909],0
a8,1,0.839135,0.041209,[ 9 61] ; [ 5 30],[ 9.33333333 60.66666667] ; [ 4.66666667 30.33333333],0
s4,1,0.923023,0.009337,[14 59] ; [ 7 31],[13.81081081 59.18918919] ; [ 7.18918919 30.81081081],0
a3,1,0.997038,1.4e-05,[35 37] ; [18 19],[35.00917431 36.99082569] ; [17.99082569 19.00917431],0
