Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,64.651145,[56 38] ; [ 46 230],[25.91351351 68.08648649] ; [ 76.08648649 199.91351351],1
s6,1,7.8e-05,15.603069,[61 35] ; [114 169],[44.32717678 51.67282322] ; [130.67282322 152.32717678],1
p6,1,0.000483,12.180451,[42 53] ; [ 72 213],[28.5 66.5] ; [ 85.5 199.5],1
s3,1,0.001895,9.648605,[33 64] ; [ 53 230],[21.95263158 75.04736842] ; [ 64.04736842 218.95263158],0
n4,1,0.002532,9.117018,[85 12] ; [209  79],[74.07272727 22.92727273] ; [219.92727273  68.07272727],0
r1,1,0.005434,7.729013,[82 14] ; [205  83],[71.75 24.25] ; [215.25  72.75],0
p7,1,0.012475,6.242147,[67 29] ; [157 127],[56.58947368 39.41052632] ; [167.41052632 116.58947368],0
p10,1,0.018265,5.570581,[82 13] ; [212  72],[73.6939314 21.3060686] ; [220.3060686  63.6939314],0
d2,1,0.02461,5.051136,[51 46] ; [113 173],[41.53524804 55.46475196] ; [122.46475196 163.53524804],0
v3,1,0.024777,5.039375,[43 52] ; [ 92 191],[33.92857143 61.07142857] ; [101.07142857 181.92857143],0
p9,1,0.024862,5.033476,[85 11] ; [221  62],[77.50923483 18.49076517] ; [228.49076517  54.50923483],0
p8,1,0.025646,4.979696,[57 37] ; [135 150],[47.62005277 46.37994723] ; [144.37994723 140.62005277],0
a3,1,0.027677,4.84809,[72 25] ; [177 109],[63.06266319 33.93733681] ; [185.93733681 100.06266319],0
p12,1,0.032394,4.577538,[ 9 86] ; [ 11 276],[ 4.97382199 90.02617801] ; [ 15.02617801 271.97382199],0
p3,1,0.035689,4.411918,[53 44] ; [122 166],[44.09090909 52.90909091] ; [130.90909091 157.09090909],0
s5,1,0.047857,3.915013,[25 69] ; [ 49 235],[18.4021164 75.5978836] ; [ 55.5978836 228.4021164],0
r4,1,0.059535,3.550282,[89  8] ; [243  46],[83.43005181 13.56994819] ; [248.56994819  40.43005181],0
u2,1,0.078865,3.088142,[16  9] ; [49 61],[12.03703704 12.96296296] ; [52.96296296 57.03703704],0
a8,1,0.092095,2.837374,[15 72] ; [ 27 232],[10.56069364 76.43930636] ; [ 31.43930636 227.56069364],0
a5,1,0.092881,2.823711,[73 24] ; [191  98],[66.34196891 30.65803109] ; [197.65803109  91.34196891],0
p5,1,0.10437,2.63747,[14 83] ; [ 25 263],[ 9.82597403 87.17402597] ; [ 29.17402597 258.82597403],0
b5,1,0.105664,2.61791,[50 47] ; [176 113],[56.79274611 40.20725389] ; [169.20725389 119.79274611],0
d1,1,0.127423,2.323622,[57 40] ; [144 145],[50.51036269 46.48963731] ; [150.48963731 138.51036269],0
b3,1,0.130277,2.2892,[31 38] ; [ 55 105],[25.91266376 43.08733624] ; [60.08733624 99.91266376],0
b2,1,0.130277,2.2892,[31 38] ; [ 55 105],[25.91266376 43.08733624] ; [60.08733624 99.91266376],0
s1,1,0.156914,2.003719,[ 3 93] ; [  3 283],[ 1.5078534 94.4921466] ; [  4.4921466 281.5078534],0
d4,1,0.167311,1.906869,[80 17] ; [218  70],[75.08051948 21.91948052] ; [222.91948052  65.08051948],0
p4,1,0.17898,1.806075,[57 40] ; [145 140],[51.29319372 45.70680628] ; [150.70680628 134.29319372],0
n5,1,0.211412,1.561729,[77 19] ; [212  75],[72.4386423 23.5613577] ; [216.5613577  70.4386423],0
u1,1,0.229961,1.441105,[16 81] ; [ 34 255],[12.56476684 84.43523316] ; [ 37.43523316 251.56476684],0
