Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,8.9e-05,15.365079,[47 25] ; [17 39],[36. 36.] ; [28. 28.],1
a6,1,0.000124,14.732151,[49 23] ; [19 37],[38.25 33.75] ; [29.75 26.25],1
d5,1,0.002011,9.539478,[56 16] ; [29 27],[47.8125 24.1875] ; [37.1875 18.8125],0
d4,1,0.002119,9.443406,[60 12] ; [33 23],[52.3125 19.6875] ; [40.6875 15.3125],0
u1,1,0.003437,8.559812,[13 59] ; [ 1 55],[ 7.875 64.125] ; [ 6.125 49.875],0
a5,1,0.004713,7.986423,[50 22] ; [25 31],[42.1875 29.8125] ; [32.8125 23.1875],0
r1,1,0.004713,7.986423,[50 22] ; [25 31],[42.1875 29.8125] ; [32.8125 23.1875],0
a2,1,0.004778,7.961434,[17 55] ; [ 3 53],[11.25 60.75] ; [ 8.75 47.25],0
b5,1,0.005146,7.827422,[51 21] ; [26 30],[43.3125 28.6875] ; [33.6875 22.3125],0
d1,1,0.006098,7.52099,[42 30] ; [19 37],[34.3125 37.6875] ; [26.6875 29.3125],0
a3,1,0.106505,2.605324,[45 25] ; [28 28],[40.55555556 29.44444444] ; [32.44444444 23.55555556],0
p11,1,0.141384,2.162826,[33 39] ; [33 23],[37.125 34.875] ; [28.875 27.125],0
b4,1,0.145281,2.121109,[44 28] ; [27 29],[39.9375 32.0625] ; [31.0625 24.9375],0
v4,1,0.152817,2.043908,[58 14] ; [39 17],[54.5625 17.4375] ; [42.4375 13.5625],0
p9,1,0.173994,1.848192,[41 29] ; [24 28],[37.29508197 32.70491803] ; [27.70491803 24.29508197],0
p10,1,0.187581,1.736512,[40 31] ; [24 30],[36.352 34.648] ; [27.648 26.352],0
b1,1,0.188348,1.730489,[34 38] ; [33 23],[37.6875 34.3125] ; [29.3125 26.6875],0
v2,1,0.190062,1.71714,[31 40] ; [17 36],[27.48387097 43.51612903] ; [20.51612903 32.48387097],0
p3,1,0.192273,1.700111,[24 47] ; [13 43],[20.68503937 50.31496063] ; [16.31496063 39.68503937],0
p12,1,0.193648,1.689644,[ 1 71] ; [ 3 52],[ 2.26771654 69.73228346] ; [ 1.73228346 53.26771654],0
n4,1,0.238381,1.390142,[46 26] ; [30 26],[42.75 29.25] ; [33.25 22.75],0
u2,1,0.267938,1.227273,[13 14] ; [ 9 18],[11. 16.] ; [11. 16.],0
p1,1,0.280648,1.163949,[ 4 68] ; [ 6 50],[ 5.625 66.375] ; [ 4.375 51.625],0
a8,1,0.282505,1.154998,[ 9 60] ; [ 4 52],[ 7.176 61.824] ; [ 5.824 50.176],0
r4,1,0.302248,1.064248,[50 22] ; [34 22],[47.25 24.75] ; [36.75 19.25],0
b3,1,0.30344,1.059015,[14 33] ; [15 22],[16.22619048 30.77380952] ; [12.77380952 24.22619048],0
b2,1,0.30344,1.059015,[14 33] ; [15 22],[16.22619048 30.77380952] ; [12.77380952 24.22619048],0
n3,1,0.366909,0.814108,[21 10] ; [14 11],[19.375 11.625] ; [15.625  9.375],0
u4,1,0.418126,0.655577,[ 1 71] ; [ 2 54],[ 1.6875 70.3125] ; [ 1.3125 54.6875],0
r3,1,0.430319,0.621963,[57 15] ; [41 15],[55.125 16.875] ; [42.875 13.125],0
p5,1,0.43652,0.605412,[ 3 67] ; [ 1 54],[ 2.24 67.76] ; [ 1.76 53.24],0
s5,1,0.438292,0.600751,[13 55] ; [13 39],[14.73333333 53.26666667] ; [11.26666667 40.73333333],0
s3,1,0.568409,0.325352,[32 39] ; [22 33],[30.42857143 40.57142857] ; [23.57142857 31.42857143],0
v1,1,0.637824,0.221599,[21 49] ; [19 37],[22.22222222 47.77777778] ; [17.77777778 38.22222222],0
s1,1,0.656305,0.198043,[ 5 67] ; [ 5 50],[ 5.66929134 66.33070866] ; [ 4.33070866 50.66929134],0
p7,1,0.661878,0.191251,[25 46] ; [17 37],[23.856 47.144] ; [18.144 35.856],0
n6,1,0.66538,0.187053,[47 24] ; [35 21],[45.84251969 25.15748031] ; [36.15748031 19.84251969],0
r2,1,0.682381,0.167458,[58 12] ; [44 11],[57.12 12.88] ; [44.88 10.12],0
a4,1,0.715064,0.133271,[32 39] ; [23 32],[30.99206349 40.00793651] ; [24.00793651 30.99206349],0
p8,1,0.737438,0.112391,[17 54] ; [12 44],[16.21259843 54.78740157] ; [12.78740157 43.21259843],0
s6,1,0.743386,0.107173,[31 40] ; [22 32],[30.104 40.896] ; [22.896 31.104],0
s8,1,0.772287,0.083744,[18 54] ; [15 40],[18.70866142 53.29133858] ; [14.29133858 40.70866142],0
n2,1,0.785943,0.073757,[22 10] ; [17  9],[21.51724138 10.48275862] ; [17.48275862  8.51724138],0
a1,1,0.803385,0.061985,[ 6 66] ; [ 4 52],[ 5.625 66.375] ; [ 4.375 51.625],0
p6,1,0.814073,0.055307,[12 59] ; [10 44],[12.496 58.504] ; [ 9.504 44.496],0
s2,1,0.822163,0.050519,[24 47] ; [20 36],[24.5984252 46.4015748] ; [19.4015748 36.5984252],0
s7,1,0.890097,0.019094,[19 50] ; [14 39],[18.66393443 50.33606557] ; [14.33606557 38.66393443],0
u3,1,0.898389,0.016306,[13 14] ; [13 15],[12.76363636 14.23636364] ; [13.23636364 14.76363636],0
n1,1,0.932731,0.007125,[15 17] ; [12 13],[15.15789474 16.84210526] ; [11.84210526 13.15789474],0
n5,1,0.935356,0.006579,[44 28] ; [34 21],[44.22047244 27.77952756] ; [33.77952756 21.22047244],0
d2,1,0.95885,0.002662,[33 39] ; [25 29],[33.14285714 38.85714286] ; [24.85714286 29.14285714],0
s4,1,0.967077,0.001704,[15 56] ; [12 44],[15.09448819 55.90551181] ; [11.90551181 44.09448819],0
p4,1,0.992572,8.7e-05,[21 51] ; [16 39],[20.97637795 51.02362205] ; [16.02362205 38.97637795],0
