Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000712,11.458462,[ 7 20] ; [17  6],[12.96 14.04] ; [11.04 11.96],1
v3,1,0.027737,4.844337,[ 7 20] ; [13 10],[10.8 16.2] ; [ 9.2 13.8],0
n4,1,0.053885,3.716258,[17 10] ; [20  3],[19.98  7.02] ; [17.02  5.98],0
a5,1,0.063816,3.435319,[13 14] ; [17  6],[16.2 10.8] ; [13.8  9.2],0
p10,1,0.074505,3.180877,[15 12] ; [ 7 16],[11.88 15.12] ; [10.12 12.88],0
n3,1,0.13057,2.285714,[6 2] ; [3 5],[4.5 3.5] ; [4.5 3.5],0
u1,1,0.183891,1.765894,[ 4 23] ; [ 7 16],[ 5.94 21.06] ; [ 5.06 17.94],0
n6,1,0.183891,1.765894,[23  4] ; [16  7],[21.06  5.94] ; [17.94  5.06],0
a2,1,0.183891,1.765894,[ 4 23] ; [ 7 16],[ 5.94 21.06] ; [ 5.06 17.94],0
p5,1,0.225026,1.47203,[ 1 26] ; [ 3 20],[ 2.16 24.84] ; [ 1.84 21.16],0
s1,1,0.225026,1.47203,[ 1 26] ; [ 3 20],[ 2.16 24.84] ; [ 1.84 21.16],0
d3,1,0.275633,1.188498,[16 11] ; [17  6],[17.82  9.18] ; [15.18  7.82],0
a4,1,0.297147,1.086957,[ 9 18] ; [11 12],[10.8 16.2] ; [ 9.2 13.8],0
a6,1,0.309064,1.034669,[15 12] ; [16  7],[16.74 10.26] ; [14.26  8.74],0
a3,1,0.309259,1.033839,[19  8] ; [13 10],[17.28  9.72] ; [14.72  8.28],0
p11,1,0.309259,1.033839,[19  8] ; [13 10],[17.28  9.72] ; [14.72  8.28],0
b2,1,0.311185,1.025641,[ 5 15] ; [ 8 12],[ 6.5 13.5] ; [ 6.5 13.5],0
b3,1,0.311185,1.025641,[ 5 15] ; [ 8 12],[ 6.5 13.5] ; [ 6.5 13.5],0
n2,1,0.312132,1.021635,[6 3] ; [7 1],[6.88235294 2.11764706] ; [6.11764706 1.88235294],0
p3,1,0.363141,0.827002,[ 7 19] ; [ 9 14],[ 8.48979592 17.51020408] ; [ 7.51020408 15.48979592],0
a1,1,0.379631,0.771897,[ 3 24] ; [ 1 22],[ 2.16 24.84] ; [ 1.84 21.16],0
p1,1,0.379631,0.771897,[ 3 24] ; [ 1 22],[ 2.16 24.84] ; [ 1.84 21.16],0
d2,1,0.418833,0.653587,[11 16] ; [12 11],[12.42 14.58] ; [10.58 12.42],0
s4,1,0.424837,0.636896,[ 7 19] ; [ 4 19],[ 5.83673469 20.16326531] ; [ 5.16326531 17.83673469],0
b1,1,0.441074,0.593486,[17 10] ; [12 11],[15.66 11.34] ; [13.34  9.66],0
n5,1,0.449246,0.572553,[16 11] ; [16  7],[17.28  9.72] ; [14.72  8.28],0
p7,1,0.481728,0.494949,[15 12] ; [10 12],[13.7755102 13.2244898] ; [11.2244898 10.7755102],0
s2,1,0.522022,0.409896,[14 13] ; [14  9],[15.12 11.88] ; [12.88 10.12],0
v4,1,0.543215,0.369613,[23  4] ; [20  2],[23.69387755  3.30612245] ; [19.30612245  2.69387755],0
s5,1,0.551346,0.354912,[ 7 19] ; [ 8 15],[ 7.95918367 18.04081633] ; [ 7.04081633 15.95918367],0
s6,1,0.623298,0.241259,[17 10] ; [16  7],[17.82  9.18] ; [15.18  7.82],0
a7,1,0.670379,0.181159,[18  9] ; [14  9],[17.28  9.72] ; [14.72  8.28],0
b4,1,0.670379,0.181159,[18  9] ; [14  9],[17.28  9.72] ; [14.72  8.28],0
s3,1,0.697051,0.151558,[19  8] ; [15  8],[18.36  8.64] ; [15.64  7.36],0
b5,1,0.70436,0.143976,[15 12] ; [14  9],[15.66 11.34] ; [13.34  9.66],0
a8,1,0.716743,0.131634,[ 3 22] ; [ 3 16],[ 3.40909091 21.59090909] ; [ 2.59090909 16.40909091],0
r4,1,0.729729,0.11936,[20  7] ; [18  5],[20.52  6.48] ; [17.48  5.52],0
d4,1,0.729729,0.11936,[20  7] ; [18  5],[20.52  6.48] ; [17.48  5.52],0
p4,1,0.7766,0.080515,[13 14] ; [12 11],[13.5 13.5] ; [11.5 11.5],0
d1,1,0.7766,0.080515,[13 14] ; [12 11],[13.5 13.5] ; [11.5 11.5],0
s8,1,0.811014,0.057178,[12 15] ; [11 12],[12.42 14.58] ; [10.58 12.42],0
r3,1,0.834007,0.043917,[24  3] ; [20  3],[23.76  3.24] ; [20.24  2.76],0
p8,1,0.845025,0.038208,[11 16] ; [10 13],[11.34 15.66] ; [ 9.66 13.34],0
p6,1,0.855858,0.032997,[ 8 19] ; [ 6 16],[ 7.71428571 19.28571429] ; [ 6.28571429 15.71428571],0
r2,1,0.867096,0.028005,[25  2] ; [21  2],[24.84  2.16] ; [21.16  1.84],0
u2,1,0.913906,0.011688,[5 3] ; [6 4],[4.88888889 3.11111111] ; [6.11111111 3.88888889],0
u3,1,0.913906,0.011688,[5 3] ; [6 4],[4.88888889 3.11111111] ; [6.11111111 3.88888889],0
p2,1,0.914138,0.011625,[18  9] ; [15  8],[17.82  9.18] ; [15.18  7.82],0
d5,1,0.967217,0.001689,[21  6] ; [18  5],[21.06  5.94] ; [17.94  5.06],0
r1,1,0.967217,0.001689,[21  6] ; [18  5],[21.06  5.94] ; [17.94  5.06],0
n1,1,1.0,0.0,[5 3] ; [5 3],[5. 3.] ; [5. 3.],0
