Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.001412,10.189474,[17  1] ; [2 4],[14.25  3.75] ; [4.75 1.25],0
n4,1,0.011412,6.4,[17  1] ; [3 3],[15.  3.] ; [5. 1.],0
n6,1,0.011412,6.4,[17  1] ; [3 3],[15.  3.] ; [5. 1.],0
s5,1,0.033277,4.531469,[12  6] ; [1 5],[9.75 8.25] ; [3.25 2.75],0
s2,1,0.059346,3.555556,[11  7] ; [1 5],[9. 9.] ; [3. 3.],0
p7,1,0.132391,2.264245,[11  5] ; [2 4],[9.45454545 6.54545455] ; [3.54545455 2.45454545],0
s7,1,0.18262,1.776169,[11  6] ; [2 4],[9.60869565 7.39130435] ; [3.39130435 2.60869565],0
r1,1,0.194835,1.680672,[14  4] ; [3 3],[12.75  5.25] ; [4.25 1.75],0
r3,1,0.205903,1.6,[16  2] ; [4 2],[15.  3.] ; [5. 1.],0
n5,1,0.205903,1.6,[16  2] ; [4 2],[15.  3.] ; [5. 1.],0
d5,1,0.223543,1.481481,[10  8] ; [5 1],[11.25  6.75] ; [3.75 2.25],0
b4,1,0.223543,1.481481,[10  8] ; [5 1],[11.25  6.75] ; [3.75 2.25],0
u3,1,0.259796,1.269841,[2 5] ; [2 1],[2.8 4.2] ; [1.2 1.8],0
s3,1,0.28255,1.154783,[10  7] ; [2 4],[8.86956522 8.13043478] ; [3.13043478 2.86956522],0
p6,1,0.32179,0.981658,[ 8 10] ; [1 4],[ 7.04347826 10.95652174] ; [1.95652174 3.04347826],0
v3,1,0.345779,0.888889,[10  8] ; [2 4],[9. 9.] ; [3. 3.],0
s8,1,0.345779,0.888889,[10  8] ; [2 4],[9. 9.] ; [3. 3.],0
n1,1,0.414216,0.666667,[1 2] ; [2 1],[1.5 1.5] ; [1.5 1.5],0
v1,1,0.423206,0.641394,[14  4] ; [3 2],[13.30434783  4.69565217] ; [3.69565217 1.30434783],0
a5,1,0.436661,0.605042,[12  6] ; [5 1],[12.75  5.25] ; [4.25 1.75],0
a4,1,0.465209,0.533333,[ 6 12] ; [3 3],[ 6.75 11.25] ; [2.25 3.75],0
p8,1,0.465209,0.533333,[12  6] ; [3 3],[11.25  6.75] ; [3.75 2.25],0
d3,1,0.465209,0.533333,[12  6] ; [3 3],[11.25  6.75] ; [3.75 2.25],0
a6,1,0.477968,0.503497,[9 9] ; [2 4],[8.25 9.75] ; [2.75 3.25],0
u2,1,0.490153,0.47619,[4 3] ; [1 2],[3.5 3.5] ; [1.5 1.5],0
p2,1,0.566501,0.328571,[12  6] ; [4 1],[12.52173913  5.47826087] ; [3.47826087 1.52173913],0
p11,1,0.586214,0.296296,[13  5] ; [5 1],[13.5  4.5] ; [4.5 1.5],0
p12,1,0.601598,0.272593,[ 2 16] ; [1 4],[ 2.34782609 15.65217391] ; [0.65217391 4.34782609],0
b2,1,0.605242,0.267161,[5 9] ; [2 2],[5.44444444 8.55555556] ; [1.55555556 2.44444444],0
b3,1,0.605242,0.267161,[5 9] ; [2 2],[5.44444444 8.55555556] ; [1.55555556 2.44444444],0
v2,1,0.632585,0.228571,[ 7 11] ; [3 3],[ 7.5 10.5] ; [2.5 3.5],0
a3,1,0.632585,0.228571,[11  7] ; [3 3],[10.5  7.5] ; [3.5 2.5],0
b5,1,0.632585,0.228571,[10  8] ; [4 2],[10.5  7.5] ; [3.5 2.5],0
p4,1,0.707787,0.140498,[10  7] ; [3 3],[9.60869565 7.39130435] ; [3.39130435 2.60869565],0
v4,1,0.72158,0.126984,[16  2] ; [5 1],[15.75  2.25] ; [5.25 0.75],0
a2,1,0.72158,0.126984,[ 2 16] ; [1 5],[ 2.25 15.75] ; [0.75 5.25],0
d4,1,0.771671,0.084211,[14  4] ; [5 1],[14.25  3.75] ; [4.75 1.25],0
d2,1,0.813025,0.055944,[ 8 10] ; [3 3],[8.25 9.75] ; [2.75 3.25],0
d1,1,1.0,0.0,[9 9] ; [3 3],[9. 9.] ; [3. 3.],0
a7,1,1.0,0.0,[12  6] ; [4 2],[12.  6.] ; [4. 2.],0
b1,1,1.0,0.0,[9 9] ; [3 3],[9. 9.] ; [3. 3.],0
