Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,40.166475,[35 31] ; [71  1],[50.69565217 15.30434783] ; [55.30434783 16.69565217],1
r2,1,0.0,31.715594,[32 32] ; [67  5],[46.58823529 17.41176471] ; [52.41176471 19.58823529],1
v4,1,0.0,30.533553,[40 25] ; [71  1],[52.66423358 12.33576642] ; [58.33576642 13.66423358],1
n6,1,1.1e-05,19.308764,[36 31] ; [63  9],[47.71942446 19.28057554] ; [51.28057554 20.71942446],1
b1,1,0.001028,10.776922,[39 28] ; [22 50],[29.4028777 37.5971223] ; [31.5971223 40.4028777],0
p10,1,0.004215,8.18879,[32 31] ; [53 18],[39.96268657 23.03731343] ; [45.03731343 25.96268657],0
p9,1,0.00941,6.743257,[41 24] ; [58 12],[47.66666667 17.33333333] ; [51.33333333 18.66666667],0
a7,1,0.011105,6.44838,[28 39] ; [45 26],[35.44202899 31.55797101] ; [37.55797101 33.44202899],0
p11,1,0.02381,5.108394,[36 31] ; [52 20],[42.41726619 24.58273381] ; [45.58273381 26.41726619],0
b5,1,0.024283,5.074329,[34 33] ; [50 22],[40.48920863 26.51079137] ; [43.51079137 28.48920863],0
d5,1,0.039338,4.246211,[26 41] ; [40 31],[32.04347826 34.95652174] ; [33.95652174 37.04347826],0
p3,1,0.066678,3.362957,[18 49] ; [30 42],[23.13669065 43.86330935] ; [24.86330935 47.13669065],0
s2,1,0.066678,3.362957,[18 49] ; [30 42],[23.13669065 43.86330935] ; [24.86330935 47.13669065],0
s5,1,0.067085,3.352943,[ 8 57] ; [17 52],[12.12686567 52.87313433] ; [12.87313433 56.12686567],0
d2,1,0.079787,3.069245,[15 52] ; [ 8 63],[11.16666667 55.83333333] ; [11.83333333 59.16666667],0
a8,1,0.082819,3.008703,[ 4 59] ; [11 58],[ 7.15909091 55.84090909] ; [ 7.84090909 61.15909091],0
p2,1,0.101514,2.68159,[42 24] ; [55 17],[46.39130435 19.60869565] ; [50.60869565 21.39130435],0
b4,1,0.112183,2.523201,[31 36] ; [43 29],[35.66906475 31.33093525] ; [38.33093525 33.66906475],0
n2,1,0.115058,2.48334,[17 10] ; [16  3],[19.36956522  7.63043478] ; [13.63043478  5.36956522],0
p4,1,0.1225,2.385061,[23 44] ; [34 38],[27.47482014 39.52517986] ; [29.52517986 42.47482014],0
s6,1,0.137323,2.2077,[25 42] ; [34 34],[29.28148148 37.71851852] ; [29.71851852 38.28148148],0
s3,1,0.160417,1.970287,[23 42] ; [34 38],[27.04379562 37.95620438] ; [29.95620438 42.04379562],0
p5,1,0.162382,1.951905,[ 3 62] ; [ 8 64],[ 5.2189781 59.7810219] ; [ 5.7810219 66.2189781],0
d3,1,0.180461,1.793821,[18 48] ; [27 44],[21.67883212 44.32116788] ; [23.32116788 47.67883212],0
d4,1,0.199644,1.644973,[29 38] ; [39 33],[32.77697842 34.22302158] ; [35.22302158 36.77697842],0
p6,1,0.214854,1.538414,[13 52] ; [21 51],[16.13138686 48.86861314] ; [17.86861314 54.13138686],0
s7,1,0.218996,1.51094,[16 48] ; [24 45],[19.2481203 44.7518797] ; [20.7518797 48.2481203],0
a4,1,0.270308,1.215181,[10 57] ; [16 56],[12.5323741 54.4676259] ; [13.4676259 58.5323741],0
a1,1,0.285694,1.139801,[ 7 60] ; [ 4 68],[ 5.30215827 61.69784173] ; [ 5.69784173 66.30215827],0
p12,1,0.29523,1.095618,[ 2 64] ; [ 5 67],[ 3.34782609 62.65217391] ; [ 3.65217391 68.34782609],0
s1,1,0.354765,0.85634,[ 4 63] ; [ 2 70],[ 2.89208633 64.10791367] ; [ 3.10791367 68.89208633],0
a6,1,0.358126,0.844454,[32 35] ; [40 32],[34.70503597 32.29496403] ; [37.29496403 34.70503597],0
n3,1,0.362391,0.829591,[18  9] ; [15  4],[19.36956522  7.63043478] ; [13.63043478  5.36956522],0
s8,1,0.408522,0.683097,[12 55] ; [17 55],[13.97841727 53.02158273] ; [15.02158273 56.97841727],0
v3,1,0.434212,0.61153,[12 54] ; [17 55],[13.86956522 52.13043478] ; [15.13043478 56.86956522],0
n1,1,0.456057,0.555556,[12 15] ; [ 6 12],[10.8 16.2] ; [ 7.2 10.8],0
a2,1,0.456201,0.555198,[ 2 65] ; [ 4 68],[ 2.89208633 64.10791367] ; [ 3.10791367 68.89208633],0
u3,1,0.48942,0.477801,[12 26] ; [16 25],[13.46835443 24.53164557] ; [14.53164557 26.46835443],0
p8,1,0.536156,0.382711,[25 41] ; [31 41],[26.7826087 39.2173913] ; [29.2173913 42.7826087],0
u2,1,0.551696,0.354287,[16 22] ; [20 21],[17.3164557 20.6835443] ; [18.6835443 22.3164557],0
v1,1,0.597365,0.278988,[21 44] ; [26 45],[22.46323529 42.53676471] ; [24.53676471 46.46323529],0
n4,1,0.598628,0.277071,[38 29] ; [44 28],[39.52517986 27.47482014] ; [42.47482014 29.52517986],0
u1,1,0.602344,0.271476,[ 1 66] ; [ 2 70],[ 1.44604317 65.55395683] ; [ 1.55395683 70.44604317],0
v2,1,0.617778,0.249004,[17 49] ; [21 50],[18.30656934 47.69343066] ; [19.69343066 51.30656934],0
a5,1,0.708768,0.139511,[24 43] ; [28 44],[25.0647482 41.9352518] ; [26.9352518 45.0647482],0
b2,1,0.750118,0.101432,[13 26] ; [12 28],[12.34177215 26.65822785] ; [12.65822785 27.34177215],0
b3,1,0.750118,0.101432,[13 26] ; [12 28],[12.34177215 26.65822785] ; [12.65822785 27.34177215],0
s4,1,0.831219,0.045428,[14 53] ; [14 58],[13.49640288 53.50359712] ; [14.50359712 57.49640288],0
n5,1,0.863454,0.029577,[44 22] ; [47 25],[43.52173913 22.47826087] ; [47.47826087 24.52173913],0
p1,1,0.886373,0.020419,[ 5 61] ; [ 5 67],[ 4.7826087 61.2173913] ; [ 5.2173913 66.7826087],0
a3,1,0.940308,0.005607,[28 38] ; [31 41],[28.2173913 37.7826087] ; [30.7826087 41.2173913],0
p7,1,0.949064,0.004081,[33 31] ; [37 34],[33.18518519 30.81481481] ; [36.81481481 34.18518519],0
