Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000897,11.028666,[56 10] ; [11 11],[50.25 15.75] ; [16.75  5.25],1
v3,1,0.016895,5.707245,[28 37] ; [ 3 18],[23.43023256 41.56976744] ; [ 7.56976744 13.43023256],0
d3,1,0.026021,4.954607,[26 40] ; [ 3 19],[21.75 44.25] ; [ 7.25 14.75],0
p6,1,0.02703,4.888889,[22 44] ; [ 2 20],[18. 48.] ; [ 6. 16.],0
n6,1,0.033359,4.527245,[58  8] ; [15  7],[54.75 11.25] ; [18.25  3.75],0
p2,1,0.038438,4.285548,[55 11] ; [13  8],[51.5862069 14.4137931] ; [16.4137931  4.5862069],0
r1,1,0.03851,4.282348,[48 17] ; [11 11],[44.08045977 20.91954023] ; [14.91954023  7.08045977],0
s6,1,0.05508,3.679654,[48 15] ; [12 10],[44.47058824 18.52941176] ; [15.52941176  6.47058824],0
p8,1,0.078098,3.104039,[30 36] ; [ 5 16],[26.55172414 39.44827586] ; [ 8.44827586 12.55172414],0
p3,1,0.09403,2.803995,[31 34] ; [ 6 16],[27.64367816 37.35632184] ; [ 9.35632184 12.64367816],0
s2,1,0.12471,2.357143,[39 27] ; [17  5],[42. 24.] ; [14.  8.],0
p10,1,0.130589,2.285494,[51 14] ; [13  8],[48.37209302 16.62790698] ; [15.62790698  5.37209302],0
s8,1,0.174729,1.841896,[28 38] ; [13  9],[30.75 35.25] ; [10.25 11.75],0
d2,1,0.240034,1.380392,[13 53] ; [ 7 15],[15. 51.] ; [ 5. 17.],0
s7,1,0.249785,1.324507,[35 26] ; [ 9 12],[32.73170732 28.26829268] ; [11.26829268  9.73170732],0
r2,1,0.264733,1.243835,[61  4] ; [19  3],[59.77011494  5.22988506] ; [20.22988506  1.77011494],0
n1,1,0.310557,1.028307,[6 8] ; [2 7],[4.86956522 9.13043478] ; [3.13043478 5.86956522],0
b4,1,0.322748,0.977778,[38 28] ; [10 12],[36. 30.] ; [12. 10.],0
s5,1,0.35648,0.850255,[18 46] ; [ 4 18],[16.37209302 47.62790698] ; [ 5.62790698 16.37209302],0
v1,1,0.360644,0.835648,[30 33] ; [ 8 14],[28.16470588 34.83529412] ; [ 9.83529412 12.16470588],0
p11,1,0.4183,0.655087,[48 18] ; [14  8],[46.5 19.5] ; [15.5  6.5],0
p1,1,0.423886,0.639516,[11 55] ; [ 2 19],[ 9.86206897 56.13793103] ; [ 3.13793103 17.86206897],0
b5,1,0.459717,0.546584,[36 30] ; [10 12],[34.5 31.5] ; [11.5 10.5],0
r4,1,0.473146,0.51462,[58  8] ; [18  4],[57.  9.] ; [19.  3.],0
v2,1,0.557033,0.344868,[27 35] ; [ 8 14],[25.83333333 36.16666667] ; [ 9.16666667 12.83333333],0
u2,1,0.665161,0.187315,[12 23] ; [3 8],[11.41304348 23.58695652] ; [3.58695652 7.41304348],0
a8,1,0.69627,0.152381,[ 8 52] ; [ 2 18],[ 7.5 52.5] ; [ 2.5 17.5],0
b1,1,0.705987,0.142318,[27 39] ; [ 8 14],[26.25 39.75] ; [ 8.75 13.25],0
a7,1,0.708376,0.139905,[39 27] ; [12 10],[38.25 27.75] ; [12.75  9.25],0
d5,1,0.711281,0.137001,[30 36] ; [11 11],[30.75 35.25] ; [10.25 11.75],0
a6,1,0.711281,0.137001,[36 30] ; [11 11],[35.25 30.75] ; [11.75 10.25],0
a5,1,0.711281,0.137001,[36 30] ; [11 11],[35.25 30.75] ; [11.75 10.25],0
n2,1,0.754293,0.097959,[12  2] ; [9 1],[12.25  1.75] ; [8.75 1.25],0
v4,1,0.804492,0.061275,[59  5] ; [19  2],[58.72941176  5.27058824] ; [19.27058824  1.72941176],0
p4,1,0.805343,0.060732,[35 31] ; [11 11],[34.5 31.5] ; [11.5 10.5],0
a3,1,0.805343,0.060732,[31 35] ; [11 11],[31.5 34.5] ; [10.5 11.5],0
r3,1,0.820073,0.051734,[61  5] ; [20  2],[60.75  5.25] ; [20.25  1.75],0
p7,1,0.822044,0.050588,[42 23] ; [13  8],[41.56976744 23.43023256] ; [13.43023256  7.56976744],0
s1,1,0.834868,0.043457,[ 5 60] ; [ 2 20],[ 5.22988506 59.77011494] ; [ 1.77011494 20.22988506],0
s4,1,0.885193,0.020848,[16 50] ; [ 5 17],[15.75 50.25] ; [ 5.25 16.75],0
a4,1,0.907132,0.013609,[14 51] ; [ 5 17],[14.1954023 50.8045977] ; [ 4.8045977 17.1954023],0
u3,1,0.987964,0.000228,[16 19] ; [5 6],[15.97826087 19.02173913] ; [5.02173913 5.97826087],0
p9,1,1.0,0.0,[48 18] ; [16  6],[48. 18.] ; [16.  6.],0
a2,1,1.0,0.0,[ 3 63] ; [ 1 21],[ 3. 63.] ; [ 1. 21.],0
