Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000687,11.523389,[115  91] ; [21 45],[103. 103.] ; [33. 33.],1
p1,1,0.002517,9.12839,[  9 206] ; [10 58],[ 14.43462898 200.56537102] ; [ 4.56537102 63.43462898],0
p11,1,0.004761,7.96798,[177  38] ; [45 23],[168.65724382  46.34275618] ; [53.34275618 14.65724382],0
p8,1,0.007023,7.267024,[ 88 123] ; [16 52],[ 78.65232975 132.34767025] ; [25.34767025 42.65232975],0
b1,1,0.008663,6.89097,[ 64 151] ; [32 36],[ 72.93286219 142.06713781] ; [23.06713781 44.93286219],0
r3,1,0.013089,6.156983,[205   8] ; [60  8],[200.87188612  12.12811388] ; [64.12811388  3.87188612],0
s1,1,0.02379,5.109854,[  4 209] ; [ 5 62],[  6.84642857 206.15357143] ; [ 2.15357143 64.84642857],0
v4,1,0.039219,4.25135,[202  10] ; [60  8],[198.37142857  13.62857143] ; [63.62857143  4.37142857],0
n6,1,0.040872,4.181326,[180  33] ; [50 18],[174.34163701  38.65836299] ; [55.65836299 12.34163701],0
r4,1,0.041844,4.141512,[189  26] ; [53 15],[183.85159011  31.14840989] ; [58.14840989  9.85159011],0
p9,1,0.045646,3.994604,[200  15] ; [57 10],[195.93971631  19.06028369] ; [61.06028369  5.93971631],0
d5,1,0.055946,3.653655,[169  45] ; [46 22],[163.15602837  50.84397163] ; [51.84397163 16.15602837],0
v1,1,0.071352,3.251636,[ 99 108] ; [24 44],[ 92.58545455 114.41454545] ; [30.41454545 37.58545455],0
r1,1,0.138661,2.192755,[164  50] ; [46 22],[159.36170213  54.63829787] ; [50.63829787 17.36170213],0
p12,1,0.141948,2.156718,[  9 204] ; [ 6 62],[ 11.37010676 201.62989324] ; [ 3.62989324 64.37010676],0
a1,1,0.145147,2.122524,[  5 210] ; [ 4 64],[  6.83745583 208.16254417] ; [ 2.16254417 65.83745583],0
s6,1,0.158779,1.985815,[132  79] ; [36 32],[127.05376344  83.94623656] ; [40.94623656 27.05376344],0
n1,1,0.162587,1.95,[18 36] ; [12 12],[20.76923077 33.23076923] ; [ 9.23076923 14.76923077],0
s4,1,0.186146,1.747857,[ 35 178] ; [16 52],[ 38.65836299 174.34163701] ; [12.34163701 55.65836299],0
a2,1,0.235515,1.407242,[ 34 181] ; [15 53],[ 37.22614841 177.77385159] ; [11.77385159 56.22614841],0
r2,1,0.261223,1.262266,[201  11] ; [61  6],[199.08243728  12.91756272] ; [62.91756272  4.08243728],0
d2,1,0.29884,1.079364,[ 81 134] ; [30 37],[ 84.62765957 130.37234043] ; [26.37234043 40.62765957],0
a4,1,0.38246,0.762779,[ 79 136] ; [29 39],[ 82.04946996 132.95053004] ; [25.95053004 42.04946996],0
u2,1,0.387487,0.746815,[37 32] ; [ 9 12],[35.26666667 33.73333333] ; [10.73333333 10.26666667],0
u4,1,0.388293,0.744282,[  1 214] ; [ 1 67],[  1.51943463 213.48056537] ; [ 0.48056537 67.51943463],0
d1,1,0.422928,0.642165,[105 110] ; [37 31],[107.87985866 107.12014134] ; [34.12014134 33.87985866],0
v2,1,0.423861,0.639587,[108  95] ; [36 25],[110.72727273  92.27272727] ; [33.27272727 27.72727273],0
p5,1,0.42579,0.63428,[  8 207] ; [ 4 63],[  9.14893617 205.85106383] ; [ 2.85106383 64.14893617],0
s7,1,0.456897,0.553485,[ 85 126] ; [30 36],[ 87.59927798 123.40072202] ; [27.40072202 38.59927798],0
s2,1,0.487828,0.481313,[103 111] ; [29 38],[100.52669039 113.47330961] ; [31.47330961 35.52669039],0
n3,1,0.507167,0.439907,[40 15] ; [15  8],[38.78205128 16.21794872] ; [16.21794872  6.78205128],0
b5,1,0.511199,0.431611,[136  79] ; [40 28],[133.71024735  81.28975265] ; [42.28975265 25.71024735],0
s3,1,0.515086,0.423722,[120  94] ; [34 32],[117.7  96.3] ; [36.3 29.7],0
d4,1,0.532312,0.389976,[172  43] ; [52 16],[170.17667845  44.82332155] ; [53.82332155 14.17667845],0
u3,1,0.591473,0.288049,[38 32] ; [10 11],[36.92307692 33.07692308] ; [11.07692308  9.92307692],0
d3,1,0.597011,0.279528,[136  77] ; [41 27],[134.16725979  78.83274021] ; [42.83274021 25.16725979],0
v3,1,0.607964,0.26315,[ 74 140] ; [24 39],[ 75.71119134 138.28880866] ; [22.28880866 40.71119134],0
n5,1,0.697249,0.151349,[145  68] ; [48 20],[146.29537367  66.70462633] ; [46.70462633 21.29537367],0
p3,1,0.707282,0.141007,[ 49 166] ; [17 51],[ 50.14134276 164.85865724] ; [15.85865724 52.14134276],0
a8,1,0.708873,0.139405,[ 28 173] ; [ 8 58],[ 27.1011236 173.8988764] ; [ 8.8988764 57.1011236],0
a6,1,0.735715,0.113928,[140  74] ; [46 22],[141.14893617  72.85106383] ; [44.85106383 23.14893617],0
u1,1,0.786022,0.073701,[ 28 187] ; [ 8 60],[ 27.34982332 187.65017668] ; [ 8.65017668 59.34982332],0
p6,1,0.796226,0.066685,[ 37 174] ; [11 57],[ 36.30107527 174.69892473] ; [11.69892473 56.30107527],0
n4,1,0.797159,0.066062,[149  66] ; [46 22],[148.14487633  66.85512367] ; [46.85512367 21.14487633],0
