Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,8.9e-05,15.366006,[57 24] ; [15 29],[46.656 34.344] ; [25.344 18.656],1
d3,1,0.008207,6.987842,[53 28] ; [18 26],[46.008 34.992] ; [24.992 19.008],0
b5,1,0.026346,4.933188,[60 21] ; [24 20],[54.432 26.568] ; [29.568 14.432],0
p1,1,0.035674,4.41264,[ 5 76] ; [ 8 36],[ 8.424 72.576] ; [ 4.576 39.424],0
b2,1,0.049842,3.846777,[22 27] ; [ 6 21],[18.05263158 30.94736842] ; [ 9.94736842 17.05263158],0
b3,1,0.049842,3.846777,[22 27] ; [ 6 21],[18.05263158 30.94736842] ; [ 9.94736842 17.05263158],0
p10,1,0.053406,3.731159,[68 12] ; [31 13],[63.87096774 16.12903226] ; [35.12903226  8.87096774],0
a4,1,0.055167,3.67703,[23 58] ; [20 24],[27.864 53.136] ; [15.136 28.864],0
p11,1,0.092491,2.830478,[66 15] ; [30 14],[62.208 18.792] ; [33.792 10.208],0
b1,1,0.094603,2.794256,[23 58] ; [19 25],[27.216 53.784] ; [14.784 29.216],0
d5,1,0.108891,2.570237,[64 17] ; [29 15],[60.264 20.736] ; [32.736 11.264],0
v1,1,0.132575,2.262087,[38 41] ; [15 29],[34.04065041 44.95934959] ; [18.95934959 25.04065041],0
d4,1,0.150512,2.067051,[63 18] ; [29 15],[59.616 21.384] ; [32.384 11.616],0
n6,1,0.184374,1.762014,[73  8] ; [36  8],[70.632 10.368] ; [38.368  5.632],0
p2,1,0.215445,1.534454,[65 16] ; [31 13],[62.208 18.792] ; [33.792 10.208],0
u3,1,0.254451,1.298701,[16 16] ; [ 6 12],[14.08 17.92] ; [ 7.92 10.08],0
d2,1,0.29339,1.104,[28 53] ; [19 24],[30.7016129 50.2983871] ; [16.2983871 26.7016129],0
a2,1,0.333605,0.934853,[10 71] ; [ 3 41],[ 8.424 72.576] ; [ 4.576 39.424],0
b4,1,0.399368,0.710227,[54 27] ; [26 18],[51.84 29.16] ; [28.16 15.84],0
n4,1,0.440808,0.594177,[57 24] ; [28 16],[55.08 25.92] ; [29.92 14.08],0
p3,1,0.507167,0.439907,[40 41] ; [19 25],[38.232 42.768] ; [20.768 23.232],0
v3,1,0.526595,0.400958,[29 50] ; [13 29],[27.4214876 51.5785124] ; [14.5785124 27.4214876],0
p12,1,0.532379,0.389849,[ 6 75] ; [ 2 42],[ 5.184 75.816] ; [ 2.816 41.184],0
a5,1,0.536086,0.382842,[47 34] ; [23 21],[45.36 35.64] ; [24.64 19.36],0
s1,1,0.53736,0.380455,[ 2 78] ; [ 2 42],[ 2.58064516 77.41935484] ; [ 1.41935484 42.58064516],0
u2,1,0.55569,0.347222,[17 15] ; [ 8 10],[16. 16.] ; [9. 9.],0
p6,1,0.555757,0.347104,[31 49] ; [14 28],[29.50819672 50.49180328] ; [15.49180328 26.50819672],0
p7,1,0.559463,0.340634,[44 36] ; [26 17],[45.52845528 34.47154472] ; [24.47154472 18.52845528],0
r2,1,0.559621,0.34036,[75  5] ; [40  4],[74.19354839  5.80645161] ; [40.80645161  3.19354839],0
s5,1,0.571383,0.320374,[23 54] ; [14 26],[24.35042735 52.64957265] ; [12.64957265 27.35042735],0
p9,1,0.616553,0.250742,[69 10] ; [37  7],[68.08130081 10.91869919] ; [37.91869919  6.08130081],0
a8,1,0.65379,0.201155,[10 68] ; [ 4 36],[ 9.25423729 68.74576271] ; [ 4.74576271 35.25423729],0
s3,1,0.663384,0.189439,[40 41] ; [23 20],[41.15322581 39.84677419] ; [21.84677419 21.15322581],0
n2,1,0.675605,0.175115,[15  4] ; [16  3],[15.5  3.5] ; [15.5  3.5],0
p5,1,0.696606,0.152027,[ 9 71] ; [ 6 38],[ 9.67741935 70.32258065] ; [ 5.32258065 38.67741935],0
d1,1,0.703134,0.145232,[36 45] ; [18 26],[34.992 46.008] ; [19.008 24.992],0
n1,1,0.735317,0.114286,[ 8 10] ; [ 7 11],[ 7.5 10.5] ; [ 7.5 10.5],0
p4,1,0.737278,0.112533,[44 37] ; [22 21],[43.11290323 37.88709677] ; [22.88709677 20.11290323],0
p8,1,0.737431,0.112397,[36 45] ; [20 22],[36.87804878 44.12195122] ; [19.12195122 22.87804878],0
s8,1,0.743111,0.107411,[30 51] ; [15 29],[29.16 51.84] ; [15.84 28.16],0
s6,1,0.754632,0.09768,[46 32] ; [26 16],[46.8 31.2] ; [25.2 16.8],0
n5,1,0.768552,0.086595,[55 26] ; [31 13],[55.728 25.272] ; [30.272 13.728],0
s2,1,0.788593,0.071898,[37 44] ; [19 25],[36.288 44.712] ; [19.712 24.288],0
s4,1,0.792964,0.068887,[15 66] ; [ 9 35],[15.552 65.448] ; [ 8.448 35.552],0
a3,1,0.878468,0.023382,[49 32] ; [26 18],[48.6 32.4] ; [26.4 17.6],0
s7,1,0.882197,0.021959,[29 47] ; [17 26],[29.37815126 46.62184874] ; [16.62184874 26.37815126],0
a1,1,0.888035,0.019822,[ 5 76] ; [ 3 41],[ 5.184 75.816] ; [ 2.816 41.184],0
v2,1,0.908398,0.013239,[33 46] ; [18 24],[33.29752066 45.70247934] ; [17.70247934 24.29752066],0
u1,1,0.921836,0.009628,[ 4 77] ; [ 2 42],[ 3.888 77.112] ; [ 2.112 41.888],0
v4,1,0.921836,0.009628,[77  4] ; [42  2],[77.112  3.888] ; [41.888  2.112],0
r3,1,0.945368,0.004696,[79  2] ; [43  1],[79.056  1.944] ; [42.944  1.056],0
n3,1,1.0,0.0,[14  5] ; [14  5],[14.  5.] ; [14.  5.],0
