Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,5e-06,20.919836,[10 67] ; [23 22],[20.82786885 56.17213115] ; [12.17213115 32.82786885],1
p8,1,0.000135,14.574955,[14 63] ; [23 22],[23.35245902 53.64754098] ; [13.64754098 31.35245902],1
p7,1,0.002715,8.990071,[24 53] ; [27 19],[31.92682927 45.07317073] ; [19.07317073 26.92682927],0
s6,1,0.004417,8.103762,[22 55] ; [25 21],[29.42276423 47.57723577] ; [17.57723577 28.42276423],0
s3,1,0.005206,7.806479,[22 54] ; [25 21],[29.27868852 46.72131148] ; [17.72131148 28.27868852],0
r3,1,0.006182,7.496538,[51 25] ; [41  5],[57.31147541 18.68852459] ; [34.68852459 11.31147541],0
p2,1,0.011108,6.447971,[32 45] ; [30 16],[38.81300813 38.18699187] ; [23.18699187 22.81300813],0
r4,1,0.024118,5.086133,[43 34] ; [35 11],[48.82926829 28.17073171] ; [29.17073171 16.82926829],0
d3,1,0.030267,4.694044,[33 44] ; [29 17],[38.81300813 38.18699187] ; [23.18699187 22.81300813],0
v4,1,0.042915,4.098756,[54 22] ; [40  6],[58.55737705 17.44262295] ; [35.44262295 10.55737705],0
s2,1,0.081554,3.033662,[17 59] ; [17 29],[21.18032787 54.81967213] ; [12.81967213 33.18032787],0
d5,1,0.08942,2.884786,[49 28] ; [36 10],[53.21138211 23.78861789] ; [31.78861789 14.21138211],0
v2,1,0.120722,2.407924,[19 55] ; [18 28],[22.81666667 51.18333333] ; [14.18333333 31.81666667],0
a4,1,0.137784,2.202534,[28 48] ; [11 35],[24.29508197 51.70491803] ; [14.70491803 31.29508197],0
s8,1,0.15498,2.022535,[12 65] ; [12 34],[15.02439024 61.97560976] ; [ 8.97560976 37.02439024],0
n3,1,0.172995,1.8568,[16 18] ; [9 4],[18.08510638 15.91489362] ; [6.91489362 6.08510638],0
p6,1,0.188743,1.727403,[11 65] ; [11 35],[13.70491803 62.29508197] ; [ 8.29508197 37.70491803],0
a2,1,0.189571,1.720947,[11 66] ; [ 3 43],[ 8.76422764 68.23577236] ; [ 5.23577236 40.76422764],0
