Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,133.1087,[278   9] ; [16 26],[256.46808511  30.53191489] ; [37.53191489  4.46808511],1
p11,1,0.0,47.068579,[251  36] ; [19 24],[234.81818182  52.18181818] ; [35.18181818  7.81818182],1
a6,1,0.000404,12.512565,[234  52] ; [25 18],[225.14893617  60.85106383] ; [33.85106383  9.14893617],1
n6,1,0.000514,12.063803,[258  28] ; [30 12],[251.12195122  34.87804878] ; [36.87804878  5.12195122],1
d1,1,0.000965,10.894065,[200  87] ; [19 24],[190.46363636  96.53636364] ; [28.53636364 14.46363636],1
n5,1,0.00105,10.737647,[235  51] ; [26 17],[226.88753799  59.11246201] ; [34.11246201  8.88753799],0
s5,1,0.002192,9.381498,[110 165] ; [ 6 34],[101.26984127 173.73015873] ; [14.73015873 25.26984127],0
a5,1,0.002559,9.097916,[232  55] ; [26 17],[224.38181818  62.61818182] ; [33.61818182  9.38181818],0
r4,1,0.002601,9.067925,[274  13] ; [36  7],[269.60606061  17.39393939] ; [40.39393939  2.60606061],0
p4,1,0.003499,8.52698,[245  42] ; [29 14],[238.2969697  48.7030303] ; [35.7030303  7.2969697],0
p8,1,0.003548,8.501554,[195  91] ; [19 23],[186.59756098  99.40243902] ; [27.40243902 14.59756098],0
u2,1,0.004668,8.00359,[45 24] ; [ 3 10],[40.3902439 28.6097561] ; [7.6097561 5.3902439],0
r3,1,0.005854,7.594733,[276   8] ; [38  5],[272.70948012  11.29051988] ; [41.29051988  1.70948012],0
v1,1,0.009736,6.682556,[180  98] ; [19 24],[172.34267913 105.65732087] ; [26.65732087 16.34267913],0
s7,1,0.010024,6.630616,[151 115] ; [14 26],[143.43137255 122.56862745] ; [21.56862745 18.43137255],0
d3,1,0.010587,6.533425,[230  57] ; [27 16],[223.51212121  63.48787879] ; [33.48787879  9.51212121],0
n4,1,0.010794,6.498866,[240  47] ; [29 14],[233.94848485  53.05151515] ; [35.05151515  7.94848485],0
v3,1,0.014797,5.940478,[130 146] ; [11 30],[122.76340694 153.23659306] ; [18.23659306 22.76340694],0
p7,1,0.016899,5.706816,[225  59] ; [27 16],[218.86238532  65.13761468] ; [33.13761468  9.86238532],0
s2,1,0.019895,5.4211,[159 125] ; [15 26],[152.04923077 131.95076923] ; [21.95076923 19.04923077],0
d5,1,0.022527,5.204648,[251  36] ; [32 11],[246.12424242  40.87575758] ; [36.87575758  6.12424242],0
d4,1,0.023288,5.146872,[246  41] ; [31 12],[240.90606061  46.09393939] ; [36.09393939  6.90606061],0
