Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000153,14.339988,[23 16] ; [77 10],[30.95238095  8.04761905] ; [69.04761905 17.95238095],1
v4,1,0.000267,13.288278,[26 12] ; [82  6],[32.57142857  5.42857143] ; [75.42857143 12.57142857],1
r4,1,0.000696,11.499922,[20 19] ; [71 17],[27.94488189 11.05511811] ; [63.05511811 24.94488189],1
p3,1,0.001245,10.422077,[ 8 31] ; [45 43],[16.27559055 22.72440945] ; [36.72440945 51.27559055],0
p10,1,0.002308,9.286848,[15 22] ; [60 26],[22.56097561 14.43902439] ; [52.43902439 33.56097561],0
p2,1,0.003034,8.787184,[21 18] ; [70 18],[27.94488189 11.05511811] ; [63.05511811 24.94488189],0
a1,1,0.004198,8.196125,[ 5 34] ; [ 1 87],[ 1.84251969 37.15748031] ; [ 4.15748031 83.84251969],0
p11,1,0.00541,7.737047,[20 19] ; [67 21],[26.71653543 12.28346457] ; [60.28346457 27.71653543],0
p4,1,0.008531,6.918494,[11 28] ; [47 41],[17.81102362 21.18897638] ; [40.18897638 47.81102362],0
p9,1,0.009142,6.794953,[19 18] ; [64 21],[25.17213115 11.82786885] ; [57.82786885 27.17213115],0
s1,1,0.054632,3.693278,[ 4 35] ; [ 2 84],[ 1.872 37.128] ; [ 4.128 81.872],0
d2,1,0.0863,2.942074,[13 26] ; [17 71],[ 9.21259843 29.78740157] ; [20.78740157 67.21259843],0
n5,1,0.089913,2.875926,[25 14] ; [69 19],[28.86614173 10.13385827] ; [65.13385827 22.86614173],0
b1,1,0.110556,2.546257,[21 18] ; [34 54],[16.88976378 22.11023622] ; [38.11023622 49.88976378],0
p5,1,0.118685,2.434593,[ 1 36] ; [10 78],[ 3.256 33.744] ; [ 7.744 80.256],0
b3,1,0.140621,2.171156,[ 9 11] ; [14 38],[ 6.38888889 13.61111111] ; [16.61111111 35.38888889],0
b2,1,0.140621,2.171156,[ 9 11] ; [14 38],[ 6.38888889 13.61111111] ; [16.61111111 35.38888889],0
r2,1,0.142352,2.15235,[29 10] ; [75 13],[31.93700787  7.06299213] ; [72.06299213 15.93700787],0
s6,1,0.144207,2.132482,[11 28] ; [36 50],[14.664 24.336] ; [32.336 53.664],0
b4,1,0.15982,1.975931,[16 23] ; [48 40],[19.65354331 19.34645669] ; [44.34645669 43.65354331],0
n4,1,0.161751,1.957779,[24 15] ; [65 23],[27.33070866 11.66929134] ; [61.66929134 26.33070866],0
a4,1,0.176985,1.822764,[12 27] ; [17 69],[ 9.048 29.952] ; [19.952 66.048],0
s3,1,0.186843,1.742335,[ 7 32] ; [25 61],[ 9.984 29.016] ; [22.016 63.984],0
p1,1,0.226421,1.463205,[ 7 32] ; [ 9 79],[ 4.91338583 34.08661417] ; [11.08661417 76.91338583],0
p7,1,0.232693,1.424324,[17 21] ; [49 38],[20.064 17.936] ; [45.936 41.064],0
p6,1,0.260746,1.26479,[ 7 31] ; [24 62],[ 9.5 28.5] ; [21.5 64.5],0
n1,1,0.262873,1.253561,[10 10] ; [ 8 16],[ 8.18181818 11.81818182] ; [ 9.81818182 14.18181818],0
r1,1,0.311024,1.026322,[20 19] ; [53 34],[22.5952381 16.4047619] ; [50.4047619 36.5952381],0
v2,1,0.312802,1.018808,[10 24] ; [33 51],[12.38983051 21.61016949] ; [30.61016949 53.38983051],0
s5,1,0.374398,0.789015,[ 3 34] ; [12 75],[ 4.47580645 32.52419355] ; [10.52419355 76.47580645],0
v1,1,0.394047,0.726417,[13 25] ; [36 49],[15.13821138 22.86178862] ; [33.86178862 51.13821138],0
a8,1,0.432472,0.616175,[ 5 33] ; [ 7 75],[ 3.8 34.2] ; [ 8.2 73.8],0
